Data loading...
resnet50-4 Model building...
Start inference...

 inference:     1 | throughput:   9.976 | time:   0.401
 inference:     2 | throughput: 408.762 | time:   0.010
 inference:     3 | throughput: 470.424 | time:   0.009
 inference:     4 | throughput: 636.151 | time:   0.006
 inference:     5 | throughput: 727.830 | time:   0.005
 inference:     6 | throughput: 779.937 | time:   0.005
 inference:     7 | throughput: 786.186 | time:   0.005
 inference:     8 | throughput: 788.700 | time:   0.005
 inference:     9 | throughput: 775.502 | time:   0.005
 inference:    10 | throughput: 754.066 | time:   0.005
 inference:    11 | throughput: 776.867 | time:   0.005
 inference:    12 | throughput: 765.768 | time:   0.005
 inference:    13 | throughput: 783.213 | time:   0.005
 inference:    14 | throughput: 764.617 | time:   0.005
 inference:    15 | throughput: 757.163 | time:   0.005
 inference:    16 | throughput: 752.882 | time:   0.005
 inference:    17 | throughput: 792.649 | time:   0.005
 inference:    18 | throughput: 774.428 | time:   0.005
 inference:    19 | throughput: 761.770 | time:   0.005
 inference:    20 | throughput: 768.575 | time:   0.005
 inference:    21 | throughput: 784.826 | time:   0.005
 inference:    22 | throughput: 750.860 | time:   0.005
 inference:    23 | throughput: 775.359 | time:   0.005
 inference:    24 | throughput: 778.959 | time:   0.005
 inference:    25 | throughput: 776.723 | time:   0.005
 inference:    26 | throughput: 759.666 | time:   0.005
 inference:    27 | throughput: 787.811 | time:   0.005
 inference:    28 | throughput: 782.775 | time:   0.005
 inference:    29 | throughput: 787.256 | time:   0.005
 inference:    30 | throughput: 781.462 | time:   0.005
 inference:    31 | throughput: 785.671 | time:   0.005
 inference:    32 | throughput: 775.897 | time:   0.005
 inference:    33 | throughput: 778.778 | time:   0.005
 inference:    34 | throughput: 776.939 | time:   0.005
 inference:    35 | throughput: 777.083 | time:   0.005
 inference:    36 | throughput: 774.822 | time:   0.005
 inference:    37 | throughput: 729.064 | time:   0.005
 inference:    38 | throughput: 776.615 | time:   0.005
 inference:    39 | throughput: 787.293 | time:   0.005
 inference:    40 | throughput: 781.317 | time:   0.005
 inference:    41 | throughput: 761.148 | time:   0.005
 inference:    42 | throughput: 785.266 | time:   0.005
 inference:    43 | throughput: 786.518 | time:   0.005
 inference:    44 | throughput: 765.908 | time:   0.005
 inference:    45 | throughput: 776.471 | time:   0.005
 inference:    46 | throughput: 783.177 | time:   0.005
 inference:    47 | throughput: 786.850 | time:   0.005
 inference:    48 | throughput: 727.357 | time:   0.005
 inference:    49 | throughput: 780.408 | time:   0.005
 inference:    50 | throughput: 787.774 | time:   0.005
 inference:    51 | throughput: 789.999 | time:   0.005
 inference:    52 | throughput: 770.375 | time:   0.005
 inference:    53 | throughput: 786.076 | time:   0.005
 inference:    54 | throughput: 790.744 | time:   0.005
 inference:    55 | throughput: 774.000 | time:   0.005
 inference:    56 | throughput: 791.042 | time:   0.005
 inference:    57 | throughput: 782.337 | time:   0.005
 inference:    58 | throughput: 784.642 | time:   0.005
 inference:    59 | throughput: 766.258 | time:   0.005
 inference:    60 | throughput: 775.431 | time:   0.005
 inference:    61 | throughput: 789.888 | time:   0.005
 inference:    62 | throughput: 785.266 | time:   0.005
 inference:    63 | throughput: 770.375 | time:   0.005
 inference:    64 | throughput: 786.629 | time:   0.005
 inference:    65 | throughput: 796.488 | time:   0.005
 inference:    66 | throughput: 759.769 | time:   0.005
 inference:    67 | throughput: 788.662 | time:   0.005
 inference:    68 | throughput: 788.514 | time:   0.005
 inference:    69 | throughput: 795.581 | time:   0.005
 inference:    70 | throughput: 766.433 | time:   0.005
 inference:    71 | throughput: 788.218 | time:   0.005
 inference:    72 | throughput: 790.297 | time:   0.005
 inference:    73 | throughput: 789.442 | time:   0.005
 inference:    74 | throughput: 772.467 | time:   0.005
 inference:    75 | throughput: 795.959 | time:   0.005
 inference:    76 | throughput: 793.437 | time:   0.005
 inference:    77 | throughput: 776.831 | time:   0.005
 inference:    78 | throughput: 791.677 | time:   0.005
 inference:    79 | throughput: 789.739 | time:   0.005
 inference:    80 | throughput: 786.776 | time:   0.005
 inference:    81 | throughput: 765.035 | time:   0.005
 inference:    82 | throughput: 791.453 | time:   0.005
 inference:    83 | throughput: 794.677 | time:   0.005
 inference:    84 | throughput: 786.039 | time:   0.005
 inference:    85 | throughput: 776.040 | time:   0.005
 inference:    86 | throughput: 786.555 | time:   0.005
 inference:    87 | throughput: 791.192 | time:   0.005
 inference:    88 | throughput: 786.555 | time:   0.005
 inference:    89 | throughput: 783.909 | time:   0.005
 inference:    90 | throughput: 787.515 | time:   0.005
 inference:    91 | throughput: 790.297 | time:   0.005
 inference:    92 | throughput: 763.851 | time:   0.005
 inference:    93 | throughput: 786.998 | time:   0.005
 inference:    94 | throughput: 791.789 | time:   0.005
 inference:    95 | throughput: 782.300 | time:   0.005
 inference:    96 | throughput: 771.402 | time:   0.005
 inference:    97 | throughput: 789.665 | time:   0.005
 inference:    98 | throughput: 785.892 | time:   0.005
 inference:    99 | throughput: 789.108 | time:   0.005
 inference:   100 | throughput: 770.127 | time:   0.005

Total inference throughput: 435.30048, Total inference latency: 0.00919
