Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 578.577 | time:   0.111
 inference:     2 | throughput: 4037.959 | time:   0.016
 inference:     3 | throughput: 1249.915 | time:   0.051
 inference:     4 | throughput: 144.807 | time:   0.442
 inference:     5 | throughput: 2331.930 | time:   0.027
 inference:     6 | throughput: 1172.386 | time:   0.055
 inference:     7 | throughput: 1165.221 | time:   0.055
 inference:     8 | throughput: 1142.099 | time:   0.056
 inference:     9 | throughput: 1166.781 | time:   0.055
 inference:    10 | throughput: 1155.898 | time:   0.055
 inference:    11 | throughput: 1160.777 | time:   0.055
 inference:    12 | throughput: 1158.523 | time:   0.055
 inference:    13 | throughput: 1168.116 | time:   0.055
 inference:    14 | throughput: 1157.953 | time:   0.055
 inference:    15 | throughput: 1174.094 | time:   0.055
 inference:    16 | throughput: 1156.770 | time:   0.055
 inference:    17 | throughput: 1170.510 | time:   0.055
 inference:    18 | throughput: 1141.482 | time:   0.056
 inference:    19 | throughput: 1176.626 | time:   0.054
 inference:    20 | throughput: 1161.576 | time:   0.055
 inference:    21 | throughput: 1159.854 | time:   0.055
 inference:    22 | throughput: 1153.138 | time:   0.056
 inference:    23 | throughput: 1166.710 | time:   0.055
 inference:    24 | throughput: 1151.214 | time:   0.056
 inference:    25 | throughput: 1170.566 | time:   0.055
 inference:    26 | throughput: 1163.216 | time:   0.055
 inference:    27 | throughput: 1157.713 | time:   0.055
 inference:    28 | throughput: 1159.383 | time:   0.055
 inference:    29 | throughput: 1166.801 | time:   0.055
 inference:    30 | throughput: 1163.801 | time:   0.055
 inference:    31 | throughput: 1167.258 | time:   0.055
 inference:    32 | throughput: 1138.736 | time:   0.056
 inference:    33 | throughput: 1177.695 | time:   0.054
 inference:    34 | throughput: 1154.214 | time:   0.055
 inference:    35 | throughput: 1147.503 | time:   0.056
 inference:    36 | throughput: 1157.424 | time:   0.055
 inference:    37 | throughput: 1168.528 | time:   0.055
 inference:    38 | throughput: 1149.562 | time:   0.056
 inference:    39 | throughput: 1161.616 | time:   0.055
 inference:    40 | throughput: 1153.975 | time:   0.055
 inference:    41 | throughput: 1163.171 | time:   0.055
 inference:    42 | throughput: 1156.332 | time:   0.055
 inference:    43 | throughput: 1171.251 | time:   0.055
 inference:    44 | throughput: 1161.224 | time:   0.055
 inference:    45 | throughput: 1173.801 | time:   0.055
 inference:    46 | throughput: 1153.202 | time:   0.055
 inference:    47 | throughput: 1170.454 | time:   0.055
 inference:    48 | throughput: 1142.274 | time:   0.056
 inference:    49 | throughput: 1160.115 | time:   0.055
 inference:    50 | throughput: 1158.738 | time:   0.055
 inference:    51 | throughput: 1168.920 | time:   0.055
 inference:    52 | throughput: 1146.288 | time:   0.056
 inference:    53 | throughput: 1163.398 | time:   0.055
 inference:    54 | throughput: 1155.058 | time:   0.055
 inference:    55 | throughput: 1165.899 | time:   0.055
 inference:    56 | throughput: 1158.833 | time:   0.055
 inference:    57 | throughput: 1168.727 | time:   0.055
 inference:    58 | throughput: 1158.653 | time:   0.055
 inference:    59 | throughput: 1154.358 | time:   0.055
 inference:    60 | throughput: 1170.301 | time:   0.055
 inference:    61 | throughput: 1161.189 | time:   0.055
 inference:    62 | throughput: 1147.489 | time:   0.056
 inference:    63 | throughput: 1164.958 | time:   0.055
 inference:    64 | throughput: 1156.277 | time:   0.055
 inference:    65 | throughput: 1160.872 | time:   0.055
 inference:    66 | throughput: 1138.200 | time:   0.056
 inference:    67 | throughput: 1182.150 | time:   0.054
 inference:    68 | throughput: 1155.078 | time:   0.055
 inference:    69 | throughput: 1171.849 | time:   0.055
 inference:    70 | throughput: 1163.776 | time:   0.055
 inference:    71 | throughput: 1163.206 | time:   0.055
 inference:    72 | throughput: 1151.515 | time:   0.056
 inference:    73 | throughput: 1156.626 | time:   0.055
 inference:    74 | throughput: 1161.244 | time:   0.055
 inference:    75 | throughput: 1151.476 | time:   0.056
 inference:    76 | throughput: 1157.444 | time:   0.055
 inference:    77 | throughput: 1171.379 | time:   0.055
 inference:    78 | throughput: 1154.874 | time:   0.055
 inference:    79 | throughput: 1158.753 | time:   0.055
 inference:    80 | throughput: 1166.016 | time:   0.055
 inference:    81 | throughput: 1160.516 | time:   0.055
 inference:    82 | throughput: 1153.455 | time:   0.055
 inference:    83 | throughput: 1160.285 | time:   0.055
 inference:    84 | throughput: 1153.842 | time:   0.055
 inference:    85 | throughput: 1160.305 | time:   0.055
 inference:    86 | throughput: 1139.476 | time:   0.056
 inference:    87 | throughput: 1163.060 | time:   0.055
 inference:    88 | throughput: 1161.395 | time:   0.055
 inference:    89 | throughput: 1144.475 | time:   0.056
 inference:    90 | throughput: 1160.927 | time:   0.055
 inference:    91 | throughput: 1168.472 | time:   0.055
 inference:    92 | throughput: 1160.095 | time:   0.055
 inference:    93 | throughput: 1161.359 | time:   0.055
 inference:    94 | throughput: 1164.690 | time:   0.055
 inference:    95 | throughput: 1169.689 | time:   0.055
 inference:    96 | throughput: 1160.004 | time:   0.055
 inference:    97 | throughput: 1162.119 | time:   0.055
 inference:    98 | throughput: 1149.942 | time:   0.056
 inference:    99 | throughput: 1161.249 | time:   0.055
 inference:   100 | throughput: 1150.928 | time:   0.056

Total inference throughput: 1086.80971, Total inference latency: 0.05889
