Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 2754.682 | time:   0.023
 inference:     2 | throughput: 2833.182 | time:   0.023
 inference:     3 | throughput: 1841.083 | time:   0.035
 inference:     4 | throughput: 1750.807 | time:   0.037
 inference:     5 | throughput: 1973.442 | time:   0.032
 inference:     6 | throughput: 1855.566 | time:   0.034
 inference:     7 | throughput: 1856.336 | time:   0.034
 inference:     8 | throughput: 1854.182 | time:   0.035
 inference:     9 | throughput: 1836.373 | time:   0.035
 inference:    10 | throughput: 1849.175 | time:   0.035
 inference:    11 | throughput: 1881.328 | time:   0.034
 inference:    12 | throughput: 1847.012 | time:   0.035
 inference:    13 | throughput: 1854.297 | time:   0.035
 inference:    14 | throughput: 1874.706 | time:   0.034
 inference:    15 | throughput: 1858.083 | time:   0.034
 inference:    16 | throughput: 1871.335 | time:   0.034
 inference:    17 | throughput: 1877.014 | time:   0.034
 inference:    18 | throughput: 1847.469 | time:   0.035
 inference:    19 | throughput: 1874.144 | time:   0.034
 inference:    20 | throughput: 1858.276 | time:   0.034
 inference:    21 | throughput: 1870.396 | time:   0.034
 inference:    22 | throughput: 1834.327 | time:   0.035
 inference:    23 | throughput: 1866.170 | time:   0.034
 inference:    24 | throughput: 1859.924 | time:   0.034
 inference:    25 | throughput: 1845.869 | time:   0.035
 inference:    26 | throughput: 1844.867 | time:   0.035
 inference:    27 | throughput: 1864.692 | time:   0.034
 inference:    28 | throughput: 1869.028 | time:   0.034
 inference:    29 | throughput: 1852.071 | time:   0.035
 inference:    30 | throughput: 1861.963 | time:   0.034
 inference:    31 | throughput: 1871.517 | time:   0.034
 inference:    32 | throughput: 1819.075 | time:   0.035
 inference:    33 | throughput: 1871.582 | time:   0.034
 inference:    34 | throughput: 1867.923 | time:   0.034
 inference:    35 | throughput: 1867.260 | time:   0.034
 inference:    36 | throughput: 1855.592 | time:   0.034
 inference:    37 | throughput: 1871.335 | time:   0.034
 inference:    38 | throughput: 1854.886 | time:   0.035
 inference:    39 | throughput: 1868.534 | time:   0.034
 inference:    40 | throughput: 1866.118 | time:   0.034
 inference:    41 | throughput: 1845.640 | time:   0.035
 inference:    42 | throughput: 1874.340 | time:   0.034
 inference:    43 | throughput: 1866.598 | time:   0.034
 inference:    44 | throughput: 1861.317 | time:   0.034
 inference:    45 | throughput: 1846.262 | time:   0.035
 inference:    46 | throughput: 1860.621 | time:   0.034
 inference:    47 | throughput: 1872.614 | time:   0.034
 inference:    48 | throughput: 1848.144 | time:   0.035
 inference:    49 | throughput: 1862.027 | time:   0.034
 inference:    50 | throughput: 1827.646 | time:   0.035
 inference:    51 | throughput: 1872.588 | time:   0.034
 inference:    52 | throughput: 1856.041 | time:   0.034
 inference:    53 | throughput: 1864.420 | time:   0.034
 inference:    54 | throughput: 1853.964 | time:   0.035
 inference:    55 | throughput: 1836.888 | time:   0.035
 inference:    56 | throughput: 1859.113 | time:   0.034
 inference:    57 | throughput: 1863.475 | time:   0.034
 inference:    58 | throughput: 1864.407 | time:   0.034
 inference:    59 | throughput: 1853.977 | time:   0.035
 inference:    60 | throughput: 1875.021 | time:   0.034
 inference:    61 | throughput: 1862.066 | time:   0.034
 inference:    62 | throughput: 1852.480 | time:   0.035
 inference:    63 | throughput: 1875.820 | time:   0.034
 inference:    64 | throughput: 1852.007 | time:   0.035
 inference:    65 | throughput: 1878.997 | time:   0.034
 inference:    66 | throughput: 1852.889 | time:   0.035
 inference:    67 | throughput: 1863.087 | time:   0.034
 inference:    68 | throughput: 1842.903 | time:   0.035
 inference:    69 | throughput: 1859.963 | time:   0.034
 inference:    70 | throughput: 1865.119 | time:   0.034
 inference:    71 | throughput: 1837.592 | time:   0.035
 inference:    72 | throughput: 1837.127 | time:   0.035
 inference:    73 | throughput: 1864.666 | time:   0.034
 inference:    74 | throughput: 1864.459 | time:   0.034
 inference:    75 | throughput: 1853.490 | time:   0.035
 inference:    76 | throughput: 1869.940 | time:   0.034
 inference:    77 | throughput: 1856.336 | time:   0.034
 inference:    78 | throughput: 1824.875 | time:   0.035
 inference:    79 | throughput: 1873.516 | time:   0.034
 inference:    80 | throughput: 1853.337 | time:   0.035
 inference:    81 | throughput: 1869.185 | time:   0.034
 inference:    82 | throughput: 1858.199 | time:   0.034
 inference:    83 | throughput: 1854.323 | time:   0.035
 inference:    84 | throughput: 1877.132 | time:   0.034
 inference:    85 | throughput: 1856.824 | time:   0.034
 inference:    86 | throughput: 1864.006 | time:   0.034
 inference:    87 | throughput: 1872.849 | time:   0.034
 inference:    88 | throughput: 1847.419 | time:   0.035
 inference:    89 | throughput: 1879.537 | time:   0.034
 inference:    90 | throughput: 1861.395 | time:   0.034
 inference:    91 | throughput: 1834.841 | time:   0.035
 inference:    92 | throughput: 1873.019 | time:   0.034
 inference:    93 | throughput: 1872.444 | time:   0.034
 inference:    94 | throughput: 1847.012 | time:   0.035
 inference:    95 | throughput: 1860.569 | time:   0.034
 inference:    96 | throughput: 1832.699 | time:   0.035
 inference:    97 | throughput: 1868.703 | time:   0.034
 inference:    98 | throughput: 1855.553 | time:   0.034
 inference:    99 | throughput: 1871.804 | time:   0.034
 inference:   100 | throughput: 1851.330 | time:   0.035

Total inference throughput: 1871.05542, Total inference latency: 0.03421
