Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 1996.976 | time:   0.032
 inference:     2 | throughput: 3333.442 | time:   0.019
 inference:     3 | throughput: 1882.569 | time:   0.034
 inference:     4 | throughput: 1808.036 | time:   0.035
 inference:     5 | throughput: 1953.281 | time:   0.033
 inference:     6 | throughput: 1874.013 | time:   0.034
 inference:     7 | throughput: 1868.092 | time:   0.034
 inference:     8 | throughput: 1867.377 | time:   0.034
 inference:     9 | throughput: 1849.735 | time:   0.035
 inference:    10 | throughput: 1875.859 | time:   0.034
 inference:    11 | throughput: 1893.912 | time:   0.034
 inference:    12 | throughput: 1892.309 | time:   0.034
 inference:    13 | throughput: 1896.347 | time:   0.034
 inference:    14 | throughput: 1889.034 | time:   0.034
 inference:    15 | throughput: 1896.963 | time:   0.034
 inference:    16 | throughput: 1886.551 | time:   0.034
 inference:    17 | throughput: 1882.952 | time:   0.034
 inference:    18 | throughput: 1881.671 | time:   0.034
 inference:    19 | throughput: 1843.625 | time:   0.035
 inference:    20 | throughput: 1856.772 | time:   0.034
 inference:    21 | throughput: 1894.888 | time:   0.034
 inference:    22 | throughput: 1892.870 | time:   0.034
 inference:    23 | throughput: 1874.863 | time:   0.034
 inference:    24 | throughput: 1902.138 | time:   0.034
 inference:    25 | throughput: 1892.123 | time:   0.034
 inference:    26 | throughput: 1873.790 | time:   0.034
 inference:    27 | throughput: 1897.218 | time:   0.034
 inference:    28 | throughput: 1844.030 | time:   0.035
 inference:    29 | throughput: 1900.065 | time:   0.034
 inference:    30 | throughput: 1839.241 | time:   0.035
 inference:    31 | throughput: 1864.912 | time:   0.034
 inference:    32 | throughput: 1874.026 | time:   0.034
 inference:    33 | throughput: 1886.445 | time:   0.034
 inference:    34 | throughput: 1879.984 | time:   0.034
 inference:    35 | throughput: 1905.947 | time:   0.034
 inference:    36 | throughput: 1877.407 | time:   0.034
 inference:    37 | throughput: 1908.196 | time:   0.034
 inference:    38 | throughput: 1887.201 | time:   0.034
 inference:    39 | throughput: 1884.128 | time:   0.034
 inference:    40 | throughput: 1877.906 | time:   0.034
 inference:    41 | throughput: 1861.601 | time:   0.034
 inference:    42 | throughput: 1848.920 | time:   0.035
 inference:    43 | throughput: 1902.448 | time:   0.034
 inference:    44 | throughput: 1878.182 | time:   0.034
 inference:    45 | throughput: 1910.015 | time:   0.034
 inference:    46 | throughput: 1853.631 | time:   0.035
 inference:    47 | throughput: 1907.965 | time:   0.034
 inference:    48 | throughput: 1908.983 | time:   0.034
 inference:    49 | throughput: 1876.069 | time:   0.034
 inference:    50 | throughput: 1878.301 | time:   0.034
 inference:    51 | throughput: 1879.550 | time:   0.034
 inference:    52 | throughput: 1860.750 | time:   0.034
 inference:    53 | throughput: 1861.769 | time:   0.034
 inference:    54 | throughput: 1875.217 | time:   0.034
 inference:    55 | throughput: 1899.110 | time:   0.034
 inference:    56 | throughput: 1854.438 | time:   0.035
 inference:    57 | throughput: 1904.041 | time:   0.034
 inference:    58 | throughput: 1890.404 | time:   0.034
 inference:    59 | throughput: 1905.757 | time:   0.034
 inference:    60 | throughput: 1877.631 | time:   0.034
 inference:    61 | throughput: 1900.307 | time:   0.034
 inference:    62 | throughput: 1867.559 | time:   0.034
 inference:    63 | throughput: 1861.898 | time:   0.034
 inference:    64 | throughput: 1843.891 | time:   0.035
 inference:    65 | throughput: 1898.681 | time:   0.034
 inference:    66 | throughput: 1888.887 | time:   0.034
 inference:    67 | throughput: 1900.603 | time:   0.034
 inference:    68 | throughput: 1883.348 | time:   0.034
 inference:    69 | throughput: 1871.243 | time:   0.034
 inference:    70 | throughput: 1904.324 | time:   0.034
 inference:    71 | throughput: 1906.570 | time:   0.034
 inference:    72 | throughput: 1876.685 | time:   0.034
 inference:    73 | throughput: 1889.433 | time:   0.034
 inference:    74 | throughput: 1829.651 | time:   0.035
 inference:    75 | throughput: 1875.270 | time:   0.034
 inference:    76 | throughput: 1874.130 | time:   0.034
 inference:    77 | throughput: 1889.885 | time:   0.034
 inference:    78 | throughput: 1893.564 | time:   0.034
 inference:    79 | throughput: 1887.878 | time:   0.034
 inference:    80 | throughput: 1872.418 | time:   0.034
 inference:    81 | throughput: 1900.455 | time:   0.034
 inference:    82 | throughput: 1884.419 | time:   0.034
 inference:    83 | throughput: 1894.593 | time:   0.034
 inference:    84 | throughput: 1867.585 | time:   0.034
 inference:    85 | throughput: 1866.442 | time:   0.034
 inference:    86 | throughput: 1862.441 | time:   0.034
 inference:    87 | throughput: 1860.543 | time:   0.034
 inference:    88 | throughput: 1900.213 | time:   0.034
 inference:    89 | throughput: 1890.284 | time:   0.034
 inference:    90 | throughput: 1898.251 | time:   0.034
 inference:    91 | throughput: 1895.115 | time:   0.034
 inference:    92 | throughput: 1895.811 | time:   0.034
 inference:    93 | throughput: 1862.260 | time:   0.034
 inference:    94 | throughput: 1894.968 | time:   0.034
 inference:    95 | throughput: 1895.356 | time:   0.034
 inference:    96 | throughput: 1871.961 | time:   0.034
 inference:    97 | throughput: 1853.414 | time:   0.035
 inference:    98 | throughput: 1838.020 | time:   0.035
 inference:    99 | throughput: 1906.651 | time:   0.034
 inference:   100 | throughput: 1877.893 | time:   0.034

Total inference throughput: 1889.95744, Total inference latency: 0.03386
