Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 2772.349 | time:   0.023
 inference:     2 | throughput: 2809.107 | time:   0.023
 inference:     3 | throughput: 1840.048 | time:   0.035
 inference:     4 | throughput: 1608.592 | time:   0.040
 inference:     5 | throughput: 2214.796 | time:   0.029
 inference:     6 | throughput: 1861.627 | time:   0.034
 inference:     7 | throughput: 1872.483 | time:   0.034
 inference:     8 | throughput: 1849.226 | time:   0.035
 inference:     9 | throughput: 1848.882 | time:   0.035
 inference:    10 | throughput: 1870.005 | time:   0.034
 inference:    11 | throughput: 1869.627 | time:   0.034
 inference:    12 | throughput: 1859.370 | time:   0.034
 inference:    13 | throughput: 1864.044 | time:   0.034
 inference:    14 | throughput: 1866.715 | time:   0.034
 inference:    15 | throughput: 1864.537 | time:   0.034
 inference:    16 | throughput: 1861.795 | time:   0.034
 inference:    17 | throughput: 1874.183 | time:   0.034
 inference:    18 | throughput: 1862.505 | time:   0.034
 inference:    19 | throughput: 1869.601 | time:   0.034
 inference:    20 | throughput: 1855.758 | time:   0.034
 inference:    21 | throughput: 1879.813 | time:   0.034
 inference:    22 | throughput: 1834.503 | time:   0.035
 inference:    23 | throughput: 1864.990 | time:   0.034
 inference:    24 | throughput: 1886.485 | time:   0.034
 inference:    25 | throughput: 1851.611 | time:   0.035
 inference:    26 | throughput: 1860.879 | time:   0.034
 inference:    27 | throughput: 1854.797 | time:   0.035
 inference:    28 | throughput: 1879.155 | time:   0.034
 inference:    29 | throughput: 1860.401 | time:   0.034
 inference:    30 | throughput: 1856.439 | time:   0.034
 inference:    31 | throughput: 1873.450 | time:   0.034
 inference:    32 | throughput: 1839.607 | time:   0.035
 inference:    33 | throughput: 1863.372 | time:   0.034
 inference:    34 | throughput: 1871.022 | time:   0.034
 inference:    35 | throughput: 1858.791 | time:   0.034
 inference:    36 | throughput: 1880.221 | time:   0.034
 inference:    37 | throughput: 1865.560 | time:   0.034
 inference:    38 | throughput: 1854.707 | time:   0.035
 inference:    39 | throughput: 1869.940 | time:   0.034
 inference:    40 | throughput: 1870.943 | time:   0.034
 inference:    41 | throughput: 1868.976 | time:   0.034
 inference:    42 | throughput: 1867.845 | time:   0.034
 inference:    43 | throughput: 1872.509 | time:   0.034
 inference:    44 | throughput: 1864.303 | time:   0.034
 inference:    45 | throughput: 1839.393 | time:   0.035
 inference:    46 | throughput: 1871.778 | time:   0.034
 inference:    47 | throughput: 1867.000 | time:   0.034
 inference:    48 | throughput: 1857.184 | time:   0.034
 inference:    49 | throughput: 1871.582 | time:   0.034
 inference:    50 | throughput: 1834.102 | time:   0.035
 inference:    51 | throughput: 1881.684 | time:   0.034
 inference:    52 | throughput: 1856.644 | time:   0.034
 inference:    53 | throughput: 1862.079 | time:   0.034
 inference:    54 | throughput: 1868.365 | time:   0.034
 inference:    55 | throughput: 1850.947 | time:   0.035
 inference:    56 | throughput: 1849.570 | time:   0.035
 inference:    57 | throughput: 1866.546 | time:   0.034
 inference:    58 | throughput: 1873.725 | time:   0.034
 inference:    59 | throughput: 1859.873 | time:   0.034
 inference:    60 | throughput: 1852.135 | time:   0.035
 inference:    61 | throughput: 1860.646 | time:   0.034
 inference:    62 | throughput: 1849.608 | time:   0.035
 inference:    63 | throughput: 1894.379 | time:   0.034
 inference:    64 | throughput: 1873.071 | time:   0.034
 inference:    65 | throughput: 1867.624 | time:   0.034
 inference:    66 | throughput: 1870.930 | time:   0.034
 inference:    67 | throughput: 1859.100 | time:   0.034
 inference:    68 | throughput: 1851.253 | time:   0.035
 inference:    69 | throughput: 1857.415 | time:   0.034
 inference:    70 | throughput: 1880.577 | time:   0.034
 inference:    71 | throughput: 1871.230 | time:   0.034
 inference:    72 | throughput: 1843.764 | time:   0.035
 inference:    73 | throughput: 1849.939 | time:   0.035
 inference:    74 | throughput: 1875.545 | time:   0.034
 inference:    75 | throughput: 1863.915 | time:   0.034
 inference:    76 | throughput: 1863.682 | time:   0.034
 inference:    77 | throughput: 1861.614 | time:   0.034
 inference:    78 | throughput: 1865.923 | time:   0.034
 inference:    79 | throughput: 1831.461 | time:   0.035
 inference:    80 | throughput: 1876.489 | time:   0.034
 inference:    81 | throughput: 1864.666 | time:   0.034
 inference:    82 | throughput: 1861.369 | time:   0.034
 inference:    83 | throughput: 1867.416 | time:   0.034
 inference:    84 | throughput: 1855.540 | time:   0.034
 inference:    85 | throughput: 1873.137 | time:   0.034
 inference:    86 | throughput: 1863.268 | time:   0.034
 inference:    87 | throughput: 1866.416 | time:   0.034
 inference:    88 | throughput: 1870.474 | time:   0.034
 inference:    89 | throughput: 1868.846 | time:   0.034
 inference:    90 | throughput: 1872.666 | time:   0.034
 inference:    91 | throughput: 1869.145 | time:   0.034
 inference:    92 | throughput: 1821.791 | time:   0.035
 inference:    93 | throughput: 1871.713 | time:   0.034
 inference:    94 | throughput: 1860.634 | time:   0.034
 inference:    95 | throughput: 1853.554 | time:   0.035
 inference:    96 | throughput: 1864.213 | time:   0.034
 inference:    97 | throughput: 1841.854 | time:   0.035
 inference:    98 | throughput: 1871.504 | time:   0.034
 inference:    99 | throughput: 1864.718 | time:   0.034
 inference:   100 | throughput: 1853.465 | time:   0.035

Total inference throughput: 1874.99720, Total inference latency: 0.03413
