Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 576.148 | time:   0.111
 inference:     2 | throughput: 4082.917 | time:   0.016
 inference:     3 | throughput: 2088.797 | time:   0.031
 inference:     4 | throughput: 224.955 | time:   0.285
 inference:     5 | throughput: 3583.679 | time:   0.018
 inference:     6 | throughput: 2102.952 | time:   0.030
 inference:     7 | throughput: 1909.920 | time:   0.034
 inference:     8 | throughput: 1913.801 | time:   0.033
 inference:     9 | throughput: 1905.433 | time:   0.034
 inference:    10 | throughput: 1895.115 | time:   0.034
 inference:    11 | throughput: 1863.268 | time:   0.034
 inference:    12 | throughput: 1877.867 | time:   0.034
 inference:    13 | throughput: 1830.500 | time:   0.035
 inference:    14 | throughput: 1824.007 | time:   0.035
 inference:    15 | throughput: 1838.511 | time:   0.035
 inference:    16 | throughput: 1861.459 | time:   0.034
 inference:    17 | throughput: 1856.413 | time:   0.034
 inference:    18 | throughput: 1845.513 | time:   0.035
 inference:    19 | throughput: 1861.769 | time:   0.034
 inference:    20 | throughput: 1848.614 | time:   0.035
 inference:    21 | throughput: 1847.355 | time:   0.035
 inference:    22 | throughput: 1849.850 | time:   0.035
 inference:    23 | throughput: 1847.635 | time:   0.035
 inference:    24 | throughput: 1875.781 | time:   0.034
 inference:    25 | throughput: 1856.760 | time:   0.034
 inference:    26 | throughput: 1876.725 | time:   0.034
 inference:    27 | throughput: 1866.157 | time:   0.034
 inference:    28 | throughput: 1832.937 | time:   0.035
 inference:    29 | throughput: 1833.864 | time:   0.035
 inference:    30 | throughput: 1863.216 | time:   0.034
 inference:    31 | throughput: 1875.794 | time:   0.034
 inference:    32 | throughput: 1872.065 | time:   0.034
 inference:    33 | throughput: 1865.482 | time:   0.034
 inference:    34 | throughput: 1744.753 | time:   0.037
 inference:    35 | throughput: 1859.783 | time:   0.034
 inference:    36 | throughput: 1876.580 | time:   0.034
 inference:    37 | throughput: 1839.015 | time:   0.035
 inference:    38 | throughput: 1854.566 | time:   0.035
 inference:    39 | throughput: 1864.044 | time:   0.034
 inference:    40 | throughput: 1874.117 | time:   0.034
 inference:    41 | throughput: 1865.664 | time:   0.034
 inference:    42 | throughput: 1864.601 | time:   0.034
 inference:    43 | throughput: 1869.171 | time:   0.034
 inference:    44 | throughput: 1834.428 | time:   0.035
 inference:    45 | throughput: 1854.925 | time:   0.035
 inference:    46 | throughput: 1862.079 | time:   0.034
 inference:    47 | throughput: 1870.057 | time:   0.034
 inference:    48 | throughput: 1877.499 | time:   0.034
 inference:    49 | throughput: 1837.102 | time:   0.035
 inference:    50 | throughput: 1828.766 | time:   0.035
 inference:    51 | throughput: 1849.468 | time:   0.035
 inference:    52 | throughput: 1845.044 | time:   0.035
 inference:    53 | throughput: 1854.874 | time:   0.035
 inference:    54 | throughput: 1872.248 | time:   0.034
 inference:    55 | throughput: 1863.527 | time:   0.034
 inference:    56 | throughput: 1881.539 | time:   0.034
 inference:    57 | throughput: 1830.887 | time:   0.035
 inference:    58 | throughput: 1862.570 | time:   0.034
 inference:    59 | throughput: 1885.597 | time:   0.034
 inference:    60 | throughput: 1836.360 | time:   0.035
 inference:    61 | throughput: 1869.783 | time:   0.034
 inference:    62 | throughput: 1834.064 | time:   0.035
 inference:    63 | throughput: 1874.052 | time:   0.034
 inference:    64 | throughput: 1871.517 | time:   0.034
 inference:    65 | throughput: 1825.508 | time:   0.035
 inference:    66 | throughput: 1836.875 | time:   0.035
 inference:    67 | throughput: 1845.767 | time:   0.035
 inference:    68 | throughput: 1862.247 | time:   0.034
 inference:    69 | throughput: 1850.654 | time:   0.035
 inference:    70 | throughput: 1880.116 | time:   0.034
 inference:    71 | throughput: 1871.830 | time:   0.034
 inference:    72 | throughput: 1867.819 | time:   0.034
 inference:    73 | throughput: 1860.066 | time:   0.034
 inference:    74 | throughput: 1858.148 | time:   0.034
 inference:    75 | throughput: 1859.036 | time:   0.034
 inference:    76 | throughput: 1856.618 | time:   0.034
 inference:    77 | throughput: 1878.104 | time:   0.034
 inference:    78 | throughput: 1866.520 | time:   0.034
 inference:    79 | throughput: 1891.509 | time:   0.034
 inference:    80 | throughput: 1820.346 | time:   0.035
 inference:    81 | throughput: 1817.474 | time:   0.035
 inference:    82 | throughput: 1869.666 | time:   0.034
 inference:    83 | throughput: 1896.936 | time:   0.034
 inference:    84 | throughput: 1852.084 | time:   0.035
 inference:    85 | throughput: 1862.738 | time:   0.034
 inference:    86 | throughput: 1798.020 | time:   0.036
 inference:    87 | throughput: 1846.770 | time:   0.035
 inference:    88 | throughput: 1857.955 | time:   0.034
 inference:    89 | throughput: 1851.624 | time:   0.035
 inference:    90 | throughput: 1853.798 | time:   0.035
 inference:    91 | throughput: 1840.881 | time:   0.035
 inference:    92 | throughput: 1876.082 | time:   0.034
 inference:    93 | throughput: 1877.000 | time:   0.034
 inference:    94 | throughput: 1867.195 | time:   0.034
 inference:    95 | throughput: 1855.015 | time:   0.035
 inference:    96 | throughput: 1856.092 | time:   0.034
 inference:    97 | throughput: 1852.544 | time:   0.035
 inference:    98 | throughput: 1863.941 | time:   0.034
 inference:    99 | throughput: 1878.840 | time:   0.034
 inference:   100 | throughput: 1858.688 | time:   0.034

Total inference throughput: 1716.61220, Total inference latency: 0.03728
