Data loading...
resnet50-16 Model building...
Start inference...

 inference:     1 | throughput: 335.273 | time:   0.048
 inference:     2 | throughput: 1360.131 | time:   0.012
 inference:     3 | throughput: 565.351 | time:   0.028
 inference:     4 | throughput: 559.870 | time:   0.029
 inference:     5 | throughput: 554.088 | time:   0.029
 inference:     6 | throughput: 552.382 | time:   0.029
 inference:     7 | throughput: 558.970 | time:   0.029
 inference:     8 | throughput: 556.223 | time:   0.029
 inference:     9 | throughput: 556.209 | time:   0.029
 inference:    10 | throughput: 555.289 | time:   0.029
 inference:    11 | throughput: 556.329 | time:   0.029
 inference:    12 | throughput: 555.344 | time:   0.029
 inference:    13 | throughput: 556.131 | time:   0.029
 inference:    14 | throughput: 555.546 | time:   0.029
 inference:    15 | throughput: 557.179 | time:   0.029
 inference:    16 | throughput: 555.004 | time:   0.029
 inference:    17 | throughput: 553.676 | time:   0.029
 inference:    18 | throughput: 557.290 | time:   0.029
 inference:    19 | throughput: 558.008 | time:   0.029
 inference:    20 | throughput: 546.583 | time:   0.029
 inference:    21 | throughput: 553.932 | time:   0.029
 inference:    22 | throughput: 561.515 | time:   0.028
 inference:    23 | throughput: 557.790 | time:   0.029
 inference:    24 | throughput: 554.568 | time:   0.029
 inference:    25 | throughput: 549.964 | time:   0.029
 inference:    26 | throughput: 556.274 | time:   0.029
 inference:    27 | throughput: 554.316 | time:   0.029
 inference:    28 | throughput: 557.508 | time:   0.029
 inference:    29 | throughput: 555.390 | time:   0.029
 inference:    30 | throughput: 553.589 | time:   0.029
 inference:    31 | throughput: 552.832 | time:   0.029
 inference:    32 | throughput: 558.975 | time:   0.029
 inference:    33 | throughput: 556.205 | time:   0.029
 inference:    34 | throughput: 555.785 | time:   0.029
 inference:    35 | throughput: 554.908 | time:   0.029
 inference:    36 | throughput: 555.900 | time:   0.029
 inference:    37 | throughput: 556.149 | time:   0.029
 inference:    38 | throughput: 556.246 | time:   0.029
 inference:    39 | throughput: 556.177 | time:   0.029
 inference:    40 | throughput: 555.275 | time:   0.029
 inference:    41 | throughput: 555.772 | time:   0.029
 inference:    42 | throughput: 556.126 | time:   0.029
 inference:    43 | throughput: 554.399 | time:   0.029
 inference:    44 | throughput: 554.940 | time:   0.029
 inference:    45 | throughput: 549.388 | time:   0.029
 inference:    46 | throughput: 560.169 | time:   0.029
 inference:    47 | throughput: 557.531 | time:   0.029
 inference:    48 | throughput: 557.540 | time:   0.029
 inference:    49 | throughput: 552.655 | time:   0.029
 inference:    50 | throughput: 551.787 | time:   0.029
 inference:    51 | throughput: 552.805 | time:   0.029
 inference:    52 | throughput: 560.132 | time:   0.029
 inference:    53 | throughput: 553.037 | time:   0.029
 inference:    54 | throughput: 555.183 | time:   0.029
 inference:    55 | throughput: 557.230 | time:   0.029
 inference:    56 | throughput: 551.551 | time:   0.029
 inference:    57 | throughput: 555.211 | time:   0.029
 inference:    58 | throughput: 554.463 | time:   0.029
 inference:    59 | throughput: 555.224 | time:   0.029
 inference:    60 | throughput: 554.339 | time:   0.029
 inference:    61 | throughput: 557.679 | time:   0.029
 inference:    62 | throughput: 554.394 | time:   0.029
 inference:    63 | throughput: 555.781 | time:   0.029
 inference:    64 | throughput: 557.022 | time:   0.029
 inference:    65 | throughput: 555.831 | time:   0.029
 inference:    66 | throughput: 554.197 | time:   0.029
 inference:    67 | throughput: 558.859 | time:   0.029
 inference:    68 | throughput: 552.723 | time:   0.029
 inference:    69 | throughput: 557.248 | time:   0.029
 inference:    70 | throughput: 551.741 | time:   0.029
 inference:    71 | throughput: 556.638 | time:   0.029
 inference:    72 | throughput: 556.781 | time:   0.029
 inference:    73 | throughput: 556.329 | time:   0.029
 inference:    74 | throughput: 552.778 | time:   0.029
 inference:    75 | throughput: 549.829 | time:   0.029
 inference:    76 | throughput: 557.549 | time:   0.029
 inference:    77 | throughput: 555.408 | time:   0.029
 inference:    78 | throughput: 556.638 | time:   0.029
 inference:    79 | throughput: 555.873 | time:   0.029
 inference:    80 | throughput: 556.694 | time:   0.029
 inference:    81 | throughput: 551.474 | time:   0.029
 inference:    82 | throughput: 556.962 | time:   0.029
 inference:    83 | throughput: 556.034 | time:   0.029
 inference:    84 | throughput: 553.489 | time:   0.029
 inference:    85 | throughput: 558.338 | time:   0.029
 inference:    86 | throughput: 556.647 | time:   0.029
 inference:    87 | throughput: 555.358 | time:   0.029
 inference:    88 | throughput: 555.032 | time:   0.029
 inference:    89 | throughput: 556.491 | time:   0.029
 inference:    90 | throughput: 556.527 | time:   0.029
 inference:    91 | throughput: 556.338 | time:   0.029
 inference:    92 | throughput: 553.334 | time:   0.029
 inference:    93 | throughput: 556.412 | time:   0.029
 inference:    94 | throughput: 556.551 | time:   0.029
 inference:    95 | throughput: 548.150 | time:   0.029
 inference:    96 | throughput: 560.516 | time:   0.029
 inference:    97 | throughput: 554.509 | time:   0.029
 inference:    98 | throughput: 556.837 | time:   0.029
 inference:    99 | throughput: 550.221 | time:   0.029
 inference:   100 | throughput: 554.234 | time:   0.029

Total inference throughput: 555.09132, Total inference latency: 0.02882
