Data loading...
resnet50-2 Model building...
Start inference...

 inference:     1 | throughput:   4.872 | time:   0.410
 inference:     2 | throughput: 175.847 | time:   0.011
 inference:     3 | throughput: 249.283 | time:   0.008
 inference:     4 | throughput: 344.473 | time:   0.006
 inference:     5 | throughput: 369.575 | time:   0.005
 inference:     6 | throughput: 406.642 | time:   0.005
 inference:     7 | throughput: 412.460 | time:   0.005
 inference:     8 | throughput: 410.442 | time:   0.005
 inference:     9 | throughput: 413.252 | time:   0.005
 inference:    10 | throughput: 403.163 | time:   0.005
 inference:    11 | throughput: 412.561 | time:   0.005
 inference:    12 | throughput: 408.344 | time:   0.005
 inference:    13 | throughput: 412.947 | time:   0.005
 inference:    14 | throughput: 406.839 | time:   0.005
 inference:    15 | throughput: 414.867 | time:   0.005
 inference:    16 | throughput: 414.887 | time:   0.005
 inference:    17 | throughput: 419.158 | time:   0.005
 inference:    18 | throughput: 407.610 | time:   0.005
 inference:    19 | throughput: 406.484 | time:   0.005
 inference:    20 | throughput: 410.121 | time:   0.005
 inference:    21 | throughput: 405.678 | time:   0.005
 inference:    22 | throughput: 414.334 | time:   0.005
 inference:    23 | throughput: 416.060 | time:   0.005
 inference:    24 | throughput: 407.590 | time:   0.005
 inference:    25 | throughput: 401.830 | time:   0.005
 inference:    26 | throughput: 400.277 | time:   0.005
 inference:    27 | throughput: 400.048 | time:   0.005
 inference:    28 | throughput: 395.951 | time:   0.005
 inference:    29 | throughput: 400.239 | time:   0.005
 inference:    30 | throughput: 402.023 | time:   0.005
 inference:    31 | throughput: 399.286 | time:   0.005
 inference:    32 | throughput: 409.760 | time:   0.005
 inference:    33 | throughput: 404.368 | time:   0.005
 inference:    34 | throughput: 387.590 | time:   0.005
 inference:    35 | throughput: 407.194 | time:   0.005
 inference:    36 | throughput: 396.643 | time:   0.005
 inference:    37 | throughput: 396.643 | time:   0.005
 inference:    38 | throughput: 399.439 | time:   0.005
 inference:    39 | throughput: 403.124 | time:   0.005
 inference:    40 | throughput: 412.399 | time:   0.005
 inference:    41 | throughput: 401.772 | time:   0.005
 inference:    42 | throughput: 400.526 | time:   0.005
 inference:    43 | throughput: 406.878 | time:   0.005
 inference:    44 | throughput: 402.466 | time:   0.005
 inference:    45 | throughput: 414.436 | time:   0.005
 inference:    46 | throughput: 409.440 | time:   0.005
 inference:    47 | throughput: 412.217 | time:   0.005
 inference:    48 | throughput: 404.582 | time:   0.005
 inference:    49 | throughput: 412.399 | time:   0.005
 inference:    50 | throughput: 409.200 | time:   0.005
 inference:    51 | throughput: 405.599 | time:   0.005
 inference:    52 | throughput: 392.964 | time:   0.005
 inference:    53 | throughput: 411.146 | time:   0.005
 inference:    54 | throughput: 408.324 | time:   0.005
 inference:    55 | throughput: 399.458 | time:   0.005
 inference:    56 | throughput: 408.563 | time:   0.005
 inference:    57 | throughput: 410.864 | time:   0.005
 inference:    58 | throughput: 407.432 | time:   0.005
 inference:    59 | throughput: 403.298 | time:   0.005
 inference:    60 | throughput: 399.534 | time:   0.005
 inference:    61 | throughput: 401.542 | time:   0.005
 inference:    62 | throughput: 399.021 | time:   0.005
 inference:    63 | throughput: 401.484 | time:   0.005
 inference:    64 | throughput: 404.621 | time:   0.005
 inference:    65 | throughput: 405.541 | time:   0.005
 inference:    66 | throughput: 412.136 | time:   0.005
 inference:    67 | throughput: 407.254 | time:   0.005
 inference:    68 | throughput: 407.709 | time:   0.005
 inference:    69 | throughput: 407.570 | time:   0.005
 inference:    70 | throughput: 396.643 | time:   0.005
 inference:    71 | throughput: 406.110 | time:   0.005
 inference:    72 | throughput: 405.658 | time:   0.005
 inference:    73 | throughput: 406.169 | time:   0.005
 inference:    74 | throughput: 410.081 | time:   0.005
 inference:    75 | throughput: 404.992 | time:   0.005
 inference:    76 | throughput: 408.145 | time:   0.005
 inference:    77 | throughput: 409.980 | time:   0.005
 inference:    78 | throughput: 406.878 | time:   0.005
 inference:    79 | throughput: 407.768 | time:   0.005
 inference:    80 | throughput: 406.563 | time:   0.005
 inference:    81 | throughput: 406.385 | time:   0.005
 inference:    82 | throughput: 392.578 | time:   0.005
 inference:    83 | throughput: 405.972 | time:   0.005
 inference:    84 | throughput: 401.273 | time:   0.005
 inference:    85 | throughput: 408.165 | time:   0.005
 inference:    86 | throughput: 403.978 | time:   0.005
 inference:    87 | throughput: 401.907 | time:   0.005
 inference:    88 | throughput: 408.304 | time:   0.005
 inference:    89 | throughput: 404.290 | time:   0.005
 inference:    90 | throughput: 410.824 | time:   0.005
 inference:    91 | throughput: 404.797 | time:   0.005
 inference:    92 | throughput: 408.602 | time:   0.005
 inference:    93 | throughput: 407.056 | time:   0.005
 inference:    94 | throughput: 403.512 | time:   0.005
 inference:    95 | throughput: 405.110 | time:   0.005
 inference:    96 | throughput: 407.511 | time:   0.005
 inference:    97 | throughput: 407.194 | time:   0.005
 inference:    98 | throughput: 405.345 | time:   0.005
 inference:    99 | throughput: 408.404 | time:   0.005
 inference:   100 | throughput: 412.480 | time:   0.005

Total inference throughput: 219.98936, Total inference latency: 0.00909
