Data loading...
resnet50-8 Model building...
Start inference...

 inference:     1 | throughput:  18.925 | time:   0.423
 inference:     2 | throughput: 676.678 | time:   0.012
 inference:     3 | throughput: 956.703 | time:   0.008
 inference:     4 | throughput: 1153.628 | time:   0.007
 inference:     5 | throughput: 1490.844 | time:   0.005
 inference:     6 | throughput: 1180.413 | time:   0.007
 inference:     7 | throughput: 1186.088 | time:   0.007
 inference:     8 | throughput: 1164.236 | time:   0.007
 inference:     9 | throughput: 1178.920 | time:   0.007
 inference:    10 | throughput: 1169.225 | time:   0.007
 inference:    11 | throughput: 1177.596 | time:   0.007
 inference:    12 | throughput: 1162.219 | time:   0.007
 inference:    13 | throughput: 1178.506 | time:   0.007
 inference:    14 | throughput: 1159.568 | time:   0.007
 inference:    15 | throughput: 1172.330 | time:   0.007
 inference:    16 | throughput: 1165.084 | time:   0.007
 inference:    17 | throughput: 1138.287 | time:   0.007
 inference:    18 | throughput: 1181.452 | time:   0.007
 inference:    19 | throughput: 1173.355 | time:   0.007
 inference:    20 | throughput: 1140.842 | time:   0.007
 inference:    21 | throughput: 1204.481 | time:   0.007
 inference:    22 | throughput: 1173.601 | time:   0.007
 inference:    23 | throughput: 1164.518 | time:   0.007
 inference:    24 | throughput: 1156.491 | time:   0.007
 inference:    25 | throughput: 1155.854 | time:   0.007
 inference:    26 | throughput: 1191.860 | time:   0.007
 inference:    27 | throughput: 1178.920 | time:   0.007
 inference:    28 | throughput: 1176.770 | time:   0.007
 inference:    29 | throughput: 1123.537 | time:   0.007
 inference:    30 | throughput: 1213.805 | time:   0.007
 inference:    31 | throughput: 1152.677 | time:   0.007
 inference:    32 | throughput: 1187.095 | time:   0.007
 inference:    33 | throughput: 1186.382 | time:   0.007
 inference:    34 | throughput: 1161.495 | time:   0.007
 inference:    35 | throughput: 1168.452 | time:   0.007
 inference:    36 | throughput: 1155.217 | time:   0.007
 inference:    37 | throughput: 1181.452 | time:   0.007
 inference:    38 | throughput: 1170.776 | time:   0.007
 inference:    39 | throughput: 1155.893 | time:   0.007
 inference:    40 | throughput: 1182.202 | time:   0.007
 inference:    41 | throughput: 1181.037 | time:   0.007
 inference:    42 | throughput: 1158.608 | time:   0.007
 inference:    43 | throughput: 1152.479 | time:   0.007
 inference:    44 | throughput: 1170.694 | time:   0.007
 inference:    45 | throughput: 1175.863 | time:   0.007
 inference:    46 | throughput: 1178.382 | time:   0.007
 inference:    47 | throughput: 1157.448 | time:   0.007
 inference:    48 | throughput: 1196.322 | time:   0.007
 inference:    49 | throughput: 1172.248 | time:   0.007
 inference:    50 | throughput: 1133.213 | time:   0.007
 inference:    51 | throughput: 1193.089 | time:   0.007
 inference:    52 | throughput: 1174.012 | time:   0.007
 inference:    53 | throughput: 1172.904 | time:   0.007
 inference:    54 | throughput: 1172.248 | time:   0.007
 inference:    55 | throughput: 1185.837 | time:   0.007
 inference:    56 | throughput: 1161.374 | time:   0.007
 inference:    57 | throughput: 1142.201 | time:   0.007
 inference:    58 | throughput: 1176.317 | time:   0.007
 inference:    59 | throughput: 1169.592 | time:   0.007
 inference:    60 | throughput: 1183.620 | time:   0.007
 inference:    61 | throughput: 1189.873 | time:   0.007
 inference:    62 | throughput: 1163.832 | time:   0.007
 inference:    63 | throughput: 1171.511 | time:   0.007
 inference:    64 | throughput: 1163.146 | time:   0.007
 inference:    65 | throughput: 1176.647 | time:   0.007
 inference:    66 | throughput: 1175.245 | time:   0.007
 inference:    67 | throughput: 1162.703 | time:   0.007
 inference:    68 | throughput: 1176.358 | time:   0.007
 inference:    69 | throughput: 1165.449 | time:   0.007
 inference:    70 | throughput: 1168.167 | time:   0.007
 inference:    71 | throughput: 1152.796 | time:   0.007
 inference:    72 | throughput: 1172.945 | time:   0.007
 inference:    73 | throughput: 1186.298 | time:   0.007
 inference:    74 | throughput: 1146.298 | time:   0.007
 inference:    75 | throughput: 1175.163 | time:   0.007
 inference:    76 | throughput: 1192.453 | time:   0.007
 inference:    77 | throughput: 1153.192 | time:   0.007
 inference:    78 | throughput: 1170.408 | time:   0.007
 inference:    79 | throughput: 1183.202 | time:   0.007
 inference:    80 | throughput: 1166.745 | time:   0.007
 inference:    81 | throughput: 1162.864 | time:   0.007
 inference:    82 | throughput: 1186.004 | time:   0.007
 inference:    83 | throughput: 1161.334 | time:   0.007
 inference:    84 | throughput: 1173.560 | time:   0.007
 inference:    85 | throughput: 1161.174 | time:   0.007
 inference:    86 | throughput: 1149.912 | time:   0.007
 inference:    87 | throughput: 1194.448 | time:   0.007
 inference:    88 | throughput: 1173.191 | time:   0.007
 inference:    89 | throughput: 1174.423 | time:   0.007
 inference:    90 | throughput: 1175.040 | time:   0.007
 inference:    91 | throughput: 1167.192 | time:   0.007
 inference:    92 | throughput: 1136.244 | time:   0.007
 inference:    93 | throughput: 1201.763 | time:   0.007
 inference:    94 | throughput: 1171.225 | time:   0.007
 inference:    95 | throughput: 1161.174 | time:   0.007
 inference:    96 | throughput: 1178.010 | time:   0.007
 inference:    97 | throughput: 1159.328 | time:   0.007
 inference:    98 | throughput: 1136.167 | time:   0.007
 inference:    99 | throughput: 1197.175 | time:   0.007
 inference:   100 | throughput: 1151.807 | time:   0.007

Total inference throughput: 724.09250, Total inference latency: 0.01105
