Data loading...
densenet121-32 Model building...
Start inference...

 inference:     1 | throughput:  60.589 | time:   0.528
 inference:     2 | throughput: 1240.333 | time:   0.026
 inference:     3 | throughput: 2035.236 | time:   0.016
 inference:     4 | throughput: 1532.603 | time:   0.021
 inference:     5 | throughput: 1483.528 | time:   0.022
 inference:     6 | throughput: 1510.729 | time:   0.021
 inference:     7 | throughput: 1495.912 | time:   0.021
 inference:     8 | throughput: 1525.895 | time:   0.021
 inference:     9 | throughput: 1538.365 | time:   0.021
 inference:    10 | throughput: 1501.955 | time:   0.021
 inference:    11 | throughput: 1533.917 | time:   0.021
 inference:    12 | throughput: 1513.216 | time:   0.021
 inference:    13 | throughput: 1517.562 | time:   0.021
 inference:    14 | throughput: 1499.924 | time:   0.021
 inference:    15 | throughput: 1513.318 | time:   0.021
 inference:    16 | throughput: 1514.770 | time:   0.021
 inference:    17 | throughput: 1527.597 | time:   0.021
 inference:    18 | throughput: 1506.439 | time:   0.021
 inference:    19 | throughput: 1520.157 | time:   0.021
 inference:    20 | throughput: 1513.028 | time:   0.021
 inference:    21 | throughput: 1522.727 | time:   0.021
 inference:    22 | throughput: 1503.099 | time:   0.021
 inference:    23 | throughput: 1523.591 | time:   0.021
 inference:    24 | throughput: 1518.455 | time:   0.021
 inference:    25 | throughput: 1515.454 | time:   0.021
 inference:    26 | throughput: 1503.688 | time:   0.021
 inference:    27 | throughput: 1529.721 | time:   0.021
 inference:    28 | throughput: 1514.497 | time:   0.021
 inference:    29 | throughput: 1503.655 | time:   0.021
 inference:    30 | throughput: 1526.364 | time:   0.021
 inference:    31 | throughput: 1487.902 | time:   0.022
 inference:    32 | throughput: 1512.415 | time:   0.021
 inference:    33 | throughput: 1515.625 | time:   0.021
 inference:    34 | throughput: 1511.155 | time:   0.021
 inference:    35 | throughput: 1538.788 | time:   0.021
 inference:    36 | throughput: 1492.203 | time:   0.021
 inference:    37 | throughput: 1525.201 | time:   0.021
 inference:    38 | throughput: 1519.968 | time:   0.021
 inference:    39 | throughput: 1557.249 | time:   0.021
 inference:    40 | throughput: 1532.096 | time:   0.021
 inference:    41 | throughput: 1499.053 | time:   0.021
 inference:    42 | throughput: 1509.200 | time:   0.021
 inference:    43 | throughput: 1508.234 | time:   0.021
 inference:    44 | throughput: 1520.708 | time:   0.021
 inference:    45 | throughput: 1512.398 | time:   0.021
 inference:    46 | throughput: 1509.200 | time:   0.021
 inference:    47 | throughput: 1523.107 | time:   0.021
 inference:    48 | throughput: 1531.239 | time:   0.021
 inference:    49 | throughput: 1524.110 | time:   0.021
 inference:    50 | throughput: 1514.121 | time:   0.021
 inference:    51 | throughput: 1494.813 | time:   0.021
 inference:    52 | throughput: 1517.922 | time:   0.021
 inference:    53 | throughput: 1487.622 | time:   0.022
 inference:    54 | throughput: 1559.094 | time:   0.021
 inference:    55 | throughput: 1531.379 | time:   0.021
 inference:    56 | throughput: 1486.848 | time:   0.022
 inference:    57 | throughput: 1521.933 | time:   0.021
 inference:    58 | throughput: 1518.249 | time:   0.021
 inference:    59 | throughput: 1526.624 | time:   0.021
 inference:    60 | throughput: 1514.223 | time:   0.021
 inference:    61 | throughput: 1514.787 | time:   0.021
 inference:    62 | throughput: 1520.812 | time:   0.021
 inference:    63 | throughput: 1530.122 | time:   0.021
 inference:    64 | throughput: 1526.780 | time:   0.021
 inference:    65 | throughput: 1539.371 | time:   0.021
 inference:    66 | throughput: 1534.180 | time:   0.021
 inference:    67 | throughput: 1506.744 | time:   0.021
 inference:    68 | throughput: 1538.453 | time:   0.021
 inference:    69 | throughput: 1528.780 | time:   0.021
 inference:    70 | throughput: 1493.415 | time:   0.021
 inference:    71 | throughput: 1507.522 | time:   0.021
 inference:    72 | throughput: 1515.317 | time:   0.021
 inference:    73 | throughput: 1526.086 | time:   0.021
 inference:    74 | throughput: 1551.327 | time:   0.021
 inference:    75 | throughput: 1526.364 | time:   0.021
 inference:    76 | throughput: 1547.178 | time:   0.021
 inference:    77 | throughput: 1497.531 | time:   0.021
 inference:    78 | throughput: 1515.078 | time:   0.021
 inference:    79 | throughput: 1518.626 | time:   0.021
 inference:    80 | throughput: 1521.088 | time:   0.021
 inference:    81 | throughput: 1504.514 | time:   0.021
 inference:    82 | throughput: 1507.607 | time:   0.021
 inference:    83 | throughput: 1534.075 | time:   0.021
 inference:    84 | throughput: 1519.314 | time:   0.021
 inference:    85 | throughput: 1525.409 | time:   0.021
 inference:    86 | throughput: 1529.233 | time:   0.021
 inference:    87 | throughput: 1502.594 | time:   0.021
 inference:    88 | throughput: 1529.791 | time:   0.021
 inference:    89 | throughput: 1523.073 | time:   0.021
 inference:    90 | throughput: 1523.920 | time:   0.021
 inference:    91 | throughput: 1525.201 | time:   0.021
 inference:    92 | throughput: 1519.641 | time:   0.021
 inference:    93 | throughput: 1510.389 | time:   0.021
 inference:    94 | throughput: 1535.549 | time:   0.021
 inference:    95 | throughput: 1526.468 | time:   0.021
 inference:    96 | throughput: 1517.339 | time:   0.021
 inference:    97 | throughput: 1533.917 | time:   0.021
 inference:    98 | throughput: 1518.043 | time:   0.021
 inference:    99 | throughput: 1524.405 | time:   0.021
 inference:   100 | throughput: 1499.338 | time:   0.021

Total inference throughput: 1224.10333, Total inference latency: 0.02614
