Data loading...
resnet152-2 Model building...
Start inference...

 inference:     1 | throughput:  92.425 | time:   0.022
 inference:     2 | throughput: 137.087 | time:   0.015
 inference:     3 | throughput: 141.997 | time:   0.014
 inference:     4 | throughput: 144.726 | time:   0.014
 inference:     5 | throughput: 146.421 | time:   0.014
 inference:     6 | throughput: 140.412 | time:   0.014
 inference:     7 | throughput: 140.777 | time:   0.014
 inference:     8 | throughput: 145.620 | time:   0.014
 inference:     9 | throughput: 149.428 | time:   0.013
 inference:    10 | throughput: 151.132 | time:   0.013
 inference:    11 | throughput: 151.035 | time:   0.013
 inference:    12 | throughput: 152.404 | time:   0.013
 inference:    13 | throughput: 152.476 | time:   0.013
 inference:    14 | throughput: 148.874 | time:   0.013
 inference:    15 | throughput: 150.474 | time:   0.013
 inference:    16 | throughput: 151.893 | time:   0.013
 inference:    17 | throughput: 150.655 | time:   0.013
 inference:    18 | throughput: 150.433 | time:   0.013
 inference:    19 | throughput: 152.451 | time:   0.013
 inference:    20 | throughput: 151.430 | time:   0.013
 inference:    21 | throughput: 153.660 | time:   0.013
 inference:    22 | throughput: 148.829 | time:   0.013
 inference:    23 | throughput: 153.152 | time:   0.013
 inference:    24 | throughput: 154.222 | time:   0.013
 inference:    25 | throughput: 156.183 | time:   0.013
 inference:    26 | throughput: 149.564 | time:   0.013
 inference:    27 | throughput: 146.641 | time:   0.014
 inference:    28 | throughput: 146.365 | time:   0.014
 inference:    29 | throughput: 149.514 | time:   0.013
 inference:    30 | throughput: 152.440 | time:   0.013
 inference:    31 | throughput: 150.525 | time:   0.013
 inference:    32 | throughput: 152.492 | time:   0.013
 inference:    33 | throughput: 152.064 | time:   0.013
 inference:    34 | throughput: 153.259 | time:   0.013
 inference:    35 | throughput: 154.149 | time:   0.013
 inference:    36 | throughput: 153.671 | time:   0.013
 inference:    37 | throughput: 152.346 | time:   0.013
 inference:    38 | throughput: 148.426 | time:   0.013
 inference:    39 | throughput: 150.046 | time:   0.013
 inference:    40 | throughput: 151.007 | time:   0.013
 inference:    41 | throughput: 151.013 | time:   0.013
 inference:    42 | throughput: 152.174 | time:   0.013
 inference:    43 | throughput: 149.968 | time:   0.013
 inference:    44 | throughput: 150.584 | time:   0.013
 inference:    45 | throughput: 152.141 | time:   0.013
 inference:    46 | throughput: 151.981 | time:   0.013
 inference:    47 | throughput: 145.904 | time:   0.014
 inference:    48 | throughput: 148.684 | time:   0.013
 inference:    49 | throughput: 151.386 | time:   0.013
 inference:    50 | throughput: 150.831 | time:   0.013
 inference:    51 | throughput: 148.300 | time:   0.013
 inference:    52 | throughput: 145.620 | time:   0.014
 inference:    53 | throughput: 149.279 | time:   0.013
 inference:    54 | throughput: 151.860 | time:   0.013
 inference:    55 | throughput: 151.067 | time:   0.013
 inference:    56 | throughput: 150.051 | time:   0.013
 inference:    57 | throughput: 149.695 | time:   0.013
 inference:    58 | throughput: 151.465 | time:   0.013
 inference:    59 | throughput: 151.866 | time:   0.013
 inference:    60 | throughput: 148.750 | time:   0.013
 inference:    61 | throughput: 151.632 | time:   0.013
 inference:    62 | throughput: 150.587 | time:   0.013
 inference:    63 | throughput: 149.850 | time:   0.013
 inference:    64 | throughput: 151.512 | time:   0.013
 inference:    65 | throughput: 150.674 | time:   0.013
 inference:    66 | throughput: 144.676 | time:   0.014
 inference:    67 | throughput: 147.016 | time:   0.014
 inference:    68 | throughput: 149.325 | time:   0.013
 inference:    69 | throughput: 151.334 | time:   0.013
 inference:    70 | throughput: 152.006 | time:   0.013
 inference:    71 | throughput: 150.999 | time:   0.013
 inference:    72 | throughput: 150.460 | time:   0.013
 inference:    73 | throughput: 150.067 | time:   0.013
 inference:    74 | throughput: 148.824 | time:   0.013
 inference:    75 | throughput: 146.457 | time:   0.014
 inference:    76 | throughput: 144.243 | time:   0.014
 inference:    77 | throughput: 144.444 | time:   0.014
 inference:    78 | throughput: 149.091 | time:   0.013
 inference:    79 | throughput: 149.904 | time:   0.013
 inference:    80 | throughput: 149.700 | time:   0.013
 inference:    81 | throughput: 145.927 | time:   0.014
 inference:    82 | throughput: 147.559 | time:   0.014
 inference:    83 | throughput: 147.653 | time:   0.014
 inference:    84 | throughput: 145.315 | time:   0.014
 inference:    85 | throughput: 148.408 | time:   0.013
 inference:    86 | throughput: 148.932 | time:   0.013
 inference:    87 | throughput: 151.786 | time:   0.013
 inference:    88 | throughput: 148.692 | time:   0.013
 inference:    89 | throughput: 148.290 | time:   0.013
 inference:    90 | throughput: 145.350 | time:   0.014
 inference:    91 | throughput: 142.412 | time:   0.014
 inference:    92 | throughput: 150.150 | time:   0.013
 inference:    93 | throughput: 152.260 | time:   0.013
 inference:    94 | throughput: 148.710 | time:   0.013
 inference:    95 | throughput: 150.331 | time:   0.013
 inference:    96 | throughput: 148.177 | time:   0.013
 inference:    97 | throughput: 147.091 | time:   0.014
 inference:    98 | throughput: 149.426 | time:   0.013
 inference:    99 | throughput: 152.487 | time:   0.013
 inference:   100 | throughput: 151.553 | time:   0.013

Total inference throughput: 148.45215, Total inference latency: 0.01347
