Data loading...
densenet169-16 Model building...
Start inference...

 inference:     1 | throughput:  34.217 | time:   0.468
 inference:     2 | throughput: 538.322 | time:   0.030
 inference:     3 | throughput: 805.977 | time:   0.020
 inference:     4 | throughput: 615.678 | time:   0.026
 inference:     5 | throughput: 597.251 | time:   0.027
 inference:     6 | throughput: 590.851 | time:   0.027
 inference:     7 | throughput: 610.319 | time:   0.026
 inference:     8 | throughput: 559.366 | time:   0.029
 inference:     9 | throughput: 655.776 | time:   0.024
 inference:    10 | throughput: 597.671 | time:   0.027
 inference:    11 | throughput: 608.526 | time:   0.026
 inference:    12 | throughput: 600.188 | time:   0.027
 inference:    13 | throughput:  38.896 | time:   0.411
 inference:    14 | throughput: 777.452 | time:   0.021
 inference:    15 | throughput: 632.404 | time:   0.025
 inference:    16 | throughput: 600.736 | time:   0.027
 inference:    17 | throughput: 599.106 | time:   0.027
 inference:    18 | throughput: 594.726 | time:   0.027
 inference:    19 | throughput: 599.545 | time:   0.027
 inference:    20 | throughput: 591.007 | time:   0.027
 inference:    21 | throughput: 616.492 | time:   0.026
 inference:    22 | throughput: 592.568 | time:   0.027
 inference:    23 | throughput: 617.343 | time:   0.026
 inference:    24 | throughput: 596.932 | time:   0.027
 inference:    25 | throughput: 592.134 | time:   0.027
 inference:    26 | throughput: 604.601 | time:   0.026
 inference:    27 | throughput: 606.404 | time:   0.026
 inference:    28 | throughput: 596.836 | time:   0.027
 inference:    29 | throughput: 604.192 | time:   0.026
 inference:    30 | throughput: 607.865 | time:   0.026
 inference:    31 | throughput: 598.364 | time:   0.027
 inference:    32 | throughput: 607.139 | time:   0.026
 inference:    33 | throughput: 600.849 | time:   0.027
 inference:    34 | throughput: 602.971 | time:   0.027
 inference:    35 | throughput: 601.787 | time:   0.027
 inference:    36 | throughput: 603.247 | time:   0.027
 inference:    37 | throughput: 601.776 | time:   0.027
 inference:    38 | throughput: 604.056 | time:   0.026
 inference:    39 | throughput: 597.735 | time:   0.027
 inference:    40 | throughput: 591.309 | time:   0.027
 inference:    41 | throughput: 607.925 | time:   0.026
 inference:    42 | throughput: 617.150 | time:   0.026
 inference:    43 | throughput: 609.228 | time:   0.026
 inference:    44 | throughput: 576.576 | time:   0.028
 inference:    45 | throughput: 596.550 | time:   0.027
 inference:    46 | throughput: 600.661 | time:   0.027
 inference:    47 | throughput: 603.313 | time:   0.027
 inference:    48 | throughput: 587.407 | time:   0.027
 inference:    49 | throughput: 604.198 | time:   0.026
 inference:    50 | throughput: 617.354 | time:   0.026
 inference:    51 | throughput: 594.805 | time:   0.027
 inference:    52 | throughput: 587.880 | time:   0.027
 inference:    53 | throughput: 606.711 | time:   0.026
 inference:    54 | throughput: 605.173 | time:   0.026
 inference:    55 | throughput: 601.479 | time:   0.027
 inference:    56 | throughput: 596.057 | time:   0.027
 inference:    57 | throughput: 607.936 | time:   0.026
 inference:    58 | throughput: 605.064 | time:   0.026
 inference:    59 | throughput: 596.428 | time:   0.027
 inference:    60 | throughput: 599.925 | time:   0.027
 inference:    61 | throughput: 609.493 | time:   0.026
 inference:    62 | throughput: 605.233 | time:   0.026
 inference:    63 | throughput: 589.481 | time:   0.027
 inference:    64 | throughput: 594.068 | time:   0.027
 inference:    65 | throughput: 599.840 | time:   0.027
 inference:    66 | throughput: 608.874 | time:   0.026
 inference:    67 | throughput: 600.307 | time:   0.027
 inference:    68 | throughput: 594.979 | time:   0.027
 inference:    69 | throughput: 614.190 | time:   0.026
 inference:    70 | throughput: 619.485 | time:   0.026
 inference:    71 | throughput: 603.524 | time:   0.027
 inference:    72 | throughput: 598.727 | time:   0.027
 inference:    73 | throughput: 601.879 | time:   0.027
 inference:    74 | throughput: 603.953 | time:   0.026
 inference:    75 | throughput: 606.771 | time:   0.026
 inference:    76 | throughput: 600.532 | time:   0.027
 inference:    77 | throughput: 602.917 | time:   0.027
 inference:    78 | throughput: 601.960 | time:   0.027
 inference:    79 | throughput: 591.455 | time:   0.027
 inference:    80 | throughput: 606.776 | time:   0.026
 inference:    81 | throughput: 611.983 | time:   0.026
 inference:    82 | throughput: 607.413 | time:   0.026
 inference:    83 | throughput: 598.118 | time:   0.027
 inference:    84 | throughput: 594.752 | time:   0.027
 inference:    85 | throughput: 607.221 | time:   0.026
 inference:    86 | throughput: 598.865 | time:   0.027
 inference:    87 | throughput: 608.046 | time:   0.026
 inference:    88 | throughput: 602.619 | time:   0.027
 inference:    89 | throughput: 603.258 | time:   0.027
 inference:    90 | throughput: 604.241 | time:   0.026
 inference:    91 | throughput: 606.245 | time:   0.026
 inference:    92 | throughput: 605.064 | time:   0.026
 inference:    93 | throughput: 602.089 | time:   0.027
 inference:    94 | throughput: 601.167 | time:   0.027
 inference:    95 | throughput: 594.194 | time:   0.027
 inference:    96 | throughput: 606.535 | time:   0.026
 inference:    97 | throughput: 605.484 | time:   0.026
 inference:    98 | throughput: 596.656 | time:   0.027
 inference:    99 | throughput: 604.584 | time:   0.026
 inference:   100 | throughput: 622.127 | time:   0.026

Total inference throughput: 460.83426, Total inference latency: 0.03472
