Data loading...
densenet169-64 Model building...
Start inference...

 inference:     1 | throughput: 132.119 | time:   0.484
 inference:     2 | throughput: 2465.561 | time:   0.026
 inference:     3 | throughput: 1027.890 | time:   0.062
 inference:     4 | throughput: 1335.879 | time:   0.048
 inference:     5 | throughput: 1316.189 | time:   0.049
 inference:     6 | throughput: 1195.145 | time:   0.054
 inference:     7 | throughput: 1205.049 | time:   0.053
 inference:     8 | throughput: 1196.919 | time:   0.053
 inference:     9 | throughput: 1199.347 | time:   0.053
 inference:    10 | throughput: 1187.736 | time:   0.054
 inference:    11 | throughput: 1217.041 | time:   0.053
 inference:    12 | throughput: 1195.794 | time:   0.054
 inference:    13 | throughput: 1195.709 | time:   0.054
 inference:    14 | throughput: 1199.728 | time:   0.053
 inference:    15 | throughput: 1208.004 | time:   0.053
 inference:    16 | throughput: 1207.716 | time:   0.053
 inference:    17 | throughput: 1177.627 | time:   0.054
 inference:    18 | throughput: 1082.379 | time:   0.059
 inference:    19 | throughput: 1324.770 | time:   0.048
 inference:    20 | throughput: 140.999 | time:   0.454
 inference:    21 | throughput: 2445.324 | time:   0.026
 inference:    22 | throughput: 1238.914 | time:   0.052
 inference:    23 | throughput: 1178.667 | time:   0.054
 inference:    24 | throughput: 1212.791 | time:   0.053
 inference:    25 | throughput: 1208.554 | time:   0.053
 inference:    26 | throughput: 1186.057 | time:   0.054
 inference:    27 | throughput: 1203.223 | time:   0.053
 inference:    28 | throughput: 1198.865 | time:   0.053
 inference:    29 | throughput: 1203.379 | time:   0.053
 inference:    30 | throughput: 1201.602 | time:   0.053
 inference:    31 | throughput: 1194.432 | time:   0.054
 inference:    32 | throughput: 1199.036 | time:   0.053
 inference:    33 | throughput: 1197.587 | time:   0.053
 inference:    34 | throughput: 1190.781 | time:   0.054
 inference:    35 | throughput: 1190.628 | time:   0.054
 inference:    36 | throughput: 1221.811 | time:   0.052
 inference:    37 | throughput: 1183.526 | time:   0.054
 inference:    38 | throughput: 1192.188 | time:   0.054
 inference:    39 | throughput: 1201.011 | time:   0.053
 inference:    40 | throughput: 1196.642 | time:   0.053
 inference:    41 | throughput: 1208.086 | time:   0.053
 inference:    42 | throughput: 1190.565 | time:   0.054
 inference:    43 | throughput: 1206.668 | time:   0.053
 inference:    44 | throughput: 1199.663 | time:   0.053
 inference:    45 | throughput: 1192.199 | time:   0.054
 inference:    46 | throughput: 1191.870 | time:   0.054
 inference:    47 | throughput: 1209.114 | time:   0.053
 inference:    48 | throughput: 1191.902 | time:   0.054
 inference:    49 | throughput: 1191.844 | time:   0.054
 inference:    50 | throughput: 1217.726 | time:   0.053
 inference:    51 | throughput: 1188.630 | time:   0.054
 inference:    52 | throughput: 1195.821 | time:   0.054
 inference:    53 | throughput: 1199.594 | time:   0.053
 inference:    54 | throughput: 1197.704 | time:   0.053
 inference:    55 | throughput: 1188.835 | time:   0.054
 inference:    56 | throughput: 1196.247 | time:   0.054
 inference:    57 | throughput: 1215.526 | time:   0.053
 inference:    58 | throughput: 1185.748 | time:   0.054
 inference:    59 | throughput: 1184.560 | time:   0.054
 inference:    60 | throughput: 1204.578 | time:   0.053
 inference:    61 | throughput: 1199.878 | time:   0.053
 inference:    62 | throughput: 1201.796 | time:   0.053
 inference:    63 | throughput: 1187.741 | time:   0.054
 inference:    64 | throughput: 1213.152 | time:   0.053
 inference:    65 | throughput: 1183.834 | time:   0.054
 inference:    66 | throughput: 1202.625 | time:   0.053
 inference:    67 | throughput: 1207.678 | time:   0.053
 inference:    68 | throughput: 1195.629 | time:   0.054
 inference:    69 | throughput: 1197.982 | time:   0.053
 inference:    70 | throughput: 1202.571 | time:   0.053
 inference:    71 | throughput: 1200.205 | time:   0.053
 inference:    72 | throughput: 1198.619 | time:   0.053
 inference:    73 | throughput: 1194.235 | time:   0.054
 inference:    74 | throughput: 1206.945 | time:   0.053
 inference:    75 | throughput: 1197.138 | time:   0.053
 inference:    76 | throughput: 1198.110 | time:   0.053
 inference:    77 | throughput: 1182.446 | time:   0.054
 inference:    78 | throughput: 1203.552 | time:   0.053
 inference:    79 | throughput: 1194.528 | time:   0.054
 inference:    80 | throughput: 1195.022 | time:   0.054
 inference:    81 | throughput: 1210.936 | time:   0.053
 inference:    82 | throughput: 1199.154 | time:   0.053
 inference:    83 | throughput: 1193.386 | time:   0.054
 inference:    84 | throughput: 1200.506 | time:   0.053
 inference:    85 | throughput: 1196.999 | time:   0.053
 inference:    86 | throughput: 1202.873 | time:   0.053
 inference:    87 | throughput: 1204.087 | time:   0.053
 inference:    88 | throughput: 1199.610 | time:   0.053
 inference:    89 | throughput: 1198.244 | time:   0.053
 inference:    90 | throughput: 1203.148 | time:   0.053
 inference:    91 | throughput: 1189.757 | time:   0.054
 inference:    92 | throughput: 1212.363 | time:   0.053
 inference:    93 | throughput: 1199.186 | time:   0.053
 inference:    94 | throughput: 1182.134 | time:   0.054
 inference:    95 | throughput: 1206.338 | time:   0.053
 inference:    96 | throughput: 1193.450 | time:   0.054
 inference:    97 | throughput: 1200.855 | time:   0.053
 inference:    98 | throughput: 1201.360 | time:   0.053
 inference:    99 | throughput: 1203.396 | time:   0.053
 inference:   100 | throughput: 1203.255 | time:   0.053

Total inference throughput: 1046.69991, Total inference latency: 0.06114
