Data loading...
densenet201-1 Model building...
Start inference...

 inference:     1 | throughput:   2.230 | time:   0.448
 inference:     2 | throughput:  33.530 | time:   0.030
 inference:     3 | throughput:  45.965 | time:   0.022
 inference:     4 | throughput:  47.000 | time:   0.021
 inference:     5 | throughput:  47.890 | time:   0.021
 inference:     6 | throughput:  46.239 | time:   0.022
 inference:     7 | throughput:  44.514 | time:   0.022
 inference:     8 | throughput:  45.330 | time:   0.022
 inference:     9 | throughput:  40.517 | time:   0.025
 inference:    10 | throughput:  46.355 | time:   0.022
 inference:    11 | throughput:  47.026 | time:   0.021
 inference:    12 | throughput:  47.167 | time:   0.021
 inference:    13 | throughput:  47.479 | time:   0.021
 inference:    14 | throughput:  47.096 | time:   0.021
 inference:    15 | throughput:  47.091 | time:   0.021
 inference:    16 | throughput:  47.316 | time:   0.021
 inference:    17 | throughput:  47.626 | time:   0.021
 inference:    18 | throughput:  47.514 | time:   0.021
 inference:    19 | throughput:  47.705 | time:   0.021
 inference:    20 | throughput:  47.578 | time:   0.021
 inference:    21 | throughput:   3.725 | time:   0.268
 inference:    22 | throughput:  23.051 | time:   0.043
 inference:    23 | throughput:  45.792 | time:   0.022
 inference:    24 | throughput:  47.661 | time:   0.021
 inference:    25 | throughput:  47.446 | time:   0.021
 inference:    26 | throughput:  45.909 | time:   0.022
 inference:    27 | throughput:  45.827 | time:   0.022
 inference:    28 | throughput:  46.292 | time:   0.022
 inference:    29 | throughput:  47.118 | time:   0.021
 inference:    30 | throughput:  46.725 | time:   0.021
 inference:    31 | throughput:  46.559 | time:   0.021
 inference:    32 | throughput:  46.877 | time:   0.021
 inference:    33 | throughput:  46.862 | time:   0.021
 inference:    34 | throughput:  47.022 | time:   0.021
 inference:    35 | throughput:  46.570 | time:   0.021
 inference:    36 | throughput:  46.765 | time:   0.021
 inference:    37 | throughput:  47.073 | time:   0.021
 inference:    38 | throughput:  46.956 | time:   0.021
 inference:    39 | throughput:  46.911 | time:   0.021
 inference:    40 | throughput:  47.381 | time:   0.021
 inference:    41 | throughput:  46.989 | time:   0.021
 inference:    42 | throughput:  47.098 | time:   0.021
 inference:    43 | throughput:  46.678 | time:   0.021
 inference:    44 | throughput:  45.675 | time:   0.022
 inference:    45 | throughput:  46.483 | time:   0.022
 inference:    46 | throughput:  46.293 | time:   0.022
 inference:    47 | throughput:  47.053 | time:   0.021
 inference:    48 | throughput:  46.825 | time:   0.021
 inference:    49 | throughput:  46.253 | time:   0.022
 inference:    50 | throughput:  47.001 | time:   0.021
 inference:    51 | throughput:  46.633 | time:   0.021
 inference:    52 | throughput:  46.607 | time:   0.021
 inference:    53 | throughput:  46.199 | time:   0.022
 inference:    54 | throughput:  44.673 | time:   0.022
 inference:    55 | throughput:  47.516 | time:   0.021
 inference:    56 | throughput:  48.800 | time:   0.020
 inference:    57 | throughput:  49.460 | time:   0.020
 inference:    58 | throughput:  48.371 | time:   0.021
 inference:    59 | throughput:  47.621 | time:   0.021
 inference:    60 | throughput:  46.572 | time:   0.021
 inference:    61 | throughput:  46.815 | time:   0.021
 inference:    62 | throughput:  47.137 | time:   0.021
 inference:    63 | throughput:  47.319 | time:   0.021
 inference:    64 | throughput:  47.161 | time:   0.021
 inference:    65 | throughput:  47.503 | time:   0.021
 inference:    66 | throughput:  47.706 | time:   0.021
 inference:    67 | throughput:  47.861 | time:   0.021
 inference:    68 | throughput:  46.710 | time:   0.021
 inference:    69 | throughput:  46.316 | time:   0.022
 inference:    70 | throughput:  46.856 | time:   0.021
 inference:    71 | throughput:  47.318 | time:   0.021
 inference:    72 | throughput:  47.378 | time:   0.021
 inference:    73 | throughput:  46.806 | time:   0.021
 inference:    74 | throughput:  47.583 | time:   0.021
 inference:    75 | throughput:  47.305 | time:   0.021
 inference:    76 | throughput:  47.643 | time:   0.021
 inference:    77 | throughput:  46.289 | time:   0.022
 inference:    78 | throughput:  45.002 | time:   0.022
 inference:    79 | throughput:  46.021 | time:   0.022
 inference:    80 | throughput:  45.059 | time:   0.022
 inference:    81 | throughput:  45.163 | time:   0.022
 inference:    82 | throughput:  44.722 | time:   0.022
 inference:    83 | throughput:  45.028 | time:   0.022
 inference:    84 | throughput:  45.181 | time:   0.022
 inference:    85 | throughput:  44.703 | time:   0.022
 inference:    86 | throughput:  43.974 | time:   0.023
 inference:    87 | throughput:  42.546 | time:   0.024
 inference:    88 | throughput:  44.844 | time:   0.022
 inference:    89 | throughput:  46.257 | time:   0.022
 inference:    90 | throughput:  45.895 | time:   0.022
 inference:    91 | throughput:  45.043 | time:   0.022
 inference:    92 | throughput:  43.602 | time:   0.023
 inference:    93 | throughput:  44.407 | time:   0.023
 inference:    94 | throughput:  45.514 | time:   0.022
 inference:    95 | throughput:  46.329 | time:   0.022
 inference:    96 | throughput:  46.281 | time:   0.022
 inference:    97 | throughput:  46.564 | time:   0.021
 inference:    98 | throughput:  46.788 | time:   0.021
 inference:    99 | throughput:  46.904 | time:   0.021
 inference:   100 | throughput:  46.760 | time:   0.021

Total inference throughput: 35.00230, Total inference latency: 0.02857
