Data loading...
densenet201-64 Model building...
Start inference...

 inference:     1 | throughput: 605.931 | time:   0.106
 inference:     2 | throughput: 117.054 | time:   0.547
 inference:     3 | throughput: 801.949 | time:   0.080
 inference:     4 | throughput: 309.989 | time:   0.206
 inference:     5 | throughput: 309.663 | time:   0.207
 inference:     6 | throughput: 310.586 | time:   0.206
 inference:     7 | throughput: 309.019 | time:   0.207
 inference:     8 | throughput: 310.339 | time:   0.206
 inference:     9 | throughput: 310.040 | time:   0.206
 inference:    10 | throughput: 310.116 | time:   0.206
 inference:    11 | throughput: 309.368 | time:   0.207
 inference:    12 | throughput: 310.289 | time:   0.206
 inference:    13 | throughput: 309.663 | time:   0.207
 inference:    14 | throughput: 309.631 | time:   0.207
 inference:    15 | throughput: 309.715 | time:   0.207
 inference:    16 | throughput: 310.423 | time:   0.206
 inference:    17 | throughput: 309.026 | time:   0.207
 inference:    18 | throughput: 309.998 | time:   0.206
 inference:    19 | throughput: 309.449 | time:   0.207
 inference:    20 | throughput: 310.443 | time:   0.206
 inference:    21 | throughput: 308.904 | time:   0.207
 inference:    22 | throughput: 309.849 | time:   0.207
 inference:    23 | throughput: 310.194 | time:   0.206
 inference:    24 | throughput: 310.003 | time:   0.206
 inference:    25 | throughput: 309.175 | time:   0.207
 inference:    26 | throughput: 310.261 | time:   0.206
 inference:    27 | throughput: 310.036 | time:   0.206
 inference:    28 | throughput: 309.318 | time:   0.207
 inference:    29 | throughput: 309.531 | time:   0.207
 inference:    30 | throughput: 310.564 | time:   0.206
 inference:    31 | throughput: 309.364 | time:   0.207
 inference:    32 | throughput: 309.743 | time:   0.207
 inference:    33 | throughput: 309.646 | time:   0.207
 inference:    34 | throughput: 310.473 | time:   0.206
 inference:    35 | throughput: 309.161 | time:   0.207
 inference:    36 | throughput: 310.169 | time:   0.206
 inference:    37 | throughput: 309.894 | time:   0.207
 inference:    38 | throughput: 310.097 | time:   0.206
 inference:    39 | throughput: 308.875 | time:   0.207
 inference:    40 | throughput: 310.339 | time:   0.206
 inference:    41 | throughput: 309.800 | time:   0.207
 inference:    42 | throughput: 309.332 | time:   0.207
 inference:    43 | throughput: 309.681 | time:   0.207
 inference:    44 | throughput: 310.638 | time:   0.206
 inference:    45 | throughput: 309.434 | time:   0.207
 inference:    46 | throughput: 309.608 | time:   0.207
 inference:    47 | throughput: 309.681 | time:   0.207
 inference:    48 | throughput: 310.077 | time:   0.206
 inference:    49 | throughput: 309.780 | time:   0.207
 inference:    50 | throughput: 310.195 | time:   0.206
 inference:    51 | throughput: 309.075 | time:   0.207
 inference:    52 | throughput: 309.047 | time:   0.207
 inference:    53 | throughput: 309.048 | time:   0.207
 inference:    54 | throughput: 309.328 | time:   0.207
 inference:    55 | throughput: 309.214 | time:   0.207
 inference:    56 | throughput: 309.710 | time:   0.207
 inference:    57 | throughput: 310.380 | time:   0.206
 inference:    58 | throughput: 310.442 | time:   0.206
 inference:    59 | throughput: 309.710 | time:   0.207
 inference:    60 | throughput: 309.937 | time:   0.206
 inference:    61 | throughput: 309.641 | time:   0.207
 inference:    62 | throughput: 310.672 | time:   0.206
 inference:    63 | throughput: 309.103 | time:   0.207
 inference:    64 | throughput: 310.094 | time:   0.206
 inference:    65 | throughput: 309.972 | time:   0.206
 inference:    66 | throughput: 309.682 | time:   0.207
 inference:    67 | throughput: 309.256 | time:   0.207
 inference:    68 | throughput: 310.529 | time:   0.206
 inference:    69 | throughput: 309.723 | time:   0.207
 inference:    70 | throughput: 309.982 | time:   0.206
 inference:    71 | throughput: 309.216 | time:   0.207
 inference:    72 | throughput: 310.487 | time:   0.206
 inference:    73 | throughput: 309.810 | time:   0.207
 inference:    74 | throughput: 309.728 | time:   0.207
 inference:    75 | throughput: 309.531 | time:   0.207
 inference:    76 | throughput: 310.566 | time:   0.206
 inference:    77 | throughput: 308.711 | time:   0.207
 inference:    78 | throughput: 310.761 | time:   0.206
 inference:    79 | throughput: 310.061 | time:   0.206
 inference:    80 | throughput: 310.206 | time:   0.206
 inference:    81 | throughput: 309.245 | time:   0.207
 inference:    82 | throughput: 310.300 | time:   0.206
 inference:    83 | throughput: 309.667 | time:   0.207
 inference:    84 | throughput: 310.125 | time:   0.206
 inference:    85 | throughput: 309.105 | time:   0.207
 inference:    86 | throughput: 310.478 | time:   0.206
 inference:    87 | throughput: 309.722 | time:   0.207
 inference:    88 | throughput: 309.819 | time:   0.207
 inference:    89 | throughput: 309.548 | time:   0.207
 inference:    90 | throughput: 309.848 | time:   0.207
 inference:    91 | throughput: 309.633 | time:   0.207
 inference:    92 | throughput: 309.842 | time:   0.207
 inference:    93 | throughput: 310.086 | time:   0.206
 inference:    94 | throughput: 310.244 | time:   0.206
 inference:    95 | throughput: 308.584 | time:   0.207
 inference:    96 | throughput: 310.284 | time:   0.206
 inference:    97 | throughput: 310.022 | time:   0.206
 inference:    98 | throughput: 310.201 | time:   0.206
 inference:    99 | throughput: 309.042 | time:   0.207
 inference:   100 | throughput: 310.331 | time:   0.206

Total inference throughput: 308.12948, Total inference latency: 0.20770
