Data loading...
inception1-1 Model building...
Start inference...

 inference:     1 | throughput:  74.155 | time:   0.013
 inference:     2 | throughput: 102.074 | time:   0.010
 inference:     3 | throughput: 110.107 | time:   0.009
 inference:     4 | throughput: 111.557 | time:   0.009
 inference:     5 | throughput: 113.938 | time:   0.009
 inference:     6 | throughput: 110.861 | time:   0.009
 inference:     7 | throughput: 113.121 | time:   0.009
 inference:     8 | throughput: 113.409 | time:   0.009
 inference:     9 | throughput: 112.584 | time:   0.009
 inference:    10 | throughput: 109.822 | time:   0.009
 inference:    11 | throughput: 112.195 | time:   0.009
 inference:    12 | throughput: 112.862 | time:   0.009
 inference:    13 | throughput: 111.565 | time:   0.009
 inference:    14 | throughput: 111.705 | time:   0.009
 inference:    15 | throughput: 112.442 | time:   0.009
 inference:    16 | throughput: 112.508 | time:   0.009
 inference:    17 | throughput: 111.199 | time:   0.009
 inference:    18 | throughput: 110.630 | time:   0.009
 inference:    19 | throughput: 111.824 | time:   0.009
 inference:    20 | throughput: 112.057 | time:   0.009
 inference:    21 | throughput: 110.688 | time:   0.009
 inference:    22 | throughput: 110.913 | time:   0.009
 inference:    23 | throughput: 111.512 | time:   0.009
 inference:    24 | throughput: 110.911 | time:   0.009
 inference:    25 | throughput: 110.110 | time:   0.009
 inference:    26 | throughput: 109.555 | time:   0.009
 inference:    27 | throughput: 109.879 | time:   0.009
 inference:    28 | throughput: 109.483 | time:   0.009
 inference:    29 | throughput: 109.914 | time:   0.009
 inference:    30 | throughput: 108.886 | time:   0.009
 inference:    31 | throughput: 110.568 | time:   0.009
 inference:    32 | throughput: 111.057 | time:   0.009
 inference:    33 | throughput: 110.400 | time:   0.009
 inference:    34 | throughput: 110.767 | time:   0.009
 inference:    35 | throughput: 111.258 | time:   0.009
 inference:    36 | throughput: 111.468 | time:   0.009
 inference:    37 | throughput: 110.627 | time:   0.009
 inference:    38 | throughput: 111.213 | time:   0.009
 inference:    39 | throughput:   3.434 | time:   0.291
 inference:    40 | throughput:  40.541 | time:   0.025
 inference:    41 | throughput:  77.326 | time:   0.013
 inference:    42 | throughput: 109.672 | time:   0.009
 inference:    43 | throughput: 111.402 | time:   0.009
 inference:    44 | throughput: 113.194 | time:   0.009
 inference:    45 | throughput: 113.259 | time:   0.009
 inference:    46 | throughput: 112.427 | time:   0.009
 inference:    47 | throughput: 111.119 | time:   0.009
 inference:    48 | throughput: 109.770 | time:   0.009
 inference:    49 | throughput: 108.313 | time:   0.009
 inference:    50 | throughput: 110.647 | time:   0.009
 inference:    51 | throughput: 111.405 | time:   0.009
 inference:    52 | throughput: 111.249 | time:   0.009
 inference:    53 | throughput: 109.661 | time:   0.009
 inference:    54 | throughput: 107.665 | time:   0.009
 inference:    55 | throughput: 108.675 | time:   0.009
 inference:    56 | throughput: 108.142 | time:   0.009
 inference:    57 | throughput: 111.729 | time:   0.009
 inference:    58 | throughput: 111.753 | time:   0.009
 inference:    59 | throughput: 112.087 | time:   0.009
 inference:    60 | throughput: 110.858 | time:   0.009
 inference:    61 | throughput: 108.274 | time:   0.009
 inference:    62 | throughput: 109.672 | time:   0.009
 inference:    63 | throughput: 111.002 | time:   0.009
 inference:    64 | throughput: 110.861 | time:   0.009
 inference:    65 | throughput: 110.298 | time:   0.009
 inference:    66 | throughput: 110.041 | time:   0.009
 inference:    67 | throughput: 110.307 | time:   0.009
 inference:    68 | throughput: 110.455 | time:   0.009
 inference:    69 | throughput: 110.095 | time:   0.009
 inference:    70 | throughput: 110.990 | time:   0.009
 inference:    71 | throughput: 110.720 | time:   0.009
 inference:    72 | throughput: 109.888 | time:   0.009
 inference:    73 | throughput: 110.226 | time:   0.009
 inference:    74 | throughput: 110.694 | time:   0.009
 inference:    75 | throughput: 110.188 | time:   0.009
 inference:    76 | throughput: 109.104 | time:   0.009
 inference:    77 | throughput: 110.571 | time:   0.009
 inference:    78 | throughput: 111.337 | time:   0.009
 inference:    79 | throughput: 111.565 | time:   0.009
 inference:    80 | throughput: 110.081 | time:   0.009
 inference:    81 | throughput: 110.934 | time:   0.009
 inference:    82 | throughput: 111.358 | time:   0.009
 inference:    83 | throughput: 106.998 | time:   0.009
 inference:    84 | throughput: 110.403 | time:   0.009
 inference:    85 | throughput: 111.049 | time:   0.009
 inference:    86 | throughput: 111.237 | time:   0.009
 inference:    87 | throughput: 108.799 | time:   0.009
 inference:    88 | throughput: 110.978 | time:   0.009
 inference:    89 | throughput: 111.411 | time:   0.009
 inference:    90 | throughput: 109.689 | time:   0.009
 inference:    91 | throughput: 109.099 | time:   0.009
 inference:    92 | throughput: 110.557 | time:   0.009
 inference:    93 | throughput: 111.568 | time:   0.009
 inference:    94 | throughput: 109.865 | time:   0.009
 inference:    95 | throughput: 109.309 | time:   0.009
 inference:    96 | throughput: 111.432 | time:   0.009
 inference:    97 | throughput: 111.474 | time:   0.009
 inference:    98 | throughput: 108.112 | time:   0.009
 inference:    99 | throughput: 109.983 | time:   0.009
 inference:   100 | throughput: 109.928 | time:   0.009

Total inference throughput: 82.62029, Total inference latency: 0.01210
