Data loading...
inception1-32 Model building...
Start inference...

 inference:     1 | throughput: 1039.915 | time:   0.031
 inference:     2 | throughput: 2283.896 | time:   0.014
 inference:     3 | throughput: 2120.879 | time:   0.015
 inference:     4 | throughput: 1878.353 | time:   0.017
 inference:     5 | throughput: 1868.963 | time:   0.017
 inference:     6 | throughput: 1893.377 | time:   0.017
 inference:     7 | throughput: 1882.093 | time:   0.017
 inference:     8 | throughput: 1873.633 | time:   0.017
 inference:     9 | throughput: 1884.922 | time:   0.017
 inference:    10 | throughput: 1884.075 | time:   0.017
 inference:    11 | throughput: 1866.442 | time:   0.017
 inference:    12 | throughput: 1880.538 | time:   0.017
 inference:    13 | throughput: 1880.748 | time:   0.017
 inference:    14 | throughput: 1880.801 | time:   0.017
 inference:    15 | throughput: 1886.405 | time:   0.017
 inference:    16 | throughput: 1878.748 | time:   0.017
 inference:    17 | throughput: 1895.195 | time:   0.017
 inference:    18 | throughput: 1891.989 | time:   0.017
 inference:    19 | throughput: 1886.962 | time:   0.017
 inference:    20 | throughput: 1875.178 | time:   0.017
 inference:    21 | throughput: 1894.179 | time:   0.017
 inference:    22 | throughput: 1898.734 | time:   0.017
 inference:    23 | throughput: 1895.704 | time:   0.017
 inference:    24 | throughput: 1886.697 | time:   0.017
 inference:    25 | throughput: 1889.300 | time:   0.017
 inference:    26 | throughput: 1900.401 | time:   0.017
 inference:    27 | throughput: 1893.778 | time:   0.017
 inference:    28 | throughput: 1888.874 | time:   0.017
 inference:    29 | throughput: 1890.683 | time:   0.017
 inference:    30 | throughput: 1886.458 | time:   0.017
 inference:    31 | throughput: 1918.959 | time:   0.017
 inference:    32 | throughput: 1888.157 | time:   0.017
 inference:    33 | throughput: 1894.019 | time:   0.017
 inference:    34 | throughput: 1876.462 | time:   0.017
 inference:    35 | throughput: 1922.477 | time:   0.017
 inference:    36 | throughput: 1871.230 | time:   0.017
 inference:    37 | throughput: 1862.764 | time:   0.017
 inference:    38 | throughput: 1898.707 | time:   0.017
 inference:    39 | throughput: 1922.174 | time:   0.017
 inference:    40 | throughput: 1866.053 | time:   0.017
 inference:    41 | throughput: 1975.039 | time:   0.016
 inference:    42 | throughput: 2272.720 | time:   0.014
 inference:    43 | throughput: 1861.937 | time:   0.017
 inference:    44 | throughput: 1858.585 | time:   0.017
 inference:    45 | throughput: 1892.603 | time:   0.017
 inference:    46 | throughput: 1884.445 | time:   0.017
 inference:    47 | throughput: 1905.338 | time:   0.017
 inference:    48 | throughput: 1927.668 | time:   0.017
 inference:    49 | throughput: 1880.221 | time:   0.017
 inference:    50 | throughput: 1908.481 | time:   0.017
 inference:    51 | throughput: 1891.270 | time:   0.017
 inference:    52 | throughput: 1904.311 | time:   0.017
 inference:    53 | throughput: 1886.538 | time:   0.017
 inference:    54 | throughput: 1901.990 | time:   0.017
 inference:    55 | throughput: 1870.682 | time:   0.017
 inference:    56 | throughput: 1902.745 | time:   0.017
 inference:    57 | throughput: 1901.667 | time:   0.017
 inference:    58 | throughput: 1899.003 | time:   0.017
 inference:    59 | throughput: 1893.885 | time:   0.017
 inference:    60 | throughput: 1910.681 | time:   0.017
 inference:    61 | throughput: 1889.672 | time:   0.017
 inference:    62 | throughput: 1901.209 | time:   0.017
 inference:    63 | throughput: 1913.624 | time:   0.017
 inference:    64 | throughput: 1870.265 | time:   0.017
 inference:    65 | throughput: 1921.569 | time:   0.017
 inference:    66 | throughput: 1912.805 | time:   0.017
 inference:    67 | throughput: 1904.905 | time:   0.017
 inference:    68 | throughput: 1901.828 | time:   0.017
 inference:    69 | throughput: 1902.421 | time:   0.017
 inference:    70 | throughput: 1896.615 | time:   0.017
 inference:    71 | throughput: 1918.794 | time:   0.017
 inference:    72 | throughput: 1893.938 | time:   0.017
 inference:    73 | throughput: 1923.138 | time:   0.017
 inference:    74 | throughput: 1897.204 | time:   0.017
 inference:    75 | throughput: 1912.560 | time:   0.017
 inference:    76 | throughput: 1901.020 | time:   0.017
 inference:    77 | throughput: 1893.831 | time:   0.017
 inference:    78 | throughput: 1892.470 | time:   0.017
 inference:    79 | throughput: 1918.081 | time:   0.017
 inference:    80 | throughput: 1822.471 | time:   0.018
 inference:    81 | throughput: 1928.748 | time:   0.017
 inference:    82 | throughput: 1923.110 | time:   0.017
 inference:    83 | throughput: 1913.269 | time:   0.017
 inference:    84 | throughput: 1907.450 | time:   0.017
 inference:    85 | throughput: 1920.689 | time:   0.017
 inference:    86 | throughput: 1894.259 | time:   0.017
 inference:    87 | throughput: 1902.313 | time:   0.017
 inference:    88 | throughput: 1886.379 | time:   0.017
 inference:    89 | throughput: 1890.204 | time:   0.017
 inference:    90 | throughput: 1907.965 | time:   0.017
 inference:    91 | throughput: 1896.990 | time:   0.017
 inference:    92 | throughput: 1903.204 | time:   0.017
 inference:    93 | throughput: 1895.624 | time:   0.017
 inference:    94 | throughput: 1899.352 | time:   0.017
 inference:    95 | throughput: 1913.160 | time:   0.017
 inference:    96 | throughput: 1904.122 | time:   0.017
 inference:    97 | throughput: 1896.534 | time:   0.017
 inference:    98 | throughput: 1907.287 | time:   0.017
 inference:    99 | throughput: 1877.329 | time:   0.017
 inference:   100 | throughput: 1888.157 | time:   0.017

Total inference throughput: 1887.81380, Total inference latency: 0.01695
