Data loading...
inception1-4 Model building...
Start inference...

 inference:     1 | throughput: 246.971 | time:   0.016
 inference:     2 | throughput: 397.235 | time:   0.010
 inference:     3 | throughput: 423.410 | time:   0.009
 inference:     4 | throughput: 417.416 | time:   0.010
 inference:     5 | throughput: 424.256 | time:   0.009
 inference:     6 | throughput: 418.813 | time:   0.010
 inference:     7 | throughput: 405.992 | time:   0.010
 inference:     8 | throughput: 426.500 | time:   0.009
 inference:     9 | throughput: 415.463 | time:   0.010
 inference:    10 | throughput: 432.202 | time:   0.009
 inference:    11 | throughput: 432.247 | time:   0.009
 inference:    12 | throughput: 434.362 | time:   0.009
 inference:    13 | throughput: 438.127 | time:   0.009
 inference:    14 | throughput: 425.127 | time:   0.009
 inference:    15 | throughput: 439.539 | time:   0.009
 inference:    16 | throughput: 432.458 | time:   0.009
 inference:    17 | throughput: 394.303 | time:   0.010
 inference:    18 | throughput: 434.958 | time:   0.009
 inference:    19 | throughput: 433.218 | time:   0.009
 inference:    20 | throughput: 434.834 | time:   0.009
 inference:    21 | throughput: 434.744 | time:   0.009
 inference:    22 | throughput: 435.263 | time:   0.009
 inference:    23 | throughput: 431.402 | time:   0.009
 inference:    24 | throughput: 432.715 | time:   0.009
 inference:    25 | throughput: 428.690 | time:   0.009
 inference:    26 | throughput: 434.148 | time:   0.009
 inference:    27 | throughput:  11.853 | time:   0.337
 inference:    28 | throughput: 167.230 | time:   0.024
 inference:    29 | throughput: 325.279 | time:   0.012
 inference:    30 | throughput: 416.608 | time:   0.010
 inference:    31 | throughput: 438.895 | time:   0.009
 inference:    32 | throughput: 446.096 | time:   0.009
 inference:    33 | throughput: 447.536 | time:   0.009
 inference:    34 | throughput: 441.645 | time:   0.009
 inference:    35 | throughput: 446.309 | time:   0.009
 inference:    36 | throughput: 449.562 | time:   0.009
 inference:    37 | throughput: 437.659 | time:   0.009
 inference:    38 | throughput: 437.328 | time:   0.009
 inference:    39 | throughput: 443.115 | time:   0.009
 inference:    40 | throughput: 436.123 | time:   0.009
 inference:    41 | throughput: 440.174 | time:   0.009
 inference:    42 | throughput: 438.230 | time:   0.009
 inference:    43 | throughput: 441.924 | time:   0.009
 inference:    44 | throughput: 436.021 | time:   0.009
 inference:    45 | throughput: 443.127 | time:   0.009
 inference:    46 | throughput: 438.460 | time:   0.009
 inference:    47 | throughput: 440.752 | time:   0.009
 inference:    48 | throughput: 436.577 | time:   0.009
 inference:    49 | throughput: 441.041 | time:   0.009
 inference:    50 | throughput: 439.920 | time:   0.009
 inference:    51 | throughput: 438.265 | time:   0.009
 inference:    52 | throughput: 435.738 | time:   0.009
 inference:    53 | throughput: 432.927 | time:   0.009
 inference:    54 | throughput: 435.365 | time:   0.009
 inference:    55 | throughput: 435.455 | time:   0.009
 inference:    56 | throughput: 434.710 | time:   0.009
 inference:    57 | throughput: 433.206 | time:   0.009
 inference:    58 | throughput: 422.909 | time:   0.009
 inference:    59 | throughput: 419.577 | time:   0.010
 inference:    60 | throughput: 426.467 | time:   0.009
 inference:    61 | throughput: 430.781 | time:   0.009
 inference:    62 | throughput: 418.249 | time:   0.010
 inference:    63 | throughput: 428.373 | time:   0.009
 inference:    64 | throughput: 428.734 | time:   0.009
 inference:    65 | throughput: 424.966 | time:   0.009
 inference:    66 | throughput: 423.667 | time:   0.009
 inference:    67 | throughput: 424.042 | time:   0.009
 inference:    68 | throughput: 426.934 | time:   0.009
 inference:    69 | throughput: 431.413 | time:   0.009
 inference:    70 | throughput: 435.976 | time:   0.009
 inference:    71 | throughput: 432.436 | time:   0.009
 inference:    72 | throughput: 429.887 | time:   0.009
 inference:    73 | throughput: 434.418 | time:   0.009
 inference:    74 | throughput: 435.207 | time:   0.009
 inference:    75 | throughput: 429.645 | time:   0.009
 inference:    76 | throughput: 435.647 | time:   0.009
 inference:    77 | throughput: 438.402 | time:   0.009
 inference:    78 | throughput: 434.328 | time:   0.009
 inference:    79 | throughput: 423.967 | time:   0.009
 inference:    80 | throughput: 419.273 | time:   0.010
 inference:    81 | throughput: 393.702 | time:   0.010
 inference:    82 | throughput: 412.136 | time:   0.010
 inference:    83 | throughput: 407.382 | time:   0.010
 inference:    84 | throughput: 417.968 | time:   0.010
 inference:    85 | throughput: 414.775 | time:   0.010
 inference:    86 | throughput: 412.541 | time:   0.010
 inference:    87 | throughput: 425.116 | time:   0.009
 inference:    88 | throughput: 419.399 | time:   0.010
 inference:    89 | throughput: 424.879 | time:   0.009
 inference:    90 | throughput: 425.127 | time:   0.009
 inference:    91 | throughput: 419.137 | time:   0.010
 inference:    92 | throughput: 417.261 | time:   0.010
 inference:    93 | throughput: 419.074 | time:   0.010
 inference:    94 | throughput: 425.407 | time:   0.009
 inference:    95 | throughput: 426.380 | time:   0.009
 inference:    96 | throughput: 414.621 | time:   0.010
 inference:    97 | throughput: 426.185 | time:   0.009
 inference:    98 | throughput: 424.578 | time:   0.009
 inference:    99 | throughput: 420.292 | time:   0.010
 inference:   100 | throughput: 426.066 | time:   0.009

Total inference throughput: 311.05669, Total inference latency: 0.01286
