Data loading...
mobilenet1-1 Model building...
Start inference...

 inference:     1 | throughput:  76.823 | time:   0.013
 inference:     2 | throughput: 184.673 | time:   0.005
 inference:     3 | throughput: 198.924 | time:   0.005
 inference:     4 | throughput: 200.819 | time:   0.005
 inference:     5 | throughput: 199.264 | time:   0.005
 inference:     6 | throughput:   2.660 | time:   0.376
 inference:     7 | throughput:  57.058 | time:   0.018
 inference:     8 | throughput:  97.913 | time:   0.010
 inference:     9 | throughput: 138.111 | time:   0.007
 inference:    10 | throughput: 168.731 | time:   0.006
 inference:    11 | throughput: 193.876 | time:   0.005
 inference:    12 | throughput: 198.228 | time:   0.005
 inference:    13 | throughput: 198.669 | time:   0.005
 inference:    14 | throughput: 199.596 | time:   0.005
 inference:    15 | throughput: 203.350 | time:   0.005
 inference:    16 | throughput: 199.396 | time:   0.005
 inference:    17 | throughput: 198.106 | time:   0.005
 inference:    18 | throughput: 201.185 | time:   0.005
 inference:    19 | throughput: 205.221 | time:   0.005
 inference:    20 | throughput: 200.358 | time:   0.005
 inference:    21 | throughput: 200.992 | time:   0.005
 inference:    22 | throughput: 204.441 | time:   0.005
 inference:    23 | throughput: 196.372 | time:   0.005
 inference:    24 | throughput: 199.795 | time:   0.005
 inference:    25 | throughput: 197.556 | time:   0.005
 inference:    26 | throughput: 200.368 | time:   0.005
 inference:    27 | throughput: 202.957 | time:   0.005
 inference:    28 | throughput: 200.742 | time:   0.005
 inference:    29 | throughput: 199.710 | time:   0.005
 inference:    30 | throughput: 195.739 | time:   0.005
 inference:    31 | throughput: 198.397 | time:   0.005
 inference:    32 | throughput: 197.333 | time:   0.005
 inference:    33 | throughput: 197.472 | time:   0.005
 inference:    34 | throughput: 197.957 | time:   0.005
 inference:    35 | throughput: 197.175 | time:   0.005
 inference:    36 | throughput: 198.144 | time:   0.005
 inference:    37 | throughput: 191.696 | time:   0.005
 inference:    38 | throughput: 200.550 | time:   0.005
 inference:    39 | throughput: 198.500 | time:   0.005
 inference:    40 | throughput: 200.014 | time:   0.005
 inference:    41 | throughput: 199.843 | time:   0.005
 inference:    42 | throughput: 201.669 | time:   0.005
 inference:    43 | throughput: 201.543 | time:   0.005
 inference:    44 | throughput: 194.649 | time:   0.005
 inference:    45 | throughput: 199.548 | time:   0.005
 inference:    46 | throughput: 201.069 | time:   0.005
 inference:    47 | throughput: 202.213 | time:   0.005
 inference:    48 | throughput: 198.003 | time:   0.005
 inference:    49 | throughput: 201.717 | time:   0.005
 inference:    50 | throughput: 201.436 | time:   0.005
 inference:    51 | throughput: 201.979 | time:   0.005
 inference:    52 | throughput: 195.466 | time:   0.005
 inference:    53 | throughput: 197.957 | time:   0.005
 inference:    54 | throughput: 194.613 | time:   0.005
 inference:    55 | throughput: 194.966 | time:   0.005
 inference:    56 | throughput: 190.192 | time:   0.005
 inference:    57 | throughput: 202.663 | time:   0.005
 inference:    58 | throughput: 198.500 | time:   0.005
 inference:    59 | throughput: 197.602 | time:   0.005
 inference:    60 | throughput: 200.790 | time:   0.005
 inference:    61 | throughput: 201.921 | time:   0.005
 inference:    62 | throughput: 201.204 | time:   0.005
 inference:    63 | throughput: 200.636 | time:   0.005
 inference:    64 | throughput: 198.397 | time:   0.005
 inference:    65 | throughput: 202.898 | time:   0.005
 inference:    66 | throughput: 200.483 | time:   0.005
 inference:    67 | throughput: 196.685 | time:   0.005
 inference:    68 | throughput: 200.752 | time:   0.005
 inference:    69 | throughput: 199.624 | time:   0.005
 inference:    70 | throughput: 200.263 | time:   0.005
 inference:    71 | throughput: 198.237 | time:   0.005
 inference:    72 | throughput: 198.622 | time:   0.005
 inference:    73 | throughput: 200.339 | time:   0.005
 inference:    74 | throughput: 199.624 | time:   0.005
 inference:    75 | throughput: 197.751 | time:   0.005
 inference:    76 | throughput: 198.575 | time:   0.005
 inference:    77 | throughput: 200.435 | time:   0.005
 inference:    78 | throughput: 196.593 | time:   0.005
 inference:    79 | throughput: 199.596 | time:   0.005
 inference:    80 | throughput: 200.167 | time:   0.005
 inference:    81 | throughput: 199.919 | time:   0.005
 inference:    82 | throughput: 198.481 | time:   0.005
 inference:    83 | throughput: 198.575 | time:   0.005
 inference:    84 | throughput: 199.235 | time:   0.005
 inference:    85 | throughput: 200.148 | time:   0.005
 inference:    86 | throughput: 198.209 | time:   0.005
 inference:    87 | throughput: 199.586 | time:   0.005
 inference:    88 | throughput: 199.995 | time:   0.005
 inference:    89 | throughput: 200.838 | time:   0.005
 inference:    90 | throughput: 197.472 | time:   0.005
 inference:    91 | throughput: 194.406 | time:   0.005
 inference:    92 | throughput: 195.302 | time:   0.005
 inference:    93 | throughput: 200.493 | time:   0.005
 inference:    94 | throughput: 199.415 | time:   0.005
 inference:    95 | throughput: 198.190 | time:   0.005
 inference:    96 | throughput: 199.757 | time:   0.005
 inference:    97 | throughput: 194.559 | time:   0.005
 inference:    98 | throughput: 195.429 | time:   0.005
 inference:    99 | throughput: 197.565 | time:   0.005
 inference:   100 | throughput: 200.119 | time:   0.005

Total inference throughput: 110.79499, Total inference latency: 0.00903
