Data loading...
mobilenet1-32 Model building...
Start inference...

 inference:     1 | throughput: 1827.036 | time:   0.018
 inference:     2 | throughput: 4161.274 | time:   0.008
 inference:     3 | throughput: 3273.443 | time:   0.010
 inference:     4 | throughput: 3286.428 | time:   0.010
 inference:     5 | throughput: 3408.618 | time:   0.009
 inference:     6 | throughput: 3306.263 | time:   0.010
 inference:     7 | throughput: 3471.567 | time:   0.009
 inference:     8 | throughput: 3356.198 | time:   0.010
 inference:     9 | throughput: 3365.034 | time:   0.010
 inference:    10 | throughput: 3288.764 | time:   0.010
 inference:    11 | throughput: 3472.375 | time:   0.009
 inference:    12 | throughput: 3436.106 | time:   0.009
 inference:    13 | throughput: 3405.591 | time:   0.009
 inference:    14 | throughput: 3385.062 | time:   0.009
 inference:    15 | throughput: 3435.754 | time:   0.009
 inference:    16 | throughput: 3468.517 | time:   0.009
 inference:    17 | throughput: 3417.731 | time:   0.009
 inference:    18 | throughput: 3462.790 | time:   0.009
 inference:    19 | throughput: 3418.776 | time:   0.009
 inference:    20 | throughput: 3482.828 | time:   0.009
 inference:    21 | throughput: 3420.954 | time:   0.009
 inference:    22 | throughput: 3461.093 | time:   0.009
 inference:    23 | throughput: 3449.972 | time:   0.009
 inference:    24 | throughput: 3424.708 | time:   0.009
 inference:    25 | throughput: 3426.631 | time:   0.009
 inference:    26 | throughput: 3429.083 | time:   0.009
 inference:    27 | throughput: 3403.345 | time:   0.009
 inference:    28 | throughput: 3446.783 | time:   0.009
 inference:    29 | throughput: 3485.722 | time:   0.009
 inference:    30 | throughput: 3456.458 | time:   0.009
 inference:    31 | throughput: 3431.538 | time:   0.009
 inference:    32 | throughput: 3481.743 | time:   0.009
 inference:    33 | throughput: 3469.324 | time:   0.009
 inference:    34 | throughput: 3394.909 | time:   0.009
 inference:    35 | throughput: 3536.885 | time:   0.009
 inference:    36 | throughput: 3444.748 | time:   0.009
 inference:    37 | throughput: 3461.004 | time:   0.009
 inference:    38 | throughput: 3478.495 | time:   0.009
 inference:    39 | throughput: 3478.946 | time:   0.009
 inference:    40 | throughput: 3447.226 | time:   0.009
 inference:    41 | throughput: 3403.000 | time:   0.009
 inference:    42 | throughput: 3522.035 | time:   0.009
 inference:    43 | throughput: 3455.124 | time:   0.009
 inference:    44 | throughput: 3478.585 | time:   0.009
 inference:    45 | throughput: 3469.682 | time:   0.009
 inference:    46 | throughput: 3435.930 | time:   0.009
 inference:    47 | throughput: 3474.083 | time:   0.009
 inference:    48 | throughput: 3477.413 | time:   0.009
 inference:    49 | throughput: 3466.456 | time:   0.009
 inference:    50 | throughput: 3458.328 | time:   0.009
 inference:    51 | throughput: 3505.935 | time:   0.009
 inference:    52 | throughput: 3408.012 | time:   0.009
 inference:    53 | throughput: 3488.712 | time:   0.009
 inference:    54 | throughput: 3473.634 | time:   0.009
 inference:    55 | throughput: 3456.369 | time:   0.009
 inference:    56 | throughput: 3374.849 | time:   0.009
 inference:    57 | throughput: 3487.171 | time:   0.009
 inference:    58 | throughput: 3480.840 | time:   0.009
 inference:    59 | throughput: 3474.623 | time:   0.009
 inference:    60 | throughput: 3478.405 | time:   0.009
 inference:    61 | throughput: 3479.126 | time:   0.009
 inference:    62 | throughput: 3381.310 | time:   0.009
 inference:    63 | throughput: 3455.301 | time:   0.009
 inference:    64 | throughput: 3482.647 | time:   0.009
 inference:    65 | throughput: 3488.803 | time:   0.009
 inference:    66 | throughput: 3416.948 | time:   0.009
 inference:    67 | throughput: 3484.546 | time:   0.009
 inference:    68 | throughput: 3470.669 | time:   0.009
 inference:    69 | throughput: 3456.458 | time:   0.009
 inference:    70 | throughput: 3392.163 | time:   0.009
 inference:    71 | throughput: 3487.352 | time:   0.009
 inference:    72 | throughput: 3484.274 | time:   0.009
 inference:    73 | throughput: 3480.118 | time:   0.009
 inference:    74 | throughput: 3274.721 | time:   0.010
 inference:    75 | throughput: 3491.435 | time:   0.009
 inference:    76 | throughput: 3433.908 | time:   0.009
 inference:    77 | throughput: 3409.743 | time:   0.009
 inference:    78 | throughput: 3516.683 | time:   0.009
 inference:    79 | throughput: 3455.835 | time:   0.009
 inference:    80 | throughput: 3467.352 | time:   0.009
 inference:    81 | throughput: 3467.890 | time:   0.009
 inference:    82 | throughput: 3452.102 | time:   0.009
 inference:    83 | throughput: 3504.654 | time:   0.009
 inference:    84 | throughput: 3442.451 | time:   0.009
 inference:    85 | throughput: 3455.657 | time:   0.009
 inference:    86 | throughput: 3411.217 | time:   0.009
 inference:    87 | throughput: 3447.491 | time:   0.009
 inference:    88 | throughput: 3480.389 | time:   0.009
 inference:    89 | throughput: 3387.455 | time:   0.009
 inference:    90 | throughput: 3406.628 | time:   0.009
 inference:    91 | throughput: 3441.480 | time:   0.009
 inference:    92 | throughput: 3432.678 | time:   0.009
 inference:    93 | throughput: 3446.606 | time:   0.009
 inference:    94 | throughput: 3438.130 | time:   0.009
 inference:    95 | throughput: 3412.691 | time:   0.009
 inference:    96 | throughput: 3457.259 | time:   0.009
 inference:    97 | throughput: 3464.220 | time:   0.009
 inference:    98 | throughput: 3441.480 | time:   0.009
 inference:    99 | throughput: 3415.818 | time:   0.009
 inference:   100 | throughput: 3439.364 | time:   0.009

Total inference throughput: 3416.77691, Total inference latency: 0.00937
