Data loading...
mobilenet1-4 Model building...
Start inference...

 inference:     1 | throughput:   9.798 | time:   0.408
 inference:     2 | throughput: 330.065 | time:   0.012
 inference:     3 | throughput: 474.670 | time:   0.008
 inference:     4 | throughput: 646.073 | time:   0.006
 inference:     5 | throughput: 730.015 | time:   0.005
 inference:     6 | throughput: 780.626 | time:   0.005
 inference:     7 | throughput: 770.410 | time:   0.005
 inference:     8 | throughput: 794.301 | time:   0.005
 inference:     9 | throughput: 814.547 | time:   0.005
 inference:    10 | throughput: 798.915 | time:   0.005
 inference:    11 | throughput: 790.856 | time:   0.005
 inference:    12 | throughput: 803.276 | time:   0.005
 inference:    13 | throughput: 792.949 | time:   0.005
 inference:    14 | throughput: 798.877 | time:   0.005
 inference:    15 | throughput: 794.865 | time:   0.005
 inference:    16 | throughput: 813.914 | time:   0.005
 inference:    17 | throughput: 817.603 | time:   0.005
 inference:    18 | throughput: 775.574 | time:   0.005
 inference:    19 | throughput: 785.634 | time:   0.005
 inference:    20 | throughput: 791.192 | time:   0.005
 inference:    21 | throughput: 797.510 | time:   0.005
 inference:    22 | throughput: 806.442 | time:   0.005
 inference:    23 | throughput: 789.628 | time:   0.005
 inference:    24 | throughput: 758.361 | time:   0.005
 inference:    25 | throughput: 772.503 | time:   0.005
 inference:    26 | throughput: 787.515 | time:   0.005
 inference:    27 | throughput: 783.982 | time:   0.005
 inference:    28 | throughput: 782.228 | time:   0.005
 inference:    29 | throughput: 789.219 | time:   0.005
 inference:    30 | throughput: 784.532 | time:   0.005
 inference:    31 | throughput: 798.915 | time:   0.005
 inference:    32 | throughput: 781.608 | time:   0.005
 inference:    33 | throughput: 779.067 | time:   0.005
 inference:    34 | throughput: 783.177 | time:   0.005
 inference:    35 | throughput: 775.072 | time:   0.005
 inference:    36 | throughput: 776.076 | time:   0.005
 inference:    37 | throughput: 786.407 | time:   0.005
 inference:    38 | throughput: 794.075 | time:   0.005
 inference:    39 | throughput: 782.848 | time:   0.005
 inference:    40 | throughput: 784.569 | time:   0.005
 inference:    41 | throughput: 781.827 | time:   0.005
 inference:    42 | throughput: 784.422 | time:   0.005
 inference:    43 | throughput: 778.959 | time:   0.005
 inference:    44 | throughput: 773.893 | time:   0.005
 inference:    45 | throughput: 760.699 | time:   0.005
 inference:    46 | throughput: 754.473 | time:   0.005
 inference:    47 | throughput: 757.095 | time:   0.005
 inference:    48 | throughput: 784.899 | time:   0.005
 inference:    49 | throughput: 782.811 | time:   0.005
 inference:    50 | throughput: 781.717 | time:   0.005
 inference:    51 | throughput: 782.009 | time:   0.005
 inference:    52 | throughput: 785.487 | time:   0.005
 inference:    53 | throughput: 777.407 | time:   0.005
 inference:    54 | throughput: 779.502 | time:   0.005
 inference:    55 | throughput: 782.045 | time:   0.005
 inference:    56 | throughput: 780.481 | time:   0.005
 inference:    57 | throughput: 765.803 | time:   0.005
 inference:    58 | throughput: 761.977 | time:   0.005
 inference:    59 | throughput: 776.867 | time:   0.005
 inference:    60 | throughput: 772.610 | time:   0.005
 inference:    61 | throughput: 782.155 | time:   0.005
 inference:    62 | throughput: 784.495 | time:   0.005
 inference:    63 | throughput: 768.856 | time:   0.005
 inference:    64 | throughput: 770.870 | time:   0.005
 inference:    65 | throughput: 774.607 | time:   0.005
 inference:    66 | throughput: 791.677 | time:   0.005
 inference:    67 | throughput: 761.597 | time:   0.005
 inference:    68 | throughput: 780.917 | time:   0.005
 inference:    69 | throughput: 785.524 | time:   0.005
 inference:    70 | throughput: 759.459 | time:   0.005
 inference:    71 | throughput: 781.572 | time:   0.005
 inference:    72 | throughput: 783.616 | time:   0.005
 inference:    73 | throughput: 773.678 | time:   0.005
 inference:    74 | throughput: 770.127 | time:   0.005
 inference:    75 | throughput: 782.118 | time:   0.005
 inference:    76 | throughput: 771.083 | time:   0.005
 inference:    77 | throughput: 754.711 | time:   0.005
 inference:    78 | throughput: 767.379 | time:   0.005
 inference:    79 | throughput: 766.818 | time:   0.005
 inference:    80 | throughput: 750.256 | time:   0.005
 inference:    81 | throughput: 779.792 | time:   0.005
 inference:    82 | throughput: 772.218 | time:   0.005
 inference:    83 | throughput: 764.547 | time:   0.005
 inference:    84 | throughput: 775.897 | time:   0.005
 inference:    85 | throughput: 752.105 | time:   0.005
 inference:    86 | throughput: 764.547 | time:   0.005
 inference:    87 | throughput: 770.233 | time:   0.005
 inference:    88 | throughput: 766.958 | time:   0.005
 inference:    89 | throughput: 766.713 | time:   0.005
 inference:    90 | throughput: 748.181 | time:   0.005
 inference:    91 | throughput: 765.663 | time:   0.005
 inference:    92 | throughput: 786.186 | time:   0.005
 inference:    93 | throughput: 760.285 | time:   0.005
 inference:    94 | throughput: 768.399 | time:   0.005
 inference:    95 | throughput: 787.515 | time:   0.005
 inference:    96 | throughput: 765.314 | time:   0.005
 inference:    97 | throughput: 759.322 | time:   0.005
 inference:    98 | throughput: 768.363 | time:   0.005
 inference:    99 | throughput: 768.504 | time:   0.005
 inference:   100 | throughput: 771.650 | time:   0.005

Total inference throughput: 430.66439, Total inference latency: 0.00929
