Data loading...
resnet152-1 Model building...
Start inference...

 inference:     1 | throughput:  44.151 | time:   0.023
 inference:     2 | throughput:  67.213 | time:   0.015
 inference:     3 | throughput:  68.592 | time:   0.015
 inference:     4 | throughput:  68.318 | time:   0.015
 inference:     5 | throughput:  69.017 | time:   0.014
 inference:     6 | throughput:  69.958 | time:   0.014
 inference:     7 | throughput:  71.935 | time:   0.014
 inference:     8 | throughput:  71.742 | time:   0.014
 inference:     9 | throughput:  71.286 | time:   0.014
 inference:    10 | throughput:  71.604 | time:   0.014
 inference:    11 | throughput:  72.037 | time:   0.014
 inference:    12 | throughput:  71.920 | time:   0.014
 inference:    13 | throughput:  71.881 | time:   0.014
 inference:    14 | throughput:  72.150 | time:   0.014
 inference:    15 | throughput:  71.162 | time:   0.014
 inference:    16 | throughput:  70.857 | time:   0.014
 inference:    17 | throughput:  72.187 | time:   0.014
 inference:    18 | throughput:  71.812 | time:   0.014
 inference:    19 | throughput:  72.433 | time:   0.014
 inference:    20 | throughput:  72.363 | time:   0.014
 inference:    21 | throughput:  72.176 | time:   0.014
 inference:    22 | throughput:  71.580 | time:   0.014
 inference:    23 | throughput:  72.496 | time:   0.014
 inference:    24 | throughput:  72.107 | time:   0.014
 inference:    25 | throughput:  72.166 | time:   0.014
 inference:    26 | throughput:  71.877 | time:   0.014
 inference:    27 | throughput:  72.304 | time:   0.014
 inference:    28 | throughput:  71.791 | time:   0.014
 inference:    29 | throughput:  72.629 | time:   0.014
 inference:    30 | throughput:  70.515 | time:   0.014
 inference:    31 | throughput:  72.450 | time:   0.014
 inference:    32 | throughput:  71.943 | time:   0.014
 inference:    33 | throughput:  71.819 | time:   0.014
 inference:    34 | throughput:  69.017 | time:   0.014
 inference:    35 | throughput:  72.151 | time:   0.014
 inference:    36 | throughput:  70.101 | time:   0.014
 inference:    37 | throughput:  70.274 | time:   0.014
 inference:    38 | throughput:  70.990 | time:   0.014
 inference:    39 | throughput:  71.518 | time:   0.014
 inference:    40 | throughput:  70.149 | time:   0.014
 inference:    41 | throughput:  69.205 | time:   0.014
 inference:    42 | throughput:  68.529 | time:   0.015
 inference:    43 | throughput:  68.721 | time:   0.015
 inference:    44 | throughput:  68.118 | time:   0.015
 inference:    45 | throughput:  69.180 | time:   0.014
 inference:    46 | throughput:  67.542 | time:   0.015
 inference:    47 | throughput:  68.439 | time:   0.015
 inference:    48 | throughput:  70.260 | time:   0.014
 inference:    49 | throughput:  68.806 | time:   0.015
 inference:    50 | throughput:  71.920 | time:   0.014
 inference:    51 | throughput:  71.375 | time:   0.014
 inference:    52 | throughput:  73.027 | time:   0.014
 inference:    53 | throughput:  70.947 | time:   0.014
 inference:    54 | throughput:  73.386 | time:   0.014
 inference:    55 | throughput:  71.043 | time:   0.014
 inference:    56 | throughput:  71.452 | time:   0.014
 inference:    57 | throughput:  71.267 | time:   0.014
 inference:    58 | throughput:  62.600 | time:   0.016
 inference:    59 | throughput:  71.550 | time:   0.014
 inference:    60 | throughput:  71.479 | time:   0.014
 inference:    61 | throughput:  71.776 | time:   0.014
 inference:    62 | throughput:  71.433 | time:   0.014
 inference:    63 | throughput:  71.777 | time:   0.014
 inference:    64 | throughput:  71.913 | time:   0.014
 inference:    65 | throughput:  71.441 | time:   0.014
 inference:    66 | throughput:  72.263 | time:   0.014
 inference:    67 | throughput:  71.305 | time:   0.014
 inference:    68 | throughput:  71.267 | time:   0.014
 inference:    69 | throughput:  72.884 | time:   0.014
 inference:    70 | throughput:  71.265 | time:   0.014
 inference:    71 | throughput:  71.733 | time:   0.014
 inference:    72 | throughput:  71.462 | time:   0.014
 inference:    73 | throughput:  71.680 | time:   0.014
 inference:    74 | throughput:  71.381 | time:   0.014
 inference:    75 | throughput:  72.225 | time:   0.014
 inference:    76 | throughput:  71.936 | time:   0.014
 inference:    77 | throughput:  71.182 | time:   0.014
 inference:    78 | throughput:  71.303 | time:   0.014
 inference:    79 | throughput:  71.265 | time:   0.014
 inference:    80 | throughput:  69.684 | time:   0.014
 inference:    81 | throughput:  71.886 | time:   0.014
 inference:    82 | throughput:  71.191 | time:   0.014
 inference:    83 | throughput:  70.112 | time:   0.014
 inference:    84 | throughput:  67.629 | time:   0.015
 inference:    85 | throughput:  69.924 | time:   0.014
 inference:    86 | throughput:  69.725 | time:   0.014
 inference:    87 | throughput:  68.760 | time:   0.015
 inference:    88 | throughput:  69.397 | time:   0.014
 inference:    89 | throughput:  68.376 | time:   0.015
 inference:    90 | throughput:  68.163 | time:   0.015
 inference:    91 | throughput:  69.802 | time:   0.014
 inference:    92 | throughput:  67.851 | time:   0.015
 inference:    93 | throughput:  67.793 | time:   0.015
 inference:    94 | throughput:  69.696 | time:   0.014
 inference:    95 | throughput:  68.749 | time:   0.015
 inference:    96 | throughput:  67.137 | time:   0.015
 inference:    97 | throughput:  67.561 | time:   0.015
 inference:    98 | throughput:  67.899 | time:   0.015
 inference:    99 | throughput:  70.411 | time:   0.014
 inference:   100 | throughput:  72.892 | time:   0.014

Total inference throughput: 70.17541, Total inference latency: 0.01425
