Data loading...
resnet50-4 Model building...
Start inference...

 inference:     1 | throughput:   9.809 | time:   0.408
 inference:     2 | throughput: 262.087 | time:   0.015
 inference:     3 | throughput: 455.742 | time:   0.009
 inference:     4 | throughput: 603.497 | time:   0.007
 inference:     5 | throughput: 668.681 | time:   0.006
 inference:     6 | throughput: 782.811 | time:   0.005
 inference:     7 | throughput: 714.319 | time:   0.006
 inference:     8 | throughput: 717.006 | time:   0.006
 inference:     9 | throughput: 719.836 | time:   0.006
 inference:    10 | throughput: 707.004 | time:   0.006
 inference:    11 | throughput: 730.238 | time:   0.005
 inference:    12 | throughput: 709.216 | time:   0.006
 inference:    13 | throughput: 725.595 | time:   0.006
 inference:    14 | throughput: 717.036 | time:   0.006
 inference:    15 | throughput: 718.111 | time:   0.006
 inference:    16 | throughput: 709.216 | time:   0.006
 inference:    17 | throughput: 703.152 | time:   0.006
 inference:    18 | throughput: 727.799 | time:   0.005
 inference:    19 | throughput: 714.989 | time:   0.006
 inference:    20 | throughput: 701.565 | time:   0.006
 inference:    21 | throughput: 731.320 | time:   0.005
 inference:    22 | throughput: 714.989 | time:   0.006
 inference:    23 | throughput: 699.605 | time:   0.006
 inference:    24 | throughput: 717.006 | time:   0.006
 inference:    25 | throughput: 711.472 | time:   0.006
 inference:    26 | throughput: 715.507 | time:   0.006
 inference:    27 | throughput: 717.159 | time:   0.006
 inference:    28 | throughput: 710.057 | time:   0.006
 inference:    29 | throughput: 709.666 | time:   0.006
 inference:    30 | throughput: 704.984 | time:   0.006
 inference:    31 | throughput: 705.755 | time:   0.006
 inference:    32 | throughput: 743.605 | time:   0.005
 inference:    33 | throughput: 711.502 | time:   0.006
 inference:    34 | throughput: 714.046 | time:   0.006
 inference:    35 | throughput: 719.651 | time:   0.006
 inference:    36 | throughput: 714.167 | time:   0.006
 inference:    37 | throughput: 732.694 | time:   0.005
 inference:    38 | throughput: 706.588 | time:   0.006
 inference:    39 | throughput: 703.447 | time:   0.006
 inference:    40 | throughput: 734.072 | time:   0.005
 inference:    41 | throughput: 708.587 | time:   0.006
 inference:    42 | throughput: 704.599 | time:   0.006
 inference:    43 | throughput: 731.065 | time:   0.005
 inference:    44 | throughput: 700.656 | time:   0.006
 inference:    45 | throughput: 734.040 | time:   0.005
 inference:    46 | throughput: 715.935 | time:   0.006
 inference:    47 | throughput: 687.394 | time:   0.006
 inference:    48 | throughput: 737.233 | time:   0.005
 inference:    49 | throughput: 716.669 | time:   0.006
 inference:    50 | throughput: 706.409 | time:   0.006
 inference:    51 | throughput: 729.984 | time:   0.005
 inference:    52 | throughput: 678.306 | time:   0.006
 inference:    53 | throughput: 750.256 | time:   0.005
 inference:    54 | throughput: 678.827 | time:   0.006
 inference:    55 | throughput: 731.065 | time:   0.005
 inference:    56 | throughput: 714.989 | time:   0.006
 inference:    57 | throughput: 713.287 | time:   0.006
 inference:    58 | throughput: 724.436 | time:   0.006
 inference:    59 | throughput: 715.050 | time:   0.006
 inference:    60 | throughput: 714.837 | time:   0.006
 inference:    61 | throughput: 717.006 | time:   0.006
 inference:    62 | throughput: 714.654 | time:   0.006
 inference:    63 | throughput: 714.654 | time:   0.006
 inference:    64 | throughput: 698.643 | time:   0.006
 inference:    65 | throughput: 728.462 | time:   0.005
 inference:    66 | throughput: 711.864 | time:   0.006
 inference:    67 | throughput: 714.319 | time:   0.006
 inference:    68 | throughput: 713.165 | time:   0.006
 inference:    69 | throughput: 702.534 | time:   0.006
 inference:    70 | throughput: 723.967 | time:   0.006
 inference:    71 | throughput: 726.507 | time:   0.006
 inference:    72 | throughput: 696.323 | time:   0.006
 inference:    73 | throughput: 725.752 | time:   0.006
 inference:    74 | throughput: 693.073 | time:   0.006
 inference:    75 | throughput: 743.111 | time:   0.005
 inference:    76 | throughput: 688.183 | time:   0.006
 inference:    77 | throughput: 732.470 | time:   0.005
 inference:    78 | throughput: 687.732 | time:   0.006
 inference:    79 | throughput: 732.534 | time:   0.005
 inference:    80 | throughput: 713.165 | time:   0.006
 inference:    81 | throughput: 704.984 | time:   0.006
 inference:    82 | throughput: 698.760 | time:   0.006
 inference:    83 | throughput: 759.253 | time:   0.005
 inference:    84 | throughput: 714.471 | time:   0.006
 inference:    85 | throughput: 712.741 | time:   0.006
 inference:    86 | throughput: 716.210 | time:   0.006
 inference:    87 | throughput: 719.065 | time:   0.006
 inference:    88 | throughput: 702.416 | time:   0.006
 inference:    89 | throughput: 722.067 | time:   0.006
 inference:    90 | throughput: 713.044 | time:   0.006
 inference:    91 | throughput: 699.984 | time:   0.006
 inference:    92 | throughput: 736.651 | time:   0.005
 inference:    93 | throughput: 714.867 | time:   0.006
 inference:    94 | throughput: 694.076 | time:   0.006
 inference:    95 | throughput: 725.972 | time:   0.006
 inference:    96 | throughput: 700.013 | time:   0.006
 inference:    97 | throughput: 740.128 | time:   0.005
 inference:    98 | throughput: 714.806 | time:   0.006
 inference:    99 | throughput: 698.120 | time:   0.006
 inference:   100 | throughput: 709.336 | time:   0.006

Total inference throughput: 409.96663, Total inference latency: 0.00976
