Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 2787.116 | time:   0.023
 inference:     2 | throughput: 3512.909 | time:   0.018
 inference:     3 | throughput: 2149.909 | time:   0.030
 inference:     4 | throughput: 2094.142 | time:   0.031
 inference:     5 | throughput: 2182.526 | time:   0.029
 inference:     6 | throughput: 2139.252 | time:   0.030
 inference:     7 | throughput: 2163.790 | time:   0.030
 inference:     8 | throughput: 2146.591 | time:   0.030
 inference:     9 | throughput: 2145.801 | time:   0.030
 inference:    10 | throughput: 2128.514 | time:   0.030
 inference:    11 | throughput: 2163.738 | time:   0.030
 inference:    12 | throughput: 2154.343 | time:   0.030
 inference:    13 | throughput: 2152.581 | time:   0.030
 inference:    14 | throughput: 2154.637 | time:   0.030
 inference:    15 | throughput: 2163.633 | time:   0.030
 inference:    16 | throughput: 2152.754 | time:   0.030
 inference:    17 | throughput: 2161.246 | time:   0.030
 inference:    18 | throughput: 2140.514 | time:   0.030
 inference:    19 | throughput: 2157.911 | time:   0.030
 inference:    20 | throughput: 2151.339 | time:   0.030
 inference:    21 | throughput: 2164.994 | time:   0.030
 inference:    22 | throughput: 2179.408 | time:   0.029
 inference:    23 | throughput: 2154.274 | time:   0.030
 inference:    24 | throughput: 2167.844 | time:   0.030
 inference:    25 | throughput: 2104.089 | time:   0.030
 inference:    26 | throughput: 2175.134 | time:   0.029
 inference:    27 | throughput: 2152.512 | time:   0.030
 inference:    28 | throughput: 2166.724 | time:   0.030
 inference:    29 | throughput: 2160.655 | time:   0.030
 inference:    30 | throughput: 2133.675 | time:   0.030
 inference:    31 | throughput: 2161.978 | time:   0.030
 inference:    32 | throughput: 2157.477 | time:   0.030
 inference:    33 | throughput: 2166.917 | time:   0.030
 inference:    34 | throughput: 2164.121 | time:   0.030
 inference:    35 | throughput: 2167.967 | time:   0.030
 inference:    36 | throughput: 2128.261 | time:   0.030
 inference:    37 | throughput: 2183.183 | time:   0.029
 inference:    38 | throughput: 2157.078 | time:   0.030
 inference:    39 | throughput: 2175.451 | time:   0.029
 inference:    40 | throughput: 2162.361 | time:   0.030
 inference:    41 | throughput: 2163.110 | time:   0.030
 inference:    42 | throughput: 2168.142 | time:   0.030
 inference:    43 | throughput: 2165.378 | time:   0.030
 inference:    44 | throughput: 2161.351 | time:   0.030
 inference:    45 | throughput: 2166.952 | time:   0.030
 inference:    46 | throughput: 2166.654 | time:   0.030
 inference:    47 | throughput: 2169.035 | time:   0.030
 inference:    48 | throughput: 2167.161 | time:   0.030
 inference:    49 | throughput: 2165.047 | time:   0.030
 inference:    50 | throughput: 2170.438 | time:   0.029
 inference:    51 | throughput: 2129.612 | time:   0.030
 inference:    52 | throughput: 2177.940 | time:   0.029
 inference:    53 | throughput: 2164.278 | time:   0.030
 inference:    54 | throughput: 2166.374 | time:   0.030
 inference:    55 | throughput: 2135.474 | time:   0.030
 inference:    56 | throughput: 2152.823 | time:   0.030
 inference:    57 | throughput: 2170.193 | time:   0.029
 inference:    58 | throughput: 2161.455 | time:   0.030
 inference:    59 | throughput: 2157.044 | time:   0.030
 inference:    60 | throughput: 2176.139 | time:   0.029
 inference:    61 | throughput: 2158.362 | time:   0.030
 inference:    62 | throughput: 2140.565 | time:   0.030
 inference:    63 | throughput: 2172.898 | time:   0.029
 inference:    64 | throughput: 2170.017 | time:   0.029
 inference:    65 | throughput: 2174.764 | time:   0.029
 inference:    66 | throughput: 2155.052 | time:   0.030
 inference:    67 | throughput: 2179.301 | time:   0.029
 inference:    68 | throughput: 2171.035 | time:   0.029
 inference:    69 | throughput: 2160.307 | time:   0.030
 inference:    70 | throughput: 2163.807 | time:   0.030
 inference:    71 | throughput: 2154.378 | time:   0.030
 inference:    72 | throughput: 2141.812 | time:   0.030
 inference:    73 | throughput: 2195.019 | time:   0.029
 inference:    74 | throughput: 2167.109 | time:   0.030
 inference:    75 | throughput: 2164.593 | time:   0.030
 inference:    76 | throughput: 2162.012 | time:   0.030
 inference:    77 | throughput: 2085.778 | time:   0.031
 inference:    78 | throughput: 2120.176 | time:   0.030
 inference:    79 | throughput: 2170.333 | time:   0.029
 inference:    80 | throughput: 2124.976 | time:   0.030
 inference:    81 | throughput: 2115.014 | time:   0.030
 inference:    82 | throughput: 2112.700 | time:   0.030
 inference:    83 | throughput: 2173.091 | time:   0.029
 inference:    84 | throughput: 2128.481 | time:   0.030
 inference:    85 | throughput: 2165.151 | time:   0.030
 inference:    86 | throughput: 2098.136 | time:   0.031
 inference:    87 | throughput: 2160.412 | time:   0.030
 inference:    88 | throughput: 2125.784 | time:   0.030
 inference:    89 | throughput: 2167.529 | time:   0.030
 inference:    90 | throughput: 2136.919 | time:   0.030
 inference:    91 | throughput: 2145.304 | time:   0.030
 inference:    92 | throughput: 2146.110 | time:   0.030
 inference:    93 | throughput: 2157.373 | time:   0.030
 inference:    94 | throughput: 2158.501 | time:   0.030
 inference:    95 | throughput: 2137.293 | time:   0.030
 inference:    96 | throughput: 2156.870 | time:   0.030
 inference:    97 | throughput: 2163.232 | time:   0.030
 inference:    98 | throughput: 2166.444 | time:   0.030
 inference:    99 | throughput: 2151.546 | time:   0.030
 inference:   100 | throughput: 2144.584 | time:   0.030

Total inference throughput: 2168.06413, Total inference latency: 0.02952
