Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 2862.151 | time:   0.022
 inference:     2 | throughput: 2830.135 | time:   0.023
 inference:     3 | throughput: 1881.447 | time:   0.034
 inference:     4 | throughput: 1557.538 | time:   0.041
 inference:     5 | throughput: 2441.610 | time:   0.026
 inference:     6 | throughput: 1884.260 | time:   0.034
 inference:     7 | throughput: 1894.593 | time:   0.034
 inference:     8 | throughput: 1884.234 | time:   0.034
 inference:     9 | throughput: 1911.389 | time:   0.033
 inference:    10 | throughput: 1890.124 | time:   0.034
 inference:    11 | throughput: 1904.419 | time:   0.034
 inference:    12 | throughput: 1891.016 | time:   0.034
 inference:    13 | throughput: 1913.037 | time:   0.033
 inference:    14 | throughput: 1892.643 | time:   0.034
 inference:    15 | throughput: 1905.527 | time:   0.034
 inference:    16 | throughput: 1892.643 | time:   0.034
 inference:    17 | throughput: 1904.149 | time:   0.034
 inference:    18 | throughput: 1905.297 | time:   0.034
 inference:    19 | throughput: 1902.354 | time:   0.034
 inference:    20 | throughput: 1901.559 | time:   0.034
 inference:    21 | throughput: 1906.150 | time:   0.034
 inference:    22 | throughput: 1880.380 | time:   0.034
 inference:    23 | throughput: 1906.529 | time:   0.034
 inference:    24 | throughput: 1901.977 | time:   0.034
 inference:    25 | throughput: 1901.411 | time:   0.034
 inference:    26 | throughput: 1884.578 | time:   0.034
 inference:    27 | throughput: 1909.540 | time:   0.034
 inference:    28 | throughput: 1899.729 | time:   0.034
 inference:    29 | throughput: 1905.541 | time:   0.034
 inference:    30 | throughput: 1900.388 | time:   0.034
 inference:    31 | throughput: 1901.721 | time:   0.034
 inference:    32 | throughput: 1896.507 | time:   0.034
 inference:    33 | throughput: 1905.027 | time:   0.034
 inference:    34 | throughput: 1910.736 | time:   0.033
 inference:    35 | throughput: 1903.811 | time:   0.034
 inference:    36 | throughput: 1888.728 | time:   0.034
 inference:    37 | throughput: 1923.166 | time:   0.033
 inference:    38 | throughput: 1911.198 | time:   0.033
 inference:    39 | throughput: 1909.771 | time:   0.034
 inference:    40 | throughput: 1910.260 | time:   0.034
 inference:    41 | throughput: 1905.365 | time:   0.034
 inference:    42 | throughput: 1902.408 | time:   0.034
 inference:    43 | throughput: 1913.624 | time:   0.033
 inference:    44 | throughput: 1906.827 | time:   0.034
 inference:    45 | throughput: 1884.009 | time:   0.034
 inference:    46 | throughput: 1915.563 | time:   0.033
 inference:    47 | throughput: 1917.109 | time:   0.033
 inference:    48 | throughput: 1881.487 | time:   0.034
 inference:    49 | throughput: 1880.999 | time:   0.034
 inference:    50 | throughput: 1911.362 | time:   0.033
 inference:    51 | throughput: 1911.035 | time:   0.033
 inference:    52 | throughput: 1906.028 | time:   0.034
 inference:    53 | throughput: 1910.042 | time:   0.034
 inference:    54 | throughput: 1886.591 | time:   0.034
 inference:    55 | throughput: 1911.144 | time:   0.033
 inference:    56 | throughput: 1918.451 | time:   0.033
 inference:    57 | throughput: 1909.146 | time:   0.034
 inference:    58 | throughput: 1899.527 | time:   0.034
 inference:    59 | throughput: 1919.535 | time:   0.033
 inference:    60 | throughput: 1897.969 | time:   0.034
 inference:    61 | throughput: 1902.610 | time:   0.034
 inference:    62 | throughput: 1914.374 | time:   0.033
 inference:    63 | throughput: 1904.635 | time:   0.034
 inference:    64 | throughput: 1903.811 | time:   0.034
 inference:    65 | throughput: 1917.834 | time:   0.033
 inference:    66 | throughput: 1903.622 | time:   0.034
 inference:    67 | throughput: 1883.903 | time:   0.034
 inference:    68 | throughput: 1911.389 | time:   0.033
 inference:    69 | throughput: 1920.991 | time:   0.033
 inference:    70 | throughput: 1901.128 | time:   0.034
 inference:    71 | throughput: 1900.267 | time:   0.034
 inference:    72 | throughput: 1895.516 | time:   0.034
 inference:    73 | throughput: 1912.288 | time:   0.033
 inference:    74 | throughput: 1916.479 | time:   0.033
 inference:    75 | throughput: 1902.219 | time:   0.034
 inference:    76 | throughput: 1912.955 | time:   0.033
 inference:    77 | throughput: 1895.851 | time:   0.034
 inference:    78 | throughput: 1913.078 | time:   0.033
 inference:    79 | throughput: 1910.613 | time:   0.033
 inference:    80 | throughput: 1906.935 | time:   0.034
 inference:    81 | throughput: 1910.722 | time:   0.033
 inference:    82 | throughput: 1913.555 | time:   0.033
 inference:    83 | throughput: 1906.651 | time:   0.034
 inference:    84 | throughput: 1908.115 | time:   0.034
 inference:    85 | throughput: 1911.933 | time:   0.033
 inference:    86 | throughput: 1913.978 | time:   0.033
 inference:    87 | throughput: 1915.863 | time:   0.033
 inference:    88 | throughput: 1913.746 | time:   0.033
 inference:    89 | throughput: 1917.437 | time:   0.033
 inference:    90 | throughput: 1868.534 | time:   0.034
 inference:    91 | throughput: 1908.345 | time:   0.034
 inference:    92 | throughput: 1923.152 | time:   0.033
 inference:    93 | throughput: 1902.057 | time:   0.034
 inference:    94 | throughput: 1891.763 | time:   0.034
 inference:    95 | throughput: 1906.759 | time:   0.034
 inference:    96 | throughput: 1905.500 | time:   0.034
 inference:    97 | throughput: 1916.028 | time:   0.033
 inference:    98 | throughput: 1909.961 | time:   0.034
 inference:    99 | throughput: 1907.166 | time:   0.034
 inference:   100 | throughput: 1889.605 | time:   0.034

Total inference throughput: 1916.49687, Total inference latency: 0.03339
