Data loading...
vgg16-2 Model building...
Start inference...

 inference:     1 | throughput:   5.003 | time:   0.400
 inference:     2 | throughput: 433.722 | time:   0.005
 inference:     3 | throughput: 245.288 | time:   0.008
 inference:     4 | throughput: 222.965 | time:   0.009
 inference:     5 | throughput: 213.499 | time:   0.009
 inference:     6 | throughput: 215.940 | time:   0.009
 inference:     7 | throughput: 213.826 | time:   0.009
 inference:     8 | throughput: 209.946 | time:   0.010
 inference:     9 | throughput: 213.679 | time:   0.009
 inference:    10 | throughput: 212.252 | time:   0.009
 inference:    11 | throughput: 209.836 | time:   0.010
 inference:    12 | throughput: 213.984 | time:   0.009
 inference:    13 | throughput: 212.268 | time:   0.009
 inference:    14 | throughput: 211.711 | time:   0.009
 inference:    15 | throughput: 213.044 | time:   0.009
 inference:    16 | throughput: 211.359 | time:   0.009
 inference:    17 | throughput: 212.203 | time:   0.009
 inference:    18 | throughput: 212.590 | time:   0.009
 inference:    19 | throughput: 210.515 | time:   0.010
 inference:    20 | throughput: 213.646 | time:   0.009
 inference:    21 | throughput: 212.037 | time:   0.009
 inference:    22 | throughput: 211.385 | time:   0.009
 inference:    23 | throughput: 212.005 | time:   0.009
 inference:    24 | throughput: 212.833 | time:   0.009
 inference:    25 | throughput: 212.187 | time:   0.009
 inference:    26 | throughput: 212.985 | time:   0.009
 inference:    27 | throughput: 211.454 | time:   0.009
 inference:    28 | throughput: 211.513 | time:   0.009
 inference:    29 | throughput: 213.603 | time:   0.009
 inference:    30 | throughput: 211.268 | time:   0.009
 inference:    31 | throughput: 212.128 | time:   0.009
 inference:    32 | throughput: 213.163 | time:   0.009
 inference:    33 | throughput: 210.431 | time:   0.010
 inference:    34 | throughput: 212.634 | time:   0.009
 inference:    35 | throughput: 213.369 | time:   0.009
 inference:    36 | throughput: 210.679 | time:   0.009
 inference:    37 | throughput: 214.181 | time:   0.009
 inference:    38 | throughput: 211.476 | time:   0.009
 inference:    39 | throughput: 211.273 | time:   0.009
 inference:    40 | throughput: 213.586 | time:   0.009
 inference:    41 | throughput: 211.050 | time:   0.009
 inference:    42 | throughput: 212.348 | time:   0.009
 inference:    43 | throughput: 213.217 | time:   0.009
 inference:    44 | throughput: 210.330 | time:   0.010
 inference:    45 | throughput: 213.001 | time:   0.009
 inference:    46 | throughput: 213.017 | time:   0.009
 inference:    47 | throughput: 210.294 | time:   0.010
 inference:    48 | throughput: 213.739 | time:   0.009
 inference:    49 | throughput: 211.791 | time:   0.009
 inference:    50 | throughput: 210.928 | time:   0.009
 inference:    51 | throughput: 213.586 | time:   0.009
 inference:    52 | throughput: 210.457 | time:   0.010
 inference:    53 | throughput: 212.661 | time:   0.009
 inference:    54 | throughput: 213.831 | time:   0.009
 inference:    55 | throughput: 208.573 | time:   0.010
 inference:    56 | throughput: 214.685 | time:   0.009
 inference:    57 | throughput: 213.358 | time:   0.009
 inference:    58 | throughput: 207.623 | time:   0.010
 inference:    59 | throughput: 217.046 | time:   0.009
 inference:    60 | throughput: 211.999 | time:   0.009
 inference:    61 | throughput: 208.558 | time:   0.010
 inference:    62 | throughput: 215.242 | time:   0.009
 inference:    63 | throughput: 211.380 | time:   0.009
 inference:    64 | throughput: 211.135 | time:   0.009
 inference:    65 | throughput: 214.647 | time:   0.009
 inference:    66 | throughput: 208.268 | time:   0.010
 inference:    67 | throughput: 214.823 | time:   0.009
 inference:    68 | throughput: 213.066 | time:   0.009
 inference:    69 | throughput: 208.015 | time:   0.010
 inference:    70 | throughput: 216.558 | time:   0.009
 inference:    71 | throughput: 212.564 | time:   0.009
 inference:    72 | throughput: 207.654 | time:   0.010
 inference:    73 | throughput: 216.463 | time:   0.009
 inference:    74 | throughput: 211.093 | time:   0.009
 inference:    75 | throughput: 210.806 | time:   0.009
 inference:    76 | throughput: 213.717 | time:   0.009
 inference:    77 | throughput: 209.747 | time:   0.010
 inference:    78 | throughput: 213.521 | time:   0.009
 inference:    79 | throughput: 214.214 | time:   0.009
 inference:    80 | throughput: 208.035 | time:   0.010
 inference:    81 | throughput: 216.173 | time:   0.009
 inference:    82 | throughput: 212.515 | time:   0.009
 inference:    83 | throughput: 208.097 | time:   0.010
 inference:    84 | throughput: 217.564 | time:   0.009
 inference:    85 | throughput: 210.526 | time:   0.010
 inference:    86 | throughput: 212.828 | time:   0.009
 inference:    87 | throughput: 213.538 | time:   0.009
 inference:    88 | throughput: 209.485 | time:   0.010
 inference:    89 | throughput: 213.695 | time:   0.009
 inference:    90 | throughput: 212.488 | time:   0.009
 inference:    91 | throughput: 211.524 | time:   0.009
 inference:    92 | throughput: 212.434 | time:   0.009
 inference:    93 | throughput: 211.518 | time:   0.009
 inference:    94 | throughput: 212.209 | time:   0.009
 inference:    95 | throughput: 211.887 | time:   0.009
 inference:    96 | throughput: 212.795 | time:   0.009
 inference:    97 | throughput: 211.135 | time:   0.009
 inference:    98 | throughput: 213.815 | time:   0.009
 inference:    99 | throughput: 211.518 | time:   0.009
 inference:   100 | throughput: 211.604 | time:   0.009

Total inference throughput: 150.80145, Total inference latency: 0.01326
