Data loading...
vgg16-32 Model building...
Start inference...

 inference:     1 | throughput:  81.829 | time:   0.391
 inference:     2 | throughput: 1165.823 | time:   0.027
 inference:     3 | throughput: 785.864 | time:   0.041
 inference:     4 | throughput: 777.146 | time:   0.041
 inference:     5 | throughput: 795.704 | time:   0.040
 inference:     6 | throughput: 786.988 | time:   0.041
 inference:     7 | throughput: 786.504 | time:   0.041
 inference:     8 | throughput: 788.801 | time:   0.041
 inference:     9 | throughput: 786.071 | time:   0.041
 inference:    10 | throughput: 789.693 | time:   0.041
 inference:    11 | throughput: 786.361 | time:   0.041
 inference:    12 | throughput: 793.530 | time:   0.040
 inference:    13 | throughput: 792.949 | time:   0.040
 inference:    14 | throughput: 794.023 | time:   0.040
 inference:    15 | throughput: 794.113 | time:   0.040
 inference:    16 | throughput: 793.713 | time:   0.040
 inference:    17 | throughput: 792.715 | time:   0.040
 inference:    18 | throughput: 793.441 | time:   0.040
 inference:    19 | throughput: 792.663 | time:   0.040
 inference:    20 | throughput: 787.621 | time:   0.041
 inference:    21 | throughput: 787.399 | time:   0.041
 inference:    22 | throughput: 793.943 | time:   0.040
 inference:    23 | throughput: 788.741 | time:   0.041
 inference:    24 | throughput: 789.795 | time:   0.041
 inference:    25 | throughput: 788.523 | time:   0.041
 inference:    26 | throughput: 791.794 | time:   0.040
 inference:    27 | throughput: 792.383 | time:   0.040
 inference:    28 | throughput: 789.326 | time:   0.041
 inference:    29 | throughput: 788.528 | time:   0.041
 inference:    30 | throughput: 795.855 | time:   0.040
 inference:    31 | throughput: 794.493 | time:   0.040
 inference:    32 | throughput: 793.277 | time:   0.040
 inference:    33 | throughput: 791.359 | time:   0.040
 inference:    34 | throughput: 791.668 | time:   0.040
 inference:    35 | throughput: 792.425 | time:   0.040
 inference:    36 | throughput: 794.009 | time:   0.040
 inference:    37 | throughput: 794.649 | time:   0.040
 inference:    38 | throughput: 782.570 | time:   0.041
 inference:    39 | throughput: 791.565 | time:   0.040
 inference:    40 | throughput: 792.673 | time:   0.040
 inference:    41 | throughput: 786.758 | time:   0.041
 inference:    42 | throughput: 790.134 | time:   0.040
 inference:    43 | throughput: 787.630 | time:   0.041
 inference:    44 | throughput: 792.387 | time:   0.040
 inference:    45 | throughput: 791.140 | time:   0.040
 inference:    46 | throughput: 789.535 | time:   0.041
 inference:    47 | throughput: 790.018 | time:   0.041
 inference:    48 | throughput: 793.413 | time:   0.040
 inference:    49 | throughput: 794.931 | time:   0.040
 inference:    50 | throughput: 795.204 | time:   0.040
 inference:    51 | throughput: 793.629 | time:   0.040
 inference:    52 | throughput: 794.315 | time:   0.040
 inference:    53 | throughput: 793.732 | time:   0.040
 inference:    54 | throughput: 792.827 | time:   0.040
 inference:    55 | throughput: 792.069 | time:   0.040
 inference:    56 | throughput: 787.801 | time:   0.041
 inference:    57 | throughput: 790.223 | time:   0.040
 inference:    58 | throughput: 793.526 | time:   0.040
 inference:    59 | throughput: 787.422 | time:   0.041
 inference:    60 | throughput: 787.788 | time:   0.041
 inference:    61 | throughput: 789.456 | time:   0.041
 inference:    62 | throughput: 787.769 | time:   0.041
 inference:    63 | throughput: 793.015 | time:   0.040
 inference:    64 | throughput: 788.760 | time:   0.041
 inference:    65 | throughput: 789.298 | time:   0.041
 inference:    66 | throughput: 793.526 | time:   0.040
 inference:    67 | throughput: 793.953 | time:   0.040
 inference:    68 | throughput: 793.122 | time:   0.040
 inference:    69 | throughput: 792.752 | time:   0.040
 inference:    70 | throughput: 793.568 | time:   0.040
 inference:    71 | throughput: 792.172 | time:   0.040
 inference:    72 | throughput: 793.591 | time:   0.040
 inference:    73 | throughput: 794.442 | time:   0.040
 inference:    74 | throughput: 788.042 | time:   0.041
 inference:    75 | throughput: 791.098 | time:   0.040
 inference:    76 | throughput: 794.950 | time:   0.040
 inference:    77 | throughput: 787.339 | time:   0.041
 inference:    78 | throughput: 787.312 | time:   0.041
 inference:    79 | throughput: 788.908 | time:   0.041
 inference:    80 | throughput: 790.702 | time:   0.040
 inference:    81 | throughput: 792.083 | time:   0.040
 inference:    82 | throughput: 790.130 | time:   0.040
 inference:    83 | throughput: 791.443 | time:   0.040
 inference:    84 | throughput: 793.160 | time:   0.040
 inference:    85 | throughput: 793.230 | time:   0.040
 inference:    86 | throughput: 794.348 | time:   0.040
 inference:    87 | throughput: 793.122 | time:   0.040
 inference:    88 | throughput: 794.310 | time:   0.040
 inference:    89 | throughput: 795.539 | time:   0.040
 inference:    90 | throughput: 793.554 | time:   0.040
 inference:    91 | throughput: 794.197 | time:   0.040
 inference:    92 | throughput: 786.961 | time:   0.041
 inference:    93 | throughput: 793.263 | time:   0.040
 inference:    94 | throughput: 794.164 | time:   0.040
 inference:    95 | throughput: 790.069 | time:   0.041
 inference:    96 | throughput: 788.408 | time:   0.041
 inference:    97 | throughput: 789.590 | time:   0.041
 inference:    98 | throughput: 790.507 | time:   0.040
 inference:    99 | throughput: 791.070 | time:   0.040
 inference:   100 | throughput: 789.409 | time:   0.041

Total inference throughput: 730.16422, Total inference latency: 0.04383
