Data loading...
vgg19-64 Model building...
Start inference...

 inference:     1 | throughput: 5465.448 | time:   0.012
 inference:     2 | throughput: 806.551 | time:   0.079
 inference:     3 | throughput: 853.336 | time:   0.075
 inference:     4 | throughput: 135.596 | time:   0.472
 inference:     5 | throughput: 916.231 | time:   0.070
 inference:     6 | throughput: 805.556 | time:   0.079
 inference:     7 | throughput: 807.038 | time:   0.079
 inference:     8 | throughput: 807.767 | time:   0.079
 inference:     9 | throughput: 806.217 | time:   0.079
 inference:    10 | throughput: 807.046 | time:   0.079
 inference:    11 | throughput: 807.648 | time:   0.079
 inference:    12 | throughput: 806.679 | time:   0.079
 inference:    13 | throughput: 807.072 | time:   0.079
 inference:    14 | throughput: 807.031 | time:   0.079
 inference:    15 | throughput: 807.981 | time:   0.079
 inference:    16 | throughput: 807.393 | time:   0.079
 inference:    17 | throughput: 807.616 | time:   0.079
 inference:    18 | throughput: 806.854 | time:   0.079
 inference:    19 | throughput: 806.752 | time:   0.079
 inference:    20 | throughput: 809.284 | time:   0.079
 inference:    21 | throughput: 808.896 | time:   0.079
 inference:    22 | throughput: 808.051 | time:   0.079
 inference:    23 | throughput: 805.955 | time:   0.079
 inference:    24 | throughput: 808.601 | time:   0.079
 inference:    25 | throughput: 805.554 | time:   0.079
 inference:    26 | throughput: 809.506 | time:   0.079
 inference:    27 | throughput: 807.223 | time:   0.079
 inference:    28 | throughput: 808.265 | time:   0.079
 inference:    29 | throughput: 806.934 | time:   0.079
 inference:    30 | throughput: 807.964 | time:   0.079
 inference:    31 | throughput: 810.107 | time:   0.079
 inference:    32 | throughput: 809.140 | time:   0.079
 inference:    33 | throughput: 807.643 | time:   0.079
 inference:    34 | throughput: 805.677 | time:   0.079
 inference:    35 | throughput: 807.762 | time:   0.079
 inference:    36 | throughput: 808.353 | time:   0.079
 inference:    37 | throughput: 808.173 | time:   0.079
 inference:    38 | throughput: 808.487 | time:   0.079
 inference:    39 | throughput: 807.436 | time:   0.079
 inference:    40 | throughput: 806.154 | time:   0.079
 inference:    41 | throughput: 810.738 | time:   0.079
 inference:    42 | throughput: 807.908 | time:   0.079
 inference:    43 | throughput: 808.263 | time:   0.079
 inference:    44 | throughput: 807.123 | time:   0.079
 inference:    45 | throughput: 809.038 | time:   0.079
 inference:    46 | throughput: 808.171 | time:   0.079
 inference:    47 | throughput: 808.935 | time:   0.079
 inference:    48 | throughput: 808.660 | time:   0.079
 inference:    49 | throughput: 808.326 | time:   0.079
 inference:    50 | throughput: 808.090 | time:   0.079
 inference:    51 | throughput: 807.043 | time:   0.079
 inference:    52 | throughput: 811.189 | time:   0.079
 inference:    53 | throughput: 804.205 | time:   0.080
 inference:    54 | throughput: 809.545 | time:   0.079
 inference:    55 | throughput: 806.924 | time:   0.079
 inference:    56 | throughput: 808.502 | time:   0.079
 inference:    57 | throughput: 809.325 | time:   0.079
 inference:    58 | throughput: 808.762 | time:   0.079
 inference:    59 | throughput: 808.789 | time:   0.079
 inference:    60 | throughput: 807.847 | time:   0.079
 inference:    61 | throughput: 807.602 | time:   0.079
 inference:    62 | throughput: 807.063 | time:   0.079
 inference:    63 | throughput: 808.696 | time:   0.079
 inference:    64 | throughput: 808.926 | time:   0.079
 inference:    65 | throughput: 806.924 | time:   0.079
 inference:    66 | throughput: 808.419 | time:   0.079
 inference:    67 | throughput: 808.843 | time:   0.079
 inference:    68 | throughput: 809.682 | time:   0.079
 inference:    69 | throughput: 808.572 | time:   0.079
 inference:    70 | throughput: 806.674 | time:   0.079
 inference:    71 | throughput: 808.986 | time:   0.079
 inference:    72 | throughput: 808.346 | time:   0.079
 inference:    73 | throughput: 809.506 | time:   0.079
 inference:    74 | throughput: 808.416 | time:   0.079
 inference:    75 | throughput: 807.905 | time:   0.079
 inference:    76 | throughput: 809.386 | time:   0.079
 inference:    77 | throughput: 810.097 | time:   0.079
 inference:    78 | throughput: 808.774 | time:   0.079
 inference:    79 | throughput: 806.936 | time:   0.079
 inference:    80 | throughput: 808.852 | time:   0.079
 inference:    81 | throughput: 805.989 | time:   0.079
 inference:    82 | throughput: 810.048 | time:   0.079
 inference:    83 | throughput: 808.280 | time:   0.079
 inference:    84 | throughput: 808.226 | time:   0.079
 inference:    85 | throughput: 807.643 | time:   0.079
 inference:    86 | throughput: 807.944 | time:   0.079
 inference:    87 | throughput: 809.709 | time:   0.079
 inference:    88 | throughput: 809.203 | time:   0.079
 inference:    89 | throughput: 808.207 | time:   0.079
 inference:    90 | throughput: 805.508 | time:   0.079
 inference:    91 | throughput: 809.077 | time:   0.079
 inference:    92 | throughput: 808.882 | time:   0.079
 inference:    93 | throughput: 808.679 | time:   0.079
 inference:    94 | throughput: 808.562 | time:   0.079
 inference:    95 | throughput: 807.332 | time:   0.079
 inference:    96 | throughput: 809.367 | time:   0.079
 inference:    97 | throughput: 809.679 | time:   0.079
 inference:    98 | throughput: 808.012 | time:   0.079
 inference:    99 | throughput: 806.684 | time:   0.079
 inference:   100 | throughput: 807.259 | time:   0.079

Total inference throughput: 777.42827, Total inference latency: 0.08232
