Data loading...
vgg19-1 Model building...
Start inference...

 inference:     1 | throughput: 324.888 | time:   0.003
 inference:     2 | throughput: 154.219 | time:   0.006
 inference:     3 | throughput: 134.291 | time:   0.007
 inference:     4 | throughput: 133.896 | time:   0.007
 inference:     5 | throughput: 134.718 | time:   0.007
 inference:     6 | throughput: 133.841 | time:   0.007
 inference:     7 | throughput: 135.043 | time:   0.007
 inference:     8 | throughput: 130.189 | time:   0.008
 inference:     9 | throughput: 134.282 | time:   0.007
 inference:    10 | throughput: 132.685 | time:   0.008
 inference:    11 | throughput: 136.148 | time:   0.007
 inference:    12 | throughput: 132.538 | time:   0.008
 inference:    13 | throughput: 135.698 | time:   0.007
 inference:    14 | throughput: 135.563 | time:   0.007
 inference:    15 | throughput: 133.892 | time:   0.007
 inference:    16 | throughput: 133.144 | time:   0.008
 inference:    17 | throughput: 133.602 | time:   0.007
 inference:    18 | throughput: 133.127 | time:   0.008
 inference:    19 | throughput: 133.470 | time:   0.007
 inference:    20 | throughput: 134.575 | time:   0.007
 inference:    21 | throughput: 136.356 | time:   0.007
 inference:    22 | throughput: 131.876 | time:   0.008
 inference:    23 | throughput: 132.807 | time:   0.008
 inference:    24 | throughput: 135.712 | time:   0.007
 inference:    25 | throughput: 134.338 | time:   0.007
 inference:    26 | throughput: 134.506 | time:   0.007
 inference:    27 | throughput: 132.216 | time:   0.008
 inference:    28 | throughput: 135.187 | time:   0.007
 inference:    29 | throughput: 134.969 | time:   0.007
 inference:    30 | throughput: 135.725 | time:   0.007
 inference:    31 | throughput: 134.299 | time:   0.007
 inference:    32 | throughput: 132.246 | time:   0.008
 inference:    33 | throughput: 135.082 | time:   0.007
 inference:    34 | throughput: 133.373 | time:   0.007
 inference:    35 | throughput: 136.108 | time:   0.007
 inference:    36 | throughput: 135.813 | time:   0.007
 inference:    37 | throughput: 133.747 | time:   0.007
 inference:    38 | throughput: 133.551 | time:   0.007
 inference:    39 | throughput: 133.047 | time:   0.008
 inference:    40 | throughput: 133.483 | time:   0.007
 inference:    41 | throughput: 134.433 | time:   0.007
 inference:    42 | throughput: 134.179 | time:   0.007
 inference:    43 | throughput: 133.773 | time:   0.007
 inference:    44 | throughput: 133.385 | time:   0.007
 inference:    45 | throughput: 133.279 | time:   0.008
 inference:    46 | throughput: 135.641 | time:   0.007
 inference:    47 | throughput: 134.584 | time:   0.007
 inference:    48 | throughput: 129.215 | time:   0.008
 inference:    49 | throughput: 133.738 | time:   0.007
 inference:    50 | throughput: 136.280 | time:   0.007
 inference:    51 | throughput: 133.207 | time:   0.008
 inference:    52 | throughput: 136.320 | time:   0.007
 inference:    53 | throughput: 134.783 | time:   0.007
 inference:    54 | throughput: 129.818 | time:   0.008
 inference:    55 | throughput: 133.572 | time:   0.007
 inference:    56 | throughput: 133.186 | time:   0.008
 inference:    57 | throughput: 133.747 | time:   0.007
 inference:    58 | throughput: 134.132 | time:   0.007
 inference:    59 | throughput: 135.287 | time:   0.007
 inference:    60 | throughput: 134.068 | time:   0.007
 inference:    61 | throughput: 133.191 | time:   0.008
 inference:    62 | throughput: 133.419 | time:   0.007
 inference:    63 | throughput: 136.015 | time:   0.007
 inference:    64 | throughput: 133.284 | time:   0.008
 inference:    65 | throughput: 132.609 | time:   0.008
 inference:    66 | throughput: 133.496 | time:   0.007
 inference:    67 | throughput: 136.952 | time:   0.007
 inference:    68 | throughput: 133.043 | time:   0.008
 inference:    69 | throughput: 134.757 | time:   0.007
 inference:    70 | throughput: 135.143 | time:   0.007
 inference:    71 | throughput: 133.114 | time:   0.008
 inference:    72 | throughput: 135.427 | time:   0.007
 inference:    73 | throughput: 133.263 | time:   0.008
 inference:    74 | throughput: 136.130 | time:   0.007
 inference:    75 | throughput: 134.601 | time:   0.007
 inference:    76 | throughput: 134.952 | time:   0.007
 inference:    77 | throughput: 133.250 | time:   0.008
 inference:    78 | throughput: 134.627 | time:   0.007
 inference:    79 | throughput: 133.110 | time:   0.008
 inference:    80 | throughput: 134.935 | time:   0.007
 inference:    81 | throughput: 134.506 | time:   0.007
 inference:    82 | throughput: 134.256 | time:   0.007
 inference:    83 | throughput: 133.047 | time:   0.008
 inference:    84 | throughput: 134.497 | time:   0.007
 inference:    85 | throughput: 129.410 | time:   0.008
 inference:    86 | throughput: 134.636 | time:   0.007
 inference:    87 | throughput: 134.192 | time:   0.007
 inference:    88 | throughput: 133.807 | time:   0.007
 inference:    89 | throughput: 133.636 | time:   0.007
 inference:    90 | throughput: 133.636 | time:   0.007
 inference:    91 | throughput: 135.844 | time:   0.007
 inference:    92 | throughput: 134.209 | time:   0.007
 inference:    93 | throughput: 132.672 | time:   0.008
 inference:    94 | throughput: 133.381 | time:   0.007
 inference:    95 | throughput: 134.930 | time:   0.007
 inference:    96 | throughput: 133.824 | time:   0.007
 inference:    97 | throughput: 134.939 | time:   0.007
 inference:    98 | throughput: 135.039 | time:   0.007
 inference:    99 | throughput: 133.377 | time:   0.007
 inference:   100 | throughput: 133.973 | time:   0.007

Total inference throughput: 134.98474, Total inference latency: 0.00741
