Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  35.053 | time:   0.456
 inference:     2 | throughput: 312.760 | time:   0.051
 inference:     3 | throughput: 240.029 | time:   0.067
 inference:     4 | throughput: 237.448 | time:   0.067
 inference:     5 | throughput: 240.608 | time:   0.066
 inference:     6 | throughput: 238.922 | time:   0.067
 inference:     7 | throughput: 240.826 | time:   0.066
 inference:     8 | throughput: 241.537 | time:   0.066
 inference:     9 | throughput: 235.039 | time:   0.068
 inference:    10 | throughput: 239.911 | time:   0.067
 inference:    11 | throughput: 239.686 | time:   0.067
 inference:    12 | throughput: 242.466 | time:   0.066
 inference:    13 | throughput: 237.618 | time:   0.067
 inference:    14 | throughput: 238.484 | time:   0.067
 inference:    15 | throughput: 239.491 | time:   0.067
 inference:    16 | throughput: 239.958 | time:   0.067
 inference:    17 | throughput: 242.094 | time:   0.066
 inference:    18 | throughput: 234.698 | time:   0.068
 inference:    19 | throughput: 240.659 | time:   0.066
 inference:    20 | throughput: 240.139 | time:   0.067
 inference:    21 | throughput: 241.736 | time:   0.066
 inference:    22 | throughput: 241.697 | time:   0.066
 inference:    23 | throughput: 235.865 | time:   0.068
 inference:    24 | throughput: 239.896 | time:   0.067
 inference:    25 | throughput: 240.429 | time:   0.067
 inference:    26 | throughput: 241.658 | time:   0.066
 inference:    27 | throughput: 238.028 | time:   0.067
 inference:    28 | throughput: 238.496 | time:   0.067
 inference:    29 | throughput: 240.829 | time:   0.066
 inference:    30 | throughput: 240.014 | time:   0.067
 inference:    31 | throughput: 243.823 | time:   0.066
 inference:    32 | throughput: 227.499 | time:   0.070
 inference:    33 | throughput: 246.944 | time:   0.065
 inference:    34 | throughput: 239.609 | time:   0.067
 inference:    35 | throughput: 242.136 | time:   0.066
 inference:    36 | throughput: 240.830 | time:   0.066
 inference:    37 | throughput: 234.906 | time:   0.068
 inference:    38 | throughput: 239.304 | time:   0.067
 inference:    39 | throughput: 240.615 | time:   0.066
 inference:    40 | throughput: 241.496 | time:   0.066
 inference:    41 | throughput: 238.256 | time:   0.067
 inference:    42 | throughput: 237.893 | time:   0.067
 inference:    43 | throughput: 240.963 | time:   0.066
 inference:    44 | throughput: 239.119 | time:   0.067
 inference:    45 | throughput: 241.961 | time:   0.066
 inference:    46 | throughput: 235.065 | time:   0.068
 inference:    47 | throughput: 240.360 | time:   0.067
 inference:    48 | throughput: 239.186 | time:   0.067
 inference:    49 | throughput: 241.938 | time:   0.066
 inference:    50 | throughput: 241.253 | time:   0.066
 inference:    51 | throughput: 235.559 | time:   0.068
 inference:    52 | throughput: 239.392 | time:   0.067
 inference:    53 | throughput: 240.583 | time:   0.067
 inference:    54 | throughput: 241.537 | time:   0.066
 inference:    55 | throughput: 238.297 | time:   0.067
 inference:    56 | throughput: 238.966 | time:   0.067
 inference:    57 | throughput: 240.578 | time:   0.067
 inference:    58 | throughput: 239.772 | time:   0.067
 inference:    59 | throughput: 243.588 | time:   0.066
 inference:    60 | throughput: 233.753 | time:   0.068
 inference:    61 | throughput: 240.987 | time:   0.066
 inference:    62 | throughput: 239.228 | time:   0.067
 inference:    63 | throughput: 241.882 | time:   0.066
 inference:    64 | throughput: 241.530 | time:   0.066
 inference:    65 | throughput: 235.103 | time:   0.068
 inference:    66 | throughput: 239.667 | time:   0.067
 inference:    67 | throughput: 240.431 | time:   0.067
 inference:    68 | throughput: 241.951 | time:   0.066
 inference:    69 | throughput: 238.354 | time:   0.067
 inference:    70 | throughput: 238.395 | time:   0.067
 inference:    71 | throughput: 239.886 | time:   0.067
 inference:    72 | throughput: 241.154 | time:   0.066
 inference:    73 | throughput: 242.247 | time:   0.066
 inference:    74 | throughput: 235.116 | time:   0.068
 inference:    75 | throughput: 240.080 | time:   0.067
 inference:    76 | throughput: 240.219 | time:   0.067
 inference:    77 | throughput: 240.767 | time:   0.066
 inference:    78 | throughput: 241.586 | time:   0.066
 inference:    79 | throughput: 235.515 | time:   0.068
 inference:    80 | throughput: 239.592 | time:   0.067
 inference:    81 | throughput: 240.826 | time:   0.066
 inference:    82 | throughput: 242.493 | time:   0.066
 inference:    83 | throughput: 237.532 | time:   0.067
 inference:    84 | throughput: 238.461 | time:   0.067
 inference:    85 | throughput: 240.263 | time:   0.067
 inference:    86 | throughput: 241.218 | time:   0.066
 inference:    87 | throughput: 242.707 | time:   0.066
 inference:    88 | throughput: 234.843 | time:   0.068
 inference:    89 | throughput: 241.595 | time:   0.066
 inference:    90 | throughput: 240.914 | time:   0.066
 inference:    91 | throughput: 241.482 | time:   0.066
 inference:    92 | throughput: 241.421 | time:   0.066
 inference:    93 | throughput: 235.189 | time:   0.068
 inference:    94 | throughput: 238.651 | time:   0.067
 inference:    95 | throughput: 241.030 | time:   0.066
 inference:    96 | throughput: 241.411 | time:   0.066
 inference:    97 | throughput: 237.259 | time:   0.067
 inference:    98 | throughput: 238.217 | time:   0.067
 inference:    99 | throughput: 240.728 | time:   0.066
 inference:   100 | throughput: 239.787 | time:   0.067

Total inference throughput: 226.88662, Total inference latency: 0.07052
