Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  95.574 | time:   0.167
 inference:     2 | throughput: 309.347 | time:   0.052
 inference:     3 | throughput: 247.108 | time:   0.065
 inference:     4 | throughput: 248.391 | time:   0.064
 inference:     5 | throughput: 247.468 | time:   0.065
 inference:     6 | throughput: 248.617 | time:   0.064
 inference:     7 | throughput: 247.025 | time:   0.065
 inference:     8 | throughput: 249.870 | time:   0.064
 inference:     9 | throughput: 246.113 | time:   0.065
 inference:    10 | throughput: 249.488 | time:   0.064
 inference:    11 | throughput: 249.514 | time:   0.064
 inference:    12 | throughput: 243.688 | time:   0.066
 inference:    13 | throughput: 246.670 | time:   0.065
 inference:    14 | throughput: 248.778 | time:   0.064
 inference:    15 | throughput: 246.373 | time:   0.065
 inference:    16 | throughput: 249.533 | time:   0.064
 inference:    17 | throughput: 246.587 | time:   0.065
 inference:    18 | throughput: 246.487 | time:   0.065
 inference:    19 | throughput: 253.032 | time:   0.063
 inference:    20 | throughput: 245.464 | time:   0.065
 inference:    21 | throughput: 248.016 | time:   0.065
 inference:    22 | throughput: 248.121 | time:   0.064
 inference:    23 | throughput: 246.768 | time:   0.065
 inference:    24 | throughput: 248.194 | time:   0.064
 inference:    25 | throughput: 247.205 | time:   0.065
 inference:    26 | throughput: 249.815 | time:   0.064
 inference:    27 | throughput: 251.716 | time:   0.064
 inference:    28 | throughput: 244.618 | time:   0.065
 inference:    29 | throughput: 248.265 | time:   0.064
 inference:    30 | throughput: 248.163 | time:   0.064
 inference:    31 | throughput: 244.760 | time:   0.065
 inference:    32 | throughput: 249.086 | time:   0.064
 inference:    33 | throughput: 249.255 | time:   0.064
 inference:    34 | throughput: 249.642 | time:   0.064
 inference:    35 | throughput: 251.750 | time:   0.064
 inference:    36 | throughput: 246.017 | time:   0.065
 inference:    37 | throughput: 247.088 | time:   0.065
 inference:    38 | throughput: 248.688 | time:   0.064
 inference:    39 | throughput: 245.446 | time:   0.065
 inference:    40 | throughput: 248.642 | time:   0.064
 inference:    41 | throughput: 248.467 | time:   0.064
 inference:    42 | throughput: 248.547 | time:   0.064
 inference:    43 | throughput: 250.390 | time:   0.064
 inference:    44 | throughput: 244.692 | time:   0.065
 inference:    45 | throughput: 247.855 | time:   0.065
 inference:    46 | throughput: 250.570 | time:   0.064
 inference:    47 | throughput: 246.239 | time:   0.065
 inference:    48 | throughput: 246.830 | time:   0.065
 inference:    49 | throughput: 248.161 | time:   0.064
 inference:    50 | throughput: 248.196 | time:   0.064
 inference:    51 | throughput: 250.474 | time:   0.064
 inference:    52 | throughput: 246.580 | time:   0.065
 inference:    53 | throughput: 246.775 | time:   0.065
 inference:    54 | throughput: 249.705 | time:   0.064
 inference:    55 | throughput: 246.101 | time:   0.065
 inference:    56 | throughput: 247.514 | time:   0.065
 inference:    57 | throughput: 246.756 | time:   0.065
 inference:    58 | throughput: 248.963 | time:   0.064
 inference:    59 | throughput: 250.589 | time:   0.064
 inference:    60 | throughput: 246.214 | time:   0.065
 inference:    61 | throughput: 246.894 | time:   0.065
 inference:    62 | throughput: 249.792 | time:   0.064
 inference:    63 | throughput: 244.844 | time:   0.065
 inference:    64 | throughput: 248.256 | time:   0.064
 inference:    65 | throughput: 245.047 | time:   0.065
 inference:    66 | throughput: 248.126 | time:   0.064
 inference:    67 | throughput: 250.814 | time:   0.064
 inference:    68 | throughput: 245.560 | time:   0.065
 inference:    69 | throughput: 247.525 | time:   0.065
 inference:    70 | throughput: 248.917 | time:   0.064
 inference:    71 | throughput: 246.894 | time:   0.065
 inference:    72 | throughput: 248.032 | time:   0.065
 inference:    73 | throughput: 246.792 | time:   0.065
 inference:    74 | throughput: 246.797 | time:   0.065
 inference:    75 | throughput: 248.697 | time:   0.064
 inference:    76 | throughput: 247.134 | time:   0.065
 inference:    77 | throughput: 248.419 | time:   0.064
 inference:    78 | throughput: 249.188 | time:   0.064
 inference:    79 | throughput: 243.369 | time:   0.066
 inference:    80 | throughput: 248.013 | time:   0.065
 inference:    81 | throughput: 248.685 | time:   0.064
 inference:    82 | throughput: 248.345 | time:   0.064
 inference:    83 | throughput: 249.932 | time:   0.064
 inference:    84 | throughput: 246.635 | time:   0.065
 inference:    85 | throughput: 249.698 | time:   0.064
 inference:    86 | throughput: 249.367 | time:   0.064
 inference:    87 | throughput: 243.145 | time:   0.066
 inference:    88 | throughput: 247.720 | time:   0.065
 inference:    89 | throughput: 247.620 | time:   0.065
 inference:    90 | throughput: 248.558 | time:   0.064
 inference:    91 | throughput: 248.718 | time:   0.064
 inference:    92 | throughput: 247.832 | time:   0.065
 inference:    93 | throughput: 247.908 | time:   0.065
 inference:    94 | throughput: 250.589 | time:   0.064
 inference:    95 | throughput: 244.225 | time:   0.066
 inference:    96 | throughput: 246.603 | time:   0.065
 inference:    97 | throughput: 248.498 | time:   0.064
 inference:    98 | throughput: 245.821 | time:   0.065
 inference:    99 | throughput: 249.922 | time:   0.064
 inference:   100 | throughput: 247.445 | time:   0.065

Total inference throughput: 244.41011, Total inference latency: 0.06546
