Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  36.762 | time:   0.435
 inference:     2 | throughput: 1189.199 | time:   0.013
 inference:     3 | throughput: 875.820 | time:   0.018
 inference:     4 | throughput: 760.328 | time:   0.021
 inference:     5 | throughput: 750.650 | time:   0.021
 inference:     6 | throughput: 749.862 | time:   0.021
 inference:     7 | throughput: 745.845 | time:   0.021
 inference:     8 | throughput: 745.613 | time:   0.021
 inference:     9 | throughput: 748.899 | time:   0.021
 inference:    10 | throughput: 748.031 | time:   0.021
 inference:    11 | throughput: 748.632 | time:   0.021
 inference:    12 | throughput: 750.868 | time:   0.021
 inference:    13 | throughput: 750.566 | time:   0.021
 inference:    14 | throughput: 753.719 | time:   0.021
 inference:    15 | throughput: 752.755 | time:   0.021
 inference:    16 | throughput: 741.830 | time:   0.022
 inference:    17 | throughput: 751.482 | time:   0.021
 inference:    18 | throughput: 752.004 | time:   0.021
 inference:    19 | throughput: 751.693 | time:   0.021
 inference:    20 | throughput: 755.212 | time:   0.021
 inference:    21 | throughput: 754.804 | time:   0.021
 inference:    22 | throughput: 748.148 | time:   0.021
 inference:    23 | throughput: 751.491 | time:   0.021
 inference:    24 | throughput: 752.485 | time:   0.021
 inference:    25 | throughput: 751.928 | time:   0.021
 inference:    26 | throughput: 749.050 | time:   0.021
 inference:    27 | throughput: 752.375 | time:   0.021
 inference:    28 | throughput: 752.223 | time:   0.021
 inference:    29 | throughput: 752.308 | time:   0.021
 inference:    30 | throughput: 754.965 | time:   0.021
 inference:    31 | throughput: 749.786 | time:   0.021
 inference:    32 | throughput: 749.501 | time:   0.021
 inference:    33 | throughput: 752.958 | time:   0.021
 inference:    34 | throughput: 749.334 | time:   0.021
 inference:    35 | throughput: 750.944 | time:   0.021
 inference:    36 | throughput: 753.761 | time:   0.021
 inference:    37 | throughput: 742.051 | time:   0.022
 inference:    38 | throughput: 750.314 | time:   0.021
 inference:    39 | throughput: 750.440 | time:   0.021
 inference:    40 | throughput: 747.998 | time:   0.021
 inference:    41 | throughput: 753.820 | time:   0.021
 inference:    42 | throughput: 747.173 | time:   0.021
 inference:    43 | throughput: 743.844 | time:   0.022
 inference:    44 | throughput: 747.748 | time:   0.021
 inference:    45 | throughput: 748.056 | time:   0.021
 inference:    46 | throughput: 750.927 | time:   0.021
 inference:    47 | throughput: 751.676 | time:   0.021
 inference:    48 | throughput: 750.642 | time:   0.021
 inference:    49 | throughput: 746.376 | time:   0.021
 inference:    50 | throughput: 750.658 | time:   0.021
 inference:    51 | throughput: 748.448 | time:   0.021
 inference:    52 | throughput: 747.182 | time:   0.021
 inference:    53 | throughput: 750.818 | time:   0.021
 inference:    54 | throughput: 751.079 | time:   0.021
 inference:    55 | throughput: 750.986 | time:   0.021
 inference:    56 | throughput: 750.969 | time:   0.021
 inference:    57 | throughput: 749.577 | time:   0.021
 inference:    58 | throughput: 748.682 | time:   0.021
 inference:    59 | throughput: 761.104 | time:   0.021
 inference:    60 | throughput: 757.941 | time:   0.021
 inference:    61 | throughput: 749.301 | time:   0.021
 inference:    62 | throughput: 754.253 | time:   0.021
 inference:    63 | throughput: 751.785 | time:   0.021
 inference:    64 | throughput: 749.066 | time:   0.021
 inference:    65 | throughput: 754.337 | time:   0.021
 inference:    66 | throughput: 754.100 | time:   0.021
 inference:    67 | throughput: 747.190 | time:   0.021
 inference:    68 | throughput: 754.668 | time:   0.021
 inference:    69 | throughput: 754.049 | time:   0.021
 inference:    70 | throughput: 750.734 | time:   0.021
 inference:    71 | throughput: 745.132 | time:   0.021
 inference:    72 | throughput: 748.749 | time:   0.021
 inference:    73 | throughput: 740.904 | time:   0.022
 inference:    74 | throughput: 757.214 | time:   0.021
 inference:    75 | throughput: 755.782 | time:   0.021
 inference:    76 | throughput: 744.587 | time:   0.021
 inference:    77 | throughput: 751.011 | time:   0.021
 inference:    78 | throughput: 745.911 | time:   0.021
 inference:    79 | throughput: 746.774 | time:   0.021
 inference:    80 | throughput: 747.040 | time:   0.021
 inference:    81 | throughput: 749.619 | time:   0.021
 inference:    82 | throughput: 750.348 | time:   0.021
 inference:    83 | throughput: 752.890 | time:   0.021
 inference:    84 | throughput: 748.190 | time:   0.021
 inference:    85 | throughput: 751.331 | time:   0.021
 inference:    86 | throughput: 751.457 | time:   0.021
 inference:    87 | throughput: 745.033 | time:   0.021
 inference:    88 | throughput: 749.485 | time:   0.021
 inference:    89 | throughput: 753.372 | time:   0.021
 inference:    90 | throughput: 752.645 | time:   0.021
 inference:    91 | throughput: 749.987 | time:   0.021
 inference:    92 | throughput: 755.152 | time:   0.021
 inference:    93 | throughput: 752.839 | time:   0.021
 inference:    94 | throughput: 753.245 | time:   0.021
 inference:    95 | throughput: 747.906 | time:   0.021
 inference:    96 | throughput: 754.236 | time:   0.021
 inference:    97 | throughput: 749.862 | time:   0.021
 inference:    98 | throughput: 750.978 | time:   0.021
 inference:    99 | throughput: 750.818 | time:   0.021
 inference:   100 | throughput: 751.920 | time:   0.021

Total inference throughput: 631.23243, Total inference latency: 0.02535
