Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  35.592 | time:   0.450
 inference:     2 | throughput: 1712.398 | time:   0.009
 inference:     3 | throughput: 939.453 | time:   0.017
 inference:     4 | throughput: 979.820 | time:   0.016
 inference:     5 | throughput: 893.700 | time:   0.018
 inference:     6 | throughput: 916.225 | time:   0.017
 inference:     7 | throughput: 885.610 | time:   0.018
 inference:     8 | throughput: 907.993 | time:   0.018
 inference:     9 | throughput: 903.726 | time:   0.018
 inference:    10 | throughput: 901.056 | time:   0.018
 inference:    11 | throughput: 911.743 | time:   0.018
 inference:    12 | throughput: 912.946 | time:   0.018
 inference:    13 | throughput: 919.867 | time:   0.017
 inference:    14 | throughput: 902.365 | time:   0.018
 inference:    15 | throughput: 918.243 | time:   0.017
 inference:    16 | throughput: 917.678 | time:   0.017
 inference:    17 | throughput: 915.287 | time:   0.017
 inference:    18 | throughput: 911.657 | time:   0.018
 inference:    19 | throughput: 914.140 | time:   0.018
 inference:    20 | throughput: 921.015 | time:   0.017
 inference:    21 | throughput: 920.927 | time:   0.017
 inference:    22 | throughput: 914.302 | time:   0.017
 inference:    23 | throughput: 927.931 | time:   0.017
 inference:    24 | throughput: 915.050 | time:   0.017
 inference:    25 | throughput: 918.570 | time:   0.017
 inference:    26 | throughput: 919.463 | time:   0.017
 inference:    27 | throughput: 916.375 | time:   0.017
 inference:    28 | throughput: 912.735 | time:   0.018
 inference:    29 | throughput: 922.535 | time:   0.017
 inference:    30 | throughput: 876.530 | time:   0.018
 inference:    31 | throughput: 923.220 | time:   0.017
 inference:    32 | throughput: 900.053 | time:   0.018
 inference:    33 | throughput: 921.306 | time:   0.017
 inference:    34 | throughput: 921.041 | time:   0.017
 inference:    35 | throughput: 909.223 | time:   0.018
 inference:    36 | throughput: 925.308 | time:   0.017
 inference:    37 | throughput: 914.876 | time:   0.017
 inference:    38 | throughput: 920.826 | time:   0.017
 inference:    39 | throughput: 912.090 | time:   0.018
 inference:    40 | throughput: 913.605 | time:   0.018
 inference:    41 | throughput: 923.233 | time:   0.017
 inference:    42 | throughput: 922.560 | time:   0.017
 inference:    43 | throughput: 909.815 | time:   0.018
 inference:    44 | throughput: 923.563 | time:   0.017
 inference:    45 | throughput: 907.662 | time:   0.018
 inference:    46 | throughput: 913.419 | time:   0.018
 inference:    47 | throughput: 921.471 | time:   0.017
 inference:    48 | throughput: 921.610 | time:   0.017
 inference:    49 | throughput: 917.879 | time:   0.017
 inference:    50 | throughput: 923.830 | time:   0.017
 inference:    51 | throughput: 912.648 | time:   0.018
 inference:    52 | throughput: 909.852 | time:   0.018
 inference:    53 | throughput: 891.196 | time:   0.018
 inference:    54 | throughput: 916.850 | time:   0.017
 inference:    55 | throughput: 883.418 | time:   0.018
 inference:    56 | throughput: 915.550 | time:   0.017
 inference:    57 | throughput: 900.500 | time:   0.018
 inference:    58 | throughput: 908.177 | time:   0.018
 inference:    59 | throughput: 923.309 | time:   0.017
 inference:    60 | throughput: 913.108 | time:   0.018
 inference:    61 | throughput: 917.640 | time:   0.017
 inference:    62 | throughput: 919.942 | time:   0.017
 inference:    63 | throughput: 921.585 | time:   0.017
 inference:    64 | throughput: 903.847 | time:   0.018
 inference:    65 | throughput: 915.187 | time:   0.017
 inference:    66 | throughput: 915.874 | time:   0.017
 inference:    67 | throughput: 914.389 | time:   0.017
 inference:    68 | throughput: 915.387 | time:   0.017
 inference:    69 | throughput: 915.437 | time:   0.017
 inference:    70 | throughput: 924.186 | time:   0.017
 inference:    71 | throughput: 920.081 | time:   0.017
 inference:    72 | throughput: 913.356 | time:   0.018
 inference:    73 | throughput: 927.494 | time:   0.017
 inference:    74 | throughput: 914.053 | time:   0.018
 inference:    75 | throughput: 921.192 | time:   0.017
 inference:    76 | throughput: 921.079 | time:   0.017
 inference:    77 | throughput: 918.519 | time:   0.017
 inference:    78 | throughput: 915.387 | time:   0.017
 inference:    79 | throughput: 924.454 | time:   0.017
 inference:    80 | throughput: 876.621 | time:   0.018
 inference:    81 | throughput: 924.517 | time:   0.017
 inference:    82 | throughput: 889.991 | time:   0.018
 inference:    83 | throughput: 918.431 | time:   0.017
 inference:    84 | throughput: 919.023 | time:   0.017
 inference:    85 | throughput: 914.364 | time:   0.017
 inference:    86 | throughput: 922.129 | time:   0.017
 inference:    87 | throughput: 912.214 | time:   0.018
 inference:    88 | throughput: 920.826 | time:   0.017
 inference:    89 | throughput: 919.023 | time:   0.017
 inference:    90 | throughput: 901.843 | time:   0.018
 inference:    91 | throughput: 919.199 | time:   0.017
 inference:    92 | throughput: 920.333 | time:   0.017
 inference:    93 | throughput: 909.396 | time:   0.018
 inference:    94 | throughput: 927.597 | time:   0.017
 inference:    95 | throughput: 917.289 | time:   0.017
 inference:    96 | throughput: 905.286 | time:   0.018
 inference:    97 | throughput: 911.335 | time:   0.018
 inference:    98 | throughput: 910.482 | time:   0.018
 inference:    99 | throughput: 912.313 | time:   0.018
 inference:   100 | throughput: 921.053 | time:   0.017

Total inference throughput: 736.23086, Total inference latency: 0.02173
