Data loading...
vgg19-16 Model building...
Start inference...

 inference:     1 | throughput:  35.040 | time:   0.457
 inference:     2 | throughput: 1750.179 | time:   0.009
 inference:     3 | throughput: 1026.820 | time:   0.016
 inference:     4 | throughput: 941.839 | time:   0.017
 inference:     5 | throughput: 928.611 | time:   0.017
 inference:     6 | throughput: 923.677 | time:   0.017
 inference:     7 | throughput: 918.897 | time:   0.017
 inference:     8 | throughput: 919.942 | time:   0.017
 inference:     9 | throughput: 917.916 | time:   0.017
 inference:    10 | throughput: 915.300 | time:   0.017
 inference:    11 | throughput: 917.954 | time:   0.017
 inference:    12 | throughput: 926.150 | time:   0.017
 inference:    13 | throughput: 920.409 | time:   0.017
 inference:    14 | throughput: 922.243 | time:   0.017
 inference:    15 | throughput: 917.854 | time:   0.017
 inference:    16 | throughput: 926.432 | time:   0.017
 inference:    17 | throughput: 926.035 | time:   0.017
 inference:    18 | throughput: 919.778 | time:   0.017
 inference:    19 | throughput: 921.787 | time:   0.017
 inference:    20 | throughput: 925.091 | time:   0.017
 inference:    21 | throughput: 922.712 | time:   0.017
 inference:    22 | throughput: 922.535 | time:   0.017
 inference:    23 | throughput: 923.106 | time:   0.017
 inference:    24 | throughput: 921.926 | time:   0.017
 inference:    25 | throughput: 925.320 | time:   0.017
 inference:    26 | throughput: 920.561 | time:   0.017
 inference:    27 | throughput: 918.972 | time:   0.017
 inference:    28 | throughput: 933.247 | time:   0.017
 inference:    29 | throughput: 922.547 | time:   0.017
 inference:    30 | throughput: 916.763 | time:   0.017
 inference:    31 | throughput: 931.938 | time:   0.017
 inference:    32 | throughput: 928.907 | time:   0.017
 inference:    33 | throughput: 917.001 | time:   0.017
 inference:    34 | throughput: 924.836 | time:   0.017
 inference:    35 | throughput: 929.318 | time:   0.017
 inference:    36 | throughput: 885.657 | time:   0.018
 inference:    37 | throughput: 925.320 | time:   0.017
 inference:    38 | throughput: 919.237 | time:   0.017
 inference:    39 | throughput: 923.563 | time:   0.017
 inference:    40 | throughput: 926.483 | time:   0.017
 inference:    41 | throughput: 920.952 | time:   0.017
 inference:    42 | throughput: 924.785 | time:   0.017
 inference:    43 | throughput: 929.666 | time:   0.017
 inference:    44 | throughput: 918.934 | time:   0.017
 inference:    45 | throughput: 918.758 | time:   0.017
 inference:    46 | throughput: 921.952 | time:   0.017
 inference:    47 | throughput: 918.419 | time:   0.017
 inference:    48 | throughput: 924.581 | time:   0.017
 inference:    49 | throughput: 924.836 | time:   0.017
 inference:    50 | throughput: 921.812 | time:   0.017
 inference:    51 | throughput: 923.614 | time:   0.017
 inference:    52 | throughput: 921.369 | time:   0.017
 inference:    53 | throughput: 923.207 | time:   0.017
 inference:    54 | throughput: 925.448 | time:   0.017
 inference:    55 | throughput: 922.129 | time:   0.017
 inference:    56 | throughput: 918.658 | time:   0.017
 inference:    57 | throughput: 926.227 | time:   0.017
 inference:    58 | throughput: 929.408 | time:   0.017
 inference:    59 | throughput: 918.658 | time:   0.017
 inference:    60 | throughput: 924.887 | time:   0.017
 inference:    61 | throughput: 926.534 | time:   0.017
 inference:    62 | throughput: 922.700 | time:   0.017
 inference:    63 | throughput: 923.995 | time:   0.017
 inference:    64 | throughput: 923.550 | time:   0.017
 inference:    65 | throughput: 918.834 | time:   0.017
 inference:    66 | throughput: 924.798 | time:   0.017
 inference:    67 | throughput: 914.788 | time:   0.017
 inference:    68 | throughput: 918.180 | time:   0.017
 inference:    69 | throughput: 931.356 | time:   0.017
 inference:    70 | throughput: 921.509 | time:   0.017
 inference:    71 | throughput: 913.580 | time:   0.018
 inference:    72 | throughput: 929.795 | time:   0.017
 inference:    73 | throughput: 922.497 | time:   0.017
 inference:    74 | throughput: 919.237 | time:   0.017
 inference:    75 | throughput: 925.423 | time:   0.017
 inference:    76 | throughput: 926.867 | time:   0.017
 inference:    77 | throughput: 903.762 | time:   0.018
 inference:    78 | throughput: 925.333 | time:   0.017
 inference:    79 | throughput: 918.545 | time:   0.017
 inference:    80 | throughput: 923.322 | time:   0.017
 inference:    81 | throughput: 924.568 | time:   0.017
 inference:    82 | throughput: 924.543 | time:   0.017
 inference:    83 | throughput: 924.670 | time:   0.017
 inference:    84 | throughput: 924.925 | time:   0.017
 inference:    85 | throughput: 920.283 | time:   0.017
 inference:    86 | throughput: 922.497 | time:   0.017
 inference:    87 | throughput: 927.892 | time:   0.017
 inference:    88 | throughput: 925.691 | time:   0.017
 inference:    89 | throughput: 922.649 | time:   0.017
 inference:    90 | throughput: 914.502 | time:   0.017
 inference:    91 | throughput: 919.451 | time:   0.017
 inference:    92 | throughput: 925.512 | time:   0.017
 inference:    93 | throughput: 923.042 | time:   0.017
 inference:    94 | throughput: 921.572 | time:   0.017
 inference:    95 | throughput: 928.418 | time:   0.017
 inference:    96 | throughput: 916.487 | time:   0.017
 inference:    97 | throughput: 915.912 | time:   0.017
 inference:    98 | throughput: 923.550 | time:   0.017
 inference:    99 | throughput: 924.263 | time:   0.017
 inference:   100 | throughput: 920.523 | time:   0.017

Total inference throughput: 739.38309, Total inference latency: 0.02164
