Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   4.341 | time:   0.461
 inference:     2 | throughput: 326.012 | time:   0.006
 inference:     3 | throughput: 184.361 | time:   0.011
 inference:     4 | throughput: 170.955 | time:   0.012
 inference:     5 | throughput: 169.776 | time:   0.012
 inference:     6 | throughput: 166.381 | time:   0.012
 inference:     7 | throughput: 164.757 | time:   0.012
 inference:     8 | throughput: 164.492 | time:   0.012
 inference:     9 | throughput: 166.434 | time:   0.012
 inference:    10 | throughput: 164.679 | time:   0.012
 inference:    11 | throughput: 165.039 | time:   0.012
 inference:    12 | throughput: 166.593 | time:   0.012
 inference:    13 | throughput: 164.531 | time:   0.012
 inference:    14 | throughput: 162.655 | time:   0.012
 inference:    15 | throughput: 167.004 | time:   0.012
 inference:    16 | throughput: 167.060 | time:   0.012
 inference:    17 | throughput: 166.295 | time:   0.012
 inference:    18 | throughput: 166.012 | time:   0.012
 inference:    19 | throughput: 166.652 | time:   0.012
 inference:    20 | throughput: 165.342 | time:   0.012
 inference:    21 | throughput: 163.802 | time:   0.012
 inference:    22 | throughput: 162.895 | time:   0.012
 inference:    23 | throughput: 166.546 | time:   0.012
 inference:    24 | throughput: 164.909 | time:   0.012
 inference:    25 | throughput: 164.909 | time:   0.012
 inference:    26 | throughput: 164.857 | time:   0.012
 inference:    27 | throughput: 164.599 | time:   0.012
 inference:    28 | throughput: 165.007 | time:   0.012
 inference:    29 | throughput: 164.135 | time:   0.012
 inference:    30 | throughput: 165.898 | time:   0.012
 inference:    31 | throughput: 166.104 | time:   0.012
 inference:    32 | throughput: 165.632 | time:   0.012
 inference:    33 | throughput: 167.147 | time:   0.012
 inference:    34 | throughput: 164.573 | time:   0.012
 inference:    35 | throughput: 164.563 | time:   0.012
 inference:    36 | throughput: 164.476 | time:   0.012
 inference:    37 | throughput: 163.715 | time:   0.012
 inference:    38 | throughput: 166.427 | time:   0.012
 inference:    39 | throughput: 166.072 | time:   0.012
 inference:    40 | throughput: 164.518 | time:   0.012
 inference:    41 | throughput: 165.934 | time:   0.012
 inference:    42 | throughput: 164.819 | time:   0.012
 inference:    43 | throughput: 164.948 | time:   0.012
 inference:    44 | throughput: 163.894 | time:   0.012
 inference:    45 | throughput: 167.227 | time:   0.012
 inference:    46 | throughput: 164.512 | time:   0.012
 inference:    47 | throughput: 164.744 | time:   0.012
 inference:    48 | throughput: 166.467 | time:   0.012
 inference:    49 | throughput: 165.943 | time:   0.012
 inference:    50 | throughput: 166.556 | time:   0.012
 inference:    51 | throughput: 165.078 | time:   0.012
 inference:    52 | throughput: 163.307 | time:   0.012
 inference:    53 | throughput: 166.586 | time:   0.012
 inference:    54 | throughput: 165.013 | time:   0.012
 inference:    55 | throughput: 165.072 | time:   0.012
 inference:    56 | throughput: 166.262 | time:   0.012
 inference:    57 | throughput: 164.338 | time:   0.012
 inference:    58 | throughput: 162.775 | time:   0.012
 inference:    59 | throughput: 163.872 | time:   0.012
 inference:    60 | throughput: 166.233 | time:   0.012
 inference:    61 | throughput: 166.894 | time:   0.012
 inference:    62 | throughput: 163.444 | time:   0.012
 inference:    63 | throughput: 167.051 | time:   0.012
 inference:    64 | throughput: 165.156 | time:   0.012
 inference:    65 | throughput: 166.388 | time:   0.012
 inference:    66 | throughput: 162.949 | time:   0.012
 inference:    67 | throughput: 164.815 | time:   0.012
 inference:    68 | throughput: 165.861 | time:   0.012
 inference:    69 | throughput: 166.114 | time:   0.012
 inference:    70 | throughput: 166.098 | time:   0.012
 inference:    71 | throughput: 166.272 | time:   0.012
 inference:    72 | throughput: 165.662 | time:   0.012
 inference:    73 | throughput: 164.634 | time:   0.012
 inference:    74 | throughput: 165.332 | time:   0.012
 inference:    75 | throughput: 164.315 | time:   0.012
 inference:    76 | throughput: 167.327 | time:   0.012
 inference:    77 | throughput: 167.100 | time:   0.012
 inference:    78 | throughput: 164.502 | time:   0.012
 inference:    79 | throughput: 166.352 | time:   0.012
 inference:    80 | throughput: 165.124 | time:   0.012
 inference:    81 | throughput: 164.570 | time:   0.012
 inference:    82 | throughput: 164.864 | time:   0.012
 inference:    83 | throughput: 162.889 | time:   0.012
 inference:    84 | throughput: 167.354 | time:   0.012
 inference:    85 | throughput: 163.808 | time:   0.012
 inference:    86 | throughput: 165.290 | time:   0.012
 inference:    87 | throughput: 164.861 | time:   0.012
 inference:    88 | throughput: 164.961 | time:   0.012
 inference:    89 | throughput: 164.492 | time:   0.012
 inference:    90 | throughput: 165.215 | time:   0.012
 inference:    91 | throughput: 165.829 | time:   0.012
 inference:    92 | throughput: 165.619 | time:   0.012
 inference:    93 | throughput: 164.686 | time:   0.012
 inference:    94 | throughput: 167.074 | time:   0.012
 inference:    95 | throughput: 165.049 | time:   0.012
 inference:    96 | throughput: 164.683 | time:   0.012
 inference:    97 | throughput: 164.276 | time:   0.012
 inference:    98 | throughput: 163.984 | time:   0.012
 inference:    99 | throughput: 166.223 | time:   0.012
 inference:   100 | throughput: 165.169 | time:   0.012

Total inference throughput: 121.14572, Total inference latency: 0.01651
