Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   4.240 | time:   0.472
 inference:     2 | throughput: 411.974 | time:   0.005
 inference:     3 | throughput: 161.496 | time:   0.012
 inference:     4 | throughput: 171.694 | time:   0.012
 inference:     5 | throughput: 152.837 | time:   0.013
 inference:     6 | throughput: 170.089 | time:   0.012
 inference:     7 | throughput: 156.709 | time:   0.013
 inference:     8 | throughput: 159.549 | time:   0.013
 inference:     9 | throughput: 158.332 | time:   0.013
 inference:    10 | throughput: 162.762 | time:   0.012
 inference:    11 | throughput: 169.364 | time:   0.012
 inference:    12 | throughput: 163.984 | time:   0.012
 inference:    13 | throughput: 167.618 | time:   0.012
 inference:    14 | throughput: 165.413 | time:   0.012
 inference:    15 | throughput: 164.615 | time:   0.012
 inference:    16 | throughput: 166.319 | time:   0.012
 inference:    17 | throughput: 165.901 | time:   0.012
 inference:    18 | throughput: 174.291 | time:   0.011
 inference:    19 | throughput: 176.975 | time:   0.011
 inference:    20 | throughput: 172.155 | time:   0.012
 inference:    21 | throughput: 133.781 | time:   0.015
 inference:    22 | throughput: 169.067 | time:   0.012
 inference:    23 | throughput: 169.159 | time:   0.012
 inference:    24 | throughput: 145.066 | time:   0.014
 inference:    25 | throughput: 153.049 | time:   0.013
 inference:    26 | throughput: 166.197 | time:   0.012
 inference:    27 | throughput: 154.115 | time:   0.013
 inference:    28 | throughput: 158.183 | time:   0.013
 inference:    29 | throughput: 171.151 | time:   0.012
 inference:    30 | throughput: 162.743 | time:   0.012
 inference:    31 | throughput: 159.844 | time:   0.013
 inference:    32 | throughput: 164.035 | time:   0.012
 inference:    33 | throughput: 165.176 | time:   0.012
 inference:    34 | throughput: 163.706 | time:   0.012
 inference:    35 | throughput: 164.939 | time:   0.012
 inference:    36 | throughput: 170.941 | time:   0.012
 inference:    37 | throughput: 166.775 | time:   0.012
 inference:    38 | throughput: 171.852 | time:   0.012
 inference:    39 | throughput: 176.699 | time:   0.011
 inference:    40 | throughput: 176.949 | time:   0.011
 inference:    41 | throughput: 145.192 | time:   0.014
 inference:    42 | throughput: 155.777 | time:   0.013
 inference:    43 | throughput: 169.245 | time:   0.012
 inference:    44 | throughput: 143.897 | time:   0.014
 inference:    45 | throughput: 166.656 | time:   0.012
 inference:    46 | throughput: 149.202 | time:   0.013
 inference:    47 | throughput: 165.010 | time:   0.012
 inference:    48 | throughput: 162.002 | time:   0.012
 inference:    49 | throughput: 161.518 | time:   0.012
 inference:    50 | throughput: 158.389 | time:   0.013
 inference:    51 | throughput: 160.268 | time:   0.012
 inference:    52 | throughput: 171.294 | time:   0.012
 inference:    53 | throughput: 163.651 | time:   0.012
 inference:    54 | throughput: 169.910 | time:   0.012
 inference:    55 | throughput: 165.469 | time:   0.012
 inference:    56 | throughput: 165.456 | time:   0.012
 inference:    57 | throughput: 166.358 | time:   0.012
 inference:    58 | throughput: 168.382 | time:   0.012
 inference:    59 | throughput: 176.554 | time:   0.011
 inference:    60 | throughput: 176.102 | time:   0.011
 inference:    61 | throughput: 172.251 | time:   0.012
 inference:    62 | throughput: 132.555 | time:   0.015
 inference:    63 | throughput: 169.320 | time:   0.012
 inference:    64 | throughput: 159.692 | time:   0.013
 inference:    65 | throughput: 153.469 | time:   0.013
 inference:    66 | throughput: 151.203 | time:   0.013
 inference:    67 | throughput: 171.550 | time:   0.012
 inference:    68 | throughput: 154.577 | time:   0.013
 inference:    69 | throughput: 156.890 | time:   0.013
 inference:    70 | throughput: 163.174 | time:   0.012
 inference:    71 | throughput: 169.047 | time:   0.012
 inference:    72 | throughput: 161.034 | time:   0.012
 inference:    73 | throughput: 163.000 | time:   0.012
 inference:    74 | throughput: 166.616 | time:   0.012
 inference:    75 | throughput: 162.930 | time:   0.012
 inference:    76 | throughput: 165.387 | time:   0.012
 inference:    77 | throughput: 170.823 | time:   0.012
 inference:    78 | throughput: 166.801 | time:   0.012
 inference:    79 | throughput: 169.769 | time:   0.012
 inference:    80 | throughput: 176.833 | time:   0.011
 inference:    81 | throughput: 176.509 | time:   0.011
 inference:    82 | throughput: 143.867 | time:   0.014
 inference:    83 | throughput: 158.413 | time:   0.013
 inference:    84 | throughput: 169.207 | time:   0.012
 inference:    85 | throughput: 144.231 | time:   0.014
 inference:    86 | throughput: 166.193 | time:   0.012
 inference:    87 | throughput: 151.805 | time:   0.013
 inference:    88 | throughput: 160.039 | time:   0.012
 inference:    89 | throughput: 167.893 | time:   0.012
 inference:    90 | throughput: 161.708 | time:   0.012
 inference:    91 | throughput: 159.047 | time:   0.013
 inference:    92 | throughput: 160.557 | time:   0.012
 inference:    93 | throughput: 171.381 | time:   0.012
 inference:    94 | throughput: 158.869 | time:   0.013
 inference:    95 | throughput: 173.875 | time:   0.012
 inference:    96 | throughput: 164.893 | time:   0.012
 inference:    97 | throughput: 165.254 | time:   0.012
 inference:    98 | throughput: 163.827 | time:   0.012
 inference:    99 | throughput: 169.865 | time:   0.012
 inference:   100 | throughput: 175.212 | time:   0.011

Total inference throughput: 119.11107, Total inference latency: 0.01679
