Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   4.414 | time:   0.453
 inference:     2 | throughput: 494.962 | time:   0.004
 inference:     3 | throughput: 420.103 | time:   0.005
 inference:     4 | throughput: 347.053 | time:   0.006
 inference:     5 | throughput: 423.924 | time:   0.005
 inference:     6 | throughput: 358.442 | time:   0.006
 inference:     7 | throughput: 377.287 | time:   0.005
 inference:     8 | throughput: 360.335 | time:   0.006
 inference:     9 | throughput: 357.998 | time:   0.006
 inference:    10 | throughput: 354.698 | time:   0.006
 inference:    11 | throughput: 363.678 | time:   0.005
 inference:    12 | throughput: 374.491 | time:   0.005
 inference:    13 | throughput: 353.160 | time:   0.006
 inference:    14 | throughput: 355.826 | time:   0.006
 inference:    15 | throughput: 350.797 | time:   0.006
 inference:    16 | throughput: 355.842 | time:   0.006
 inference:    17 | throughput: 348.915 | time:   0.006
 inference:    18 | throughput: 356.916 | time:   0.006
 inference:    19 | throughput: 358.120 | time:   0.006
 inference:    20 | throughput: 358.932 | time:   0.006
 inference:    21 | throughput: 357.723 | time:   0.006
 inference:    22 | throughput: 357.586 | time:   0.006
 inference:    23 | throughput: 377.474 | time:   0.005
 inference:    24 | throughput: 360.134 | time:   0.006
 inference:    25 | throughput: 354.159 | time:   0.006
 inference:    26 | throughput: 355.887 | time:   0.006
 inference:    27 | throughput: 352.581 | time:   0.006
 inference:    28 | throughput: 353.502 | time:   0.006
 inference:    29 | throughput: 355.872 | time:   0.006
 inference:    30 | throughput: 353.219 | time:   0.006
 inference:    31 | throughput: 361.204 | time:   0.006
 inference:    32 | throughput: 354.548 | time:   0.006
 inference:    33 | throughput: 363.002 | time:   0.006
 inference:    34 | throughput: 374.074 | time:   0.005
 inference:    35 | throughput: 367.229 | time:   0.005
 inference:    36 | throughput: 353.398 | time:   0.006
 inference:    37 | throughput: 349.031 | time:   0.006
 inference:    38 | throughput: 354.353 | time:   0.006
 inference:    39 | throughput: 354.608 | time:   0.006
 inference:    40 | throughput: 351.194 | time:   0.006
 inference:    41 | throughput: 360.506 | time:   0.006
 inference:    42 | throughput: 359.841 | time:   0.006
 inference:    43 | throughput: 358.258 | time:   0.006
 inference:    44 | throughput: 360.521 | time:   0.006
 inference:    45 | throughput: 358.426 | time:   0.006
 inference:    46 | throughput: 375.968 | time:   0.005
 inference:    47 | throughput: 357.023 | time:   0.006
 inference:    48 | throughput: 353.041 | time:   0.006
 inference:    49 | throughput: 351.856 | time:   0.006
 inference:    50 | throughput: 356.734 | time:   0.006
 inference:    51 | throughput: 357.891 | time:   0.006
 inference:    52 | throughput: 352.729 | time:   0.006
 inference:    53 | throughput: 357.388 | time:   0.006
 inference:    54 | throughput: 359.378 | time:   0.006
 inference:    55 | throughput: 354.114 | time:   0.006
 inference:    56 | throughput: 359.748 | time:   0.006
 inference:    57 | throughput: 375.044 | time:   0.005
 inference:    58 | throughput: 358.671 | time:   0.006
 inference:    59 | throughput: 349.569 | time:   0.006
 inference:    60 | throughput: 352.714 | time:   0.006
 inference:    61 | throughput: 352.152 | time:   0.006
 inference:    62 | throughput: 347.902 | time:   0.006
 inference:    63 | throughput: 355.224 | time:   0.006
 inference:    64 | throughput: 356.355 | time:   0.006
 inference:    65 | throughput: 354.129 | time:   0.006
 inference:    66 | throughput: 360.909 | time:   0.006
 inference:    67 | throughput: 357.205 | time:   0.006
 inference:    68 | throughput: 377.576 | time:   0.005
 inference:    69 | throughput: 360.568 | time:   0.006
 inference:    70 | throughput: 353.815 | time:   0.006
 inference:    71 | throughput: 353.502 | time:   0.006
 inference:    72 | throughput: 348.292 | time:   0.006
 inference:    73 | throughput: 358.120 | time:   0.006
 inference:    74 | throughput: 352.374 | time:   0.006
 inference:    75 | throughput: 356.340 | time:   0.006
 inference:    76 | throughput: 358.856 | time:   0.006
 inference:    77 | throughput: 359.810 | time:   0.006
 inference:    78 | throughput: 359.563 | time:   0.006
 inference:    79 | throughput: 369.038 | time:   0.005
 inference:    80 | throughput: 369.917 | time:   0.005
 inference:    81 | throughput: 356.310 | time:   0.006
 inference:    82 | throughput: 351.547 | time:   0.006
 inference:    83 | throughput: 354.698 | time:   0.006
 inference:    84 | throughput: 354.458 | time:   0.006
 inference:    85 | throughput: 353.800 | time:   0.006
 inference:    86 | throughput: 351.473 | time:   0.006
 inference:    87 | throughput: 357.830 | time:   0.006
 inference:    88 | throughput: 361.204 | time:   0.006
 inference:    89 | throughput: 357.937 | time:   0.006
 inference:    90 | throughput: 362.939 | time:   0.006
 inference:    91 | throughput: 377.253 | time:   0.005
 inference:    92 | throughput: 347.010 | time:   0.006
 inference:    93 | throughput: 353.562 | time:   0.006
 inference:    94 | throughput: 352.507 | time:   0.006
 inference:    95 | throughput: 354.294 | time:   0.006
 inference:    96 | throughput: 356.265 | time:   0.006
 inference:    97 | throughput: 349.875 | time:   0.006
 inference:    98 | throughput: 361.687 | time:   0.006
 inference:    99 | throughput: 357.236 | time:   0.006
 inference:   100 | throughput: 362.437 | time:   0.006

Total inference throughput: 199.35218, Total inference latency: 0.01003
