Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   4.482 | time:   0.446
 inference:     2 | throughput: 423.710 | time:   0.005
 inference:     3 | throughput: 474.013 | time:   0.004
 inference:     4 | throughput: 343.247 | time:   0.006
 inference:     5 | throughput: 453.929 | time:   0.004
 inference:     6 | throughput: 367.567 | time:   0.005
 inference:     7 | throughput: 404.037 | time:   0.005
 inference:     8 | throughput: 365.564 | time:   0.005
 inference:     9 | throughput: 369.819 | time:   0.005
 inference:    10 | throughput: 360.103 | time:   0.006
 inference:    11 | throughput: 366.843 | time:   0.005
 inference:    12 | throughput: 371.424 | time:   0.005
 inference:    13 | throughput: 360.304 | time:   0.006
 inference:    14 | throughput: 369.803 | time:   0.005
 inference:    15 | throughput: 365.310 | time:   0.005
 inference:    16 | throughput: 359.594 | time:   0.006
 inference:    17 | throughput: 362.343 | time:   0.006
 inference:    18 | throughput: 363.852 | time:   0.005
 inference:    19 | throughput: 365.230 | time:   0.005
 inference:    20 | throughput: 371.638 | time:   0.005
 inference:    21 | throughput: 370.505 | time:   0.005
 inference:    22 | throughput: 379.198 | time:   0.005
 inference:    23 | throughput: 365.087 | time:   0.005
 inference:    24 | throughput: 349.700 | time:   0.006
 inference:    25 | throughput: 360.289 | time:   0.006
 inference:    26 | throughput: 346.050 | time:   0.006
 inference:    27 | throughput: 362.343 | time:   0.006
 inference:    28 | throughput: 356.659 | time:   0.006
 inference:    29 | throughput: 359.702 | time:   0.006
 inference:    30 | throughput: 365.453 | time:   0.005
 inference:    31 | throughput: 368.503 | time:   0.005
 inference:    32 | throughput: 362.484 | time:   0.006
 inference:    33 | throughput: 373.341 | time:   0.005
 inference:    34 | throughput: 359.071 | time:   0.006
 inference:    35 | throughput: 376.002 | time:   0.005
 inference:    36 | throughput: 361.671 | time:   0.006
 inference:    37 | throughput: 363.143 | time:   0.006
 inference:    38 | throughput: 364.405 | time:   0.005
 inference:    39 | throughput: 367.036 | time:   0.005
 inference:    40 | throughput: 364.500 | time:   0.005
 inference:    41 | throughput: 371.079 | time:   0.005
 inference:    42 | throughput: 361.843 | time:   0.006
 inference:    43 | throughput: 371.885 | time:   0.005
 inference:    44 | throughput: 363.836 | time:   0.005
 inference:    45 | throughput: 360.676 | time:   0.006
 inference:    46 | throughput: 365.373 | time:   0.005
 inference:    47 | throughput: 368.649 | time:   0.005
 inference:    48 | throughput: 371.128 | time:   0.005
 inference:    49 | throughput: 376.306 | time:   0.005
 inference:    50 | throughput: 373.574 | time:   0.005
 inference:    51 | throughput: 356.568 | time:   0.006
 inference:    52 | throughput: 354.114 | time:   0.006
 inference:    53 | throughput: 356.431 | time:   0.006
 inference:    54 | throughput: 357.327 | time:   0.006
 inference:    55 | throughput: 358.334 | time:   0.006
 inference:    56 | throughput: 370.571 | time:   0.005
 inference:    57 | throughput: 355.149 | time:   0.006
 inference:    58 | throughput: 364.026 | time:   0.005
 inference:    59 | throughput: 363.285 | time:   0.006
 inference:    60 | throughput: 370.669 | time:   0.005
 inference:    61 | throughput: 356.129 | time:   0.006
 inference:    62 | throughput: 378.496 | time:   0.005
 inference:    63 | throughput: 352.893 | time:   0.006
 inference:    64 | throughput: 364.532 | time:   0.005
 inference:    65 | throughput: 370.702 | time:   0.005
 inference:    66 | throughput: 364.817 | time:   0.005
 inference:    67 | throughput: 365.915 | time:   0.005
 inference:    68 | throughput: 367.084 | time:   0.005
 inference:    69 | throughput: 359.240 | time:   0.006
 inference:    70 | throughput: 371.737 | time:   0.005
 inference:    71 | throughput: 355.013 | time:   0.006
 inference:    72 | throughput: 367.680 | time:   0.005
 inference:    73 | throughput: 365.788 | time:   0.005
 inference:    74 | throughput: 371.539 | time:   0.005
 inference:    75 | throughput: 376.053 | time:   0.005
 inference:    76 | throughput: 372.529 | time:   0.005
 inference:    77 | throughput: 367.406 | time:   0.005
 inference:    78 | throughput: 361.438 | time:   0.006
 inference:    79 | throughput: 349.234 | time:   0.006
 inference:    80 | throughput: 362.296 | time:   0.006
 inference:    81 | throughput: 343.950 | time:   0.006
 inference:    82 | throughput: 360.335 | time:   0.006
 inference:    83 | throughput: 373.391 | time:   0.005
 inference:    84 | throughput: 355.269 | time:   0.006
 inference:    85 | throughput: 365.087 | time:   0.005
 inference:    86 | throughput: 369.006 | time:   0.005
 inference:    87 | throughput: 357.175 | time:   0.006
 inference:    88 | throughput: 370.472 | time:   0.005
 inference:    89 | throughput: 368.244 | time:   0.005
 inference:    90 | throughput: 358.671 | time:   0.006
 inference:    91 | throughput: 359.671 | time:   0.006
 inference:    92 | throughput: 361.531 | time:   0.006
 inference:    93 | throughput: 363.710 | time:   0.005
 inference:    94 | throughput: 370.948 | time:   0.005
 inference:    95 | throughput: 362.265 | time:   0.006
 inference:    96 | throughput: 368.358 | time:   0.005
 inference:    97 | throughput: 363.316 | time:   0.006
 inference:    98 | throughput: 360.676 | time:   0.006
 inference:    99 | throughput: 367.647 | time:   0.005
 inference:   100 | throughput: 361.516 | time:   0.006

Total inference throughput: 202.71730, Total inference latency: 0.00987
