Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   4.471 | time:   0.447
 inference:     2 | throughput: 566.186 | time:   0.004
 inference:     3 | throughput: 457.394 | time:   0.004
 inference:     4 | throughput: 527.453 | time:   0.004
 inference:     5 | throughput: 464.228 | time:   0.004
 inference:     6 | throughput: 547.309 | time:   0.004
 inference:     7 | throughput: 435.636 | time:   0.005
 inference:     8 | throughput: 450.637 | time:   0.004
 inference:     9 | throughput: 462.335 | time:   0.004
 inference:    10 | throughput: 454.052 | time:   0.004
 inference:    11 | throughput: 461.775 | time:   0.004
 inference:    12 | throughput: 467.280 | time:   0.004
 inference:    13 | throughput: 458.795 | time:   0.004
 inference:    14 | throughput: 437.362 | time:   0.005
 inference:    15 | throughput: 437.545 | time:   0.005
 inference:    16 | throughput: 453.267 | time:   0.004
 inference:    17 | throughput: 456.175 | time:   0.004
 inference:    18 | throughput: 458.169 | time:   0.004
 inference:    19 | throughput: 462.769 | time:   0.004
 inference:    20 | throughput: 455.507 | time:   0.004
 inference:    21 | throughput: 426.402 | time:   0.005
 inference:    22 | throughput: 450.105 | time:   0.004
 inference:    23 | throughput: 446.987 | time:   0.004
 inference:    24 | throughput: 459.499 | time:   0.004
 inference:    25 | throughput: 462.871 | time:   0.004
 inference:    26 | throughput: 475.949 | time:   0.004
 inference:    27 | throughput: 438.895 | time:   0.005
 inference:    28 | throughput: 440.185 | time:   0.005
 inference:    29 | throughput: 444.618 | time:   0.004
 inference:    30 | throughput: 451.316 | time:   0.004
 inference:    31 | throughput: 451.267 | time:   0.004
 inference:    32 | throughput: 462.182 | time:   0.004
 inference:    33 | throughput: 467.358 | time:   0.004
 inference:    34 | throughput: 453.218 | time:   0.004
 inference:    35 | throughput: 439.263 | time:   0.005
 inference:    36 | throughput: 442.647 | time:   0.005
 inference:    37 | throughput: 456.771 | time:   0.004
 inference:    38 | throughput: 456.250 | time:   0.004
 inference:    39 | throughput: 461.369 | time:   0.004
 inference:    40 | throughput: 467.618 | time:   0.004
 inference:    41 | throughput: 428.471 | time:   0.005
 inference:    42 | throughput: 446.298 | time:   0.004
 inference:    43 | throughput: 444.524 | time:   0.004
 inference:    44 | throughput: 452.460 | time:   0.004
 inference:    45 | throughput: 459.172 | time:   0.004
 inference:    46 | throughput: 452.119 | time:   0.004
 inference:    47 | throughput: 457.943 | time:   0.004
 inference:    48 | throughput: 439.585 | time:   0.005
 inference:    49 | throughput: 436.816 | time:   0.005
 inference:    50 | throughput: 444.665 | time:   0.004
 inference:    51 | throughput: 468.768 | time:   0.004
 inference:    52 | throughput: 449.695 | time:   0.004
 inference:    53 | throughput: 470.293 | time:   0.004
 inference:    54 | throughput: 454.544 | time:   0.004
 inference:    55 | throughput: 436.907 | time:   0.005
 inference:    56 | throughput: 449.117 | time:   0.004
 inference:    57 | throughput: 447.082 | time:   0.004
 inference:    58 | throughput: 456.871 | time:   0.004
 inference:    59 | throughput: 458.619 | time:   0.004
 inference:    60 | throughput: 473.264 | time:   0.004
 inference:    61 | throughput: 438.299 | time:   0.005
 inference:    62 | throughput: 438.712 | time:   0.005
 inference:    63 | throughput: 452.143 | time:   0.004
 inference:    64 | throughput: 451.462 | time:   0.004
 inference:    65 | throughput: 456.250 | time:   0.004
 inference:    66 | throughput: 453.782 | time:   0.004
 inference:    67 | throughput: 468.140 | time:   0.004
 inference:    68 | throughput: 448.901 | time:   0.004
 inference:    69 | throughput: 437.956 | time:   0.005
 inference:    70 | throughput: 444.030 | time:   0.005
 inference:    71 | throughput: 453.242 | time:   0.004
 inference:    72 | throughput: 457.020 | time:   0.004
 inference:    73 | throughput: 454.938 | time:   0.004
 inference:    74 | throughput: 465.284 | time:   0.004
 inference:    75 | throughput: 435.026 | time:   0.005
 inference:    76 | throughput: 438.437 | time:   0.005
 inference:    77 | throughput: 449.117 | time:   0.004
 inference:    78 | throughput: 446.131 | time:   0.004
 inference:    79 | throughput: 461.979 | time:   0.004
 inference:    80 | throughput: 465.853 | time:   0.004
 inference:    81 | throughput: 452.094 | time:   0.004
 inference:    82 | throughput: 430.936 | time:   0.005
 inference:    83 | throughput: 449.647 | time:   0.004
 inference:    84 | throughput: 451.146 | time:   0.004
 inference:    85 | throughput: 449.021 | time:   0.004
 inference:    86 | throughput: 455.556 | time:   0.004
 inference:    87 | throughput: 476.707 | time:   0.004
 inference:    88 | throughput: 433.408 | time:   0.005
 inference:    89 | throughput: 442.344 | time:   0.005
 inference:    90 | throughput: 442.460 | time:   0.005
 inference:    91 | throughput: 448.445 | time:   0.004
 inference:    92 | throughput: 447.894 | time:   0.004
 inference:    93 | throughput: 460.963 | time:   0.004
 inference:    94 | throughput: 471.827 | time:   0.004
 inference:    95 | throughput: 449.021 | time:   0.004
 inference:    96 | throughput: 432.893 | time:   0.005
 inference:    97 | throughput: 444.265 | time:   0.005
 inference:    98 | throughput: 456.896 | time:   0.004
 inference:    99 | throughput: 453.585 | time:   0.004
 inference:   100 | throughput: 460.154 | time:   0.004

Total inference throughput: 226.38189, Total inference latency: 0.00883
