Data loading...
vgg19-32 Model building...
Start inference...

 inference:     1 | throughput: 1994.883 | time:   0.016
 inference:     2 | throughput: 629.173 | time:   0.051
 inference:     3 | throughput: 527.627 | time:   0.061
 inference:     4 | throughput: 514.733 | time:   0.062
 inference:     5 | throughput: 533.114 | time:   0.060
 inference:     6 | throughput: 521.438 | time:   0.061
 inference:     7 | throughput: 523.742 | time:   0.061
 inference:     8 | throughput: 522.826 | time:   0.061
 inference:     9 | throughput: 522.492 | time:   0.061
 inference:    10 | throughput: 524.936 | time:   0.061
 inference:    11 | throughput: 523.828 | time:   0.061
 inference:    12 | throughput: 524.753 | time:   0.061
 inference:    13 | throughput: 523.977 | time:   0.061
 inference:    14 | throughput: 523.564 | time:   0.061
 inference:    15 | throughput: 525.787 | time:   0.061
 inference:    16 | throughput: 521.234 | time:   0.061
 inference:    17 | throughput: 521.337 | time:   0.061
 inference:    18 | throughput: 523.146 | time:   0.061
 inference:    19 | throughput: 523.893 | time:   0.061
 inference:    20 | throughput: 526.732 | time:   0.061
 inference:    21 | throughput: 521.937 | time:   0.061
 inference:    22 | throughput: 522.777 | time:   0.061
 inference:    23 | throughput: 524.456 | time:   0.061
 inference:    24 | throughput: 523.979 | time:   0.061
 inference:    25 | throughput: 525.238 | time:   0.061
 inference:    26 | throughput: 521.996 | time:   0.061
 inference:    27 | throughput: 520.710 | time:   0.061
 inference:    28 | throughput: 522.366 | time:   0.061
 inference:    29 | throughput: 523.762 | time:   0.061
 inference:    30 | throughput: 523.011 | time:   0.061
 inference:    31 | throughput: 521.848 | time:   0.061
 inference:    32 | throughput: 522.120 | time:   0.061
 inference:    33 | throughput: 525.530 | time:   0.061
 inference:    34 | throughput: 521.548 | time:   0.061
 inference:    35 | throughput: 523.527 | time:   0.061
 inference:    36 | throughput: 522.500 | time:   0.061
 inference:    37 | throughput: 525.625 | time:   0.061
 inference:    38 | throughput: 526.627 | time:   0.061
 inference:    39 | throughput: 520.609 | time:   0.061
 inference:    40 | throughput: 524.483 | time:   0.061
 inference:    41 | throughput: 524.214 | time:   0.061
 inference:    42 | throughput: 525.217 | time:   0.061
 inference:    43 | throughput: 524.727 | time:   0.061
 inference:    44 | throughput: 520.932 | time:   0.061
 inference:    45 | throughput: 522.600 | time:   0.061
 inference:    46 | throughput: 523.411 | time:   0.061
 inference:    47 | throughput: 526.191 | time:   0.061
 inference:    48 | throughput: 522.555 | time:   0.061
 inference:    49 | throughput: 519.958 | time:   0.062
 inference:    50 | throughput: 523.877 | time:   0.061
 inference:    51 | throughput: 526.171 | time:   0.061
 inference:    52 | throughput: 520.538 | time:   0.061
 inference:    53 | throughput: 522.250 | time:   0.061
 inference:    54 | throughput: 524.239 | time:   0.061
 inference:    55 | throughput: 524.622 | time:   0.061
 inference:    56 | throughput: 523.270 | time:   0.061
 inference:    57 | throughput: 522.942 | time:   0.061
 inference:    58 | throughput: 521.615 | time:   0.061
 inference:    59 | throughput: 523.633 | time:   0.061
 inference:    60 | throughput: 523.758 | time:   0.061
 inference:    61 | throughput: 522.699 | time:   0.061
 inference:    62 | throughput: 522.205 | time:   0.061
 inference:    63 | throughput: 525.812 | time:   0.061
 inference:    64 | throughput: 524.809 | time:   0.061
 inference:    65 | throughput: 522.897 | time:   0.061
 inference:    66 | throughput: 521.398 | time:   0.061
 inference:    67 | throughput: 523.350 | time:   0.061
 inference:    68 | throughput: 524.456 | time:   0.061
 inference:    69 | throughput: 521.759 | time:   0.061
 inference:    70 | throughput: 522.167 | time:   0.061
 inference:    71 | throughput: 522.999 | time:   0.061
 inference:    72 | throughput: 524.319 | time:   0.061
 inference:    73 | throughput: 526.586 | time:   0.061
 inference:    74 | throughput: 521.994 | time:   0.061
 inference:    75 | throughput: 523.693 | time:   0.061
 inference:    76 | throughput: 523.789 | time:   0.061
 inference:    77 | throughput: 526.629 | time:   0.061
 inference:    78 | throughput: 522.915 | time:   0.061
 inference:    79 | throughput: 521.503 | time:   0.061
 inference:    80 | throughput: 521.927 | time:   0.061
 inference:    81 | throughput: 526.577 | time:   0.061
 inference:    82 | throughput: 525.592 | time:   0.061
 inference:    83 | throughput: 523.605 | time:   0.061
 inference:    84 | throughput: 520.866 | time:   0.061
 inference:    85 | throughput: 523.034 | time:   0.061
 inference:    86 | throughput: 524.284 | time:   0.061
 inference:    87 | throughput: 524.538 | time:   0.061
 inference:    88 | throughput: 522.659 | time:   0.061
 inference:    89 | throughput: 520.161 | time:   0.062
 inference:    90 | throughput: 522.909 | time:   0.061
 inference:    91 | throughput: 525.717 | time:   0.061
 inference:    92 | throughput: 524.532 | time:   0.061
 inference:    93 | throughput: 523.225 | time:   0.061
 inference:    94 | throughput: 521.032 | time:   0.061
 inference:    95 | throughput: 523.809 | time:   0.061
 inference:    96 | throughput: 525.923 | time:   0.061
 inference:    97 | throughput: 522.506 | time:   0.061
 inference:    98 | throughput: 524.018 | time:   0.061
 inference:    99 | throughput: 522.685 | time:   0.061
 inference:   100 | throughput: 521.649 | time:   0.061

Total inference throughput: 528.22179, Total inference latency: 0.06058
