Data loading...
vgg19-4 Model building...
Start inference...

 inference:     1 | throughput: 1027.072 | time:   0.004
 inference:     2 | throughput: 580.727 | time:   0.007
 inference:     3 | throughput: 452.924 | time:   0.009
 inference:     4 | throughput: 456.709 | time:   0.009
 inference:     5 | throughput: 457.107 | time:   0.009
 inference:     6 | throughput: 447.810 | time:   0.009
 inference:     7 | throughput: 443.513 | time:   0.009
 inference:     8 | throughput: 451.364 | time:   0.009
 inference:     9 | throughput: 450.335 | time:   0.009
 inference:    10 | throughput: 446.975 | time:   0.009
 inference:    11 | throughput: 465.168 | time:   0.009
 inference:    12 | throughput: 444.984 | time:   0.009
 inference:    13 | throughput: 450.516 | time:   0.009
 inference:    14 | throughput: 452.253 | time:   0.009
 inference:    15 | throughput: 451.972 | time:   0.009
 inference:    16 | throughput: 445.859 | time:   0.009
 inference:    17 | throughput: 449.141 | time:   0.009
 inference:    18 | throughput: 471.469 | time:   0.008
 inference:    19 | throughput: 442.542 | time:   0.009
 inference:    20 | throughput: 447.059 | time:   0.009
 inference:    21 | throughput: 448.961 | time:   0.009
 inference:    22 | throughput: 451.766 | time:   0.009
 inference:    23 | throughput: 453.328 | time:   0.009
 inference:    24 | throughput: 452.058 | time:   0.009
 inference:    25 | throughput: 468.153 | time:   0.009
 inference:    26 | throughput: 443.994 | time:   0.009
 inference:    27 | throughput: 448.877 | time:   0.009
 inference:    28 | throughput: 454.692 | time:   0.009
 inference:    29 | throughput: 450.190 | time:   0.009
 inference:    30 | throughput: 449.418 | time:   0.009
 inference:    31 | throughput: 448.745 | time:   0.009
 inference:    32 | throughput: 466.176 | time:   0.009
 inference:    33 | throughput: 456.883 | time:   0.009
 inference:    34 | throughput: 447.954 | time:   0.009
 inference:    35 | throughput: 442.858 | time:   0.009
 inference:    36 | throughput: 449.876 | time:   0.009
 inference:    37 | throughput: 448.014 | time:   0.009
 inference:    38 | throughput: 452.961 | time:   0.009
 inference:    39 | throughput: 462.182 | time:   0.009
 inference:    40 | throughput: 457.806 | time:   0.009
 inference:    41 | throughput: 453.132 | time:   0.009
 inference:    42 | throughput: 446.476 | time:   0.009
 inference:    43 | throughput: 446.773 | time:   0.009
 inference:    44 | throughput: 449.948 | time:   0.009
 inference:    45 | throughput: 457.257 | time:   0.009
 inference:    46 | throughput: 458.782 | time:   0.009
 inference:    47 | throughput: 460.875 | time:   0.009
 inference:    48 | throughput: 440.439 | time:   0.009
 inference:    49 | throughput: 451.243 | time:   0.009
 inference:    50 | throughput: 451.620 | time:   0.009
 inference:    51 | throughput: 450.879 | time:   0.009
 inference:    52 | throughput: 448.577 | time:   0.009
 inference:    53 | throughput: 455.779 | time:   0.009
 inference:    54 | throughput: 460.546 | time:   0.009
 inference:    55 | throughput: 455.049 | time:   0.009
 inference:    56 | throughput: 453.255 | time:   0.009
 inference:    57 | throughput: 447.583 | time:   0.009
 inference:    58 | throughput: 448.997 | time:   0.009
 inference:    59 | throughput: 447.751 | time:   0.009
 inference:    60 | throughput: 455.853 | time:   0.009
 inference:    61 | throughput: 464.370 | time:   0.009
 inference:    62 | throughput: 443.630 | time:   0.009
 inference:    63 | throughput: 445.137 | time:   0.009
 inference:    64 | throughput: 449.695 | time:   0.009
 inference:    65 | throughput: 455.049 | time:   0.009
 inference:    66 | throughput: 451.267 | time:   0.009
 inference:    67 | throughput: 452.106 | time:   0.009
 inference:    68 | throughput: 464.988 | time:   0.009
 inference:    69 | throughput: 452.814 | time:   0.009
 inference:    70 | throughput: 458.544 | time:   0.009
 inference:    71 | throughput: 450.298 | time:   0.009
 inference:    72 | throughput: 448.529 | time:   0.009
 inference:    73 | throughput: 453.414 | time:   0.009
 inference:    74 | throughput: 452.802 | time:   0.009
 inference:    75 | throughput: 470.794 | time:   0.008
 inference:    76 | throughput: 439.781 | time:   0.009
 inference:    77 | throughput: 447.942 | time:   0.009
 inference:    78 | throughput: 449.261 | time:   0.009
 inference:    79 | throughput: 451.474 | time:   0.009
 inference:    80 | throughput: 451.146 | time:   0.009
 inference:    81 | throughput: 447.954 | time:   0.009
 inference:    82 | throughput: 468.180 | time:   0.009
 inference:    83 | throughput: 445.196 | time:   0.009
 inference:    84 | throughput: 444.253 | time:   0.009
 inference:    85 | throughput: 452.716 | time:   0.009
 inference:    86 | throughput: 450.262 | time:   0.009
 inference:    87 | throughput: 448.673 | time:   0.009
 inference:    88 | throughput: 448.889 | time:   0.009
 inference:    89 | throughput: 466.929 | time:   0.009
 inference:    90 | throughput: 445.066 | time:   0.009
 inference:    91 | throughput: 447.727 | time:   0.009
 inference:    92 | throughput: 452.119 | time:   0.009
 inference:    93 | throughput: 446.916 | time:   0.009
 inference:    94 | throughput: 451.839 | time:   0.009
 inference:    95 | throughput: 450.069 | time:   0.009
 inference:    96 | throughput: 464.126 | time:   0.009
 inference:    97 | throughput: 455.940 | time:   0.009
 inference:    98 | throughput: 443.689 | time:   0.009
 inference:    99 | throughput: 445.267 | time:   0.009
 inference:   100 | throughput: 448.685 | time:   0.009

Total inference throughput: 455.51394, Total inference latency: 0.00878
