Data loading...
vgg19-4 Model building...
Start inference...

 inference:     1 | throughput: 1045.440 | time:   0.004
 inference:     2 | throughput: 783.726 | time:   0.005
 inference:     3 | throughput: 591.852 | time:   0.007
 inference:     4 | throughput: 566.186 | time:   0.007
 inference:     5 | throughput: 593.758 | time:   0.007
 inference:     6 | throughput: 586.206 | time:   0.007
 inference:     7 | throughput: 595.127 | time:   0.007
 inference:     8 | throughput: 575.429 | time:   0.007
 inference:     9 | throughput: 578.904 | time:   0.007
 inference:    10 | throughput: 595.486 | time:   0.007
 inference:    11 | throughput: 574.248 | time:   0.007
 inference:    12 | throughput: 583.982 | time:   0.007
 inference:    13 | throughput: 591.038 | time:   0.007
 inference:    14 | throughput: 585.061 | time:   0.007
 inference:    15 | throughput: 570.421 | time:   0.007
 inference:    16 | throughput: 585.694 | time:   0.007
 inference:    17 | throughput: 596.608 | time:   0.007
 inference:    18 | throughput: 573.776 | time:   0.007
 inference:    19 | throughput: 575.943 | time:   0.007
 inference:    20 | throughput: 599.722 | time:   0.007
 inference:    21 | throughput: 584.002 | time:   0.007
 inference:    22 | throughput: 575.094 | time:   0.007
 inference:    23 | throughput: 589.274 | time:   0.007
 inference:    24 | throughput: 592.667 | time:   0.007
 inference:    25 | throughput: 573.149 | time:   0.007
 inference:    26 | throughput: 581.049 | time:   0.007
 inference:    27 | throughput: 596.566 | time:   0.007
 inference:    28 | throughput: 579.824 | time:   0.007
 inference:    29 | throughput: 582.037 | time:   0.007
 inference:    30 | throughput: 594.073 | time:   0.007
 inference:    31 | throughput: 583.840 | time:   0.007
 inference:    32 | throughput: 576.656 | time:   0.007
 inference:    33 | throughput: 587.150 | time:   0.007
 inference:    34 | throughput: 595.021 | time:   0.007
 inference:    35 | throughput: 575.291 | time:   0.007
 inference:    36 | throughput: 573.698 | time:   0.007
 inference:    37 | throughput: 600.151 | time:   0.007
 inference:    38 | throughput: 588.220 | time:   0.007
 inference:    39 | throughput: 577.092 | time:   0.007
 inference:    40 | throughput: 591.309 | time:   0.007
 inference:    41 | throughput: 590.227 | time:   0.007
 inference:    42 | throughput: 579.744 | time:   0.007
 inference:    43 | throughput: 583.840 | time:   0.007
 inference:    44 | throughput: 591.351 | time:   0.007
 inference:    45 | throughput: 572.601 | time:   0.007
 inference:    46 | throughput: 584.104 | time:   0.007
 inference:    47 | throughput: 593.065 | time:   0.007
 inference:    48 | throughput: 585.347 | time:   0.007
 inference:    49 | throughput: 581.714 | time:   0.007
 inference:    50 | throughput: 586.329 | time:   0.007
 inference:    51 | throughput: 583.048 | time:   0.007
 inference:    52 | throughput: 586.411 | time:   0.007
 inference:    53 | throughput: 579.204 | time:   0.007
 inference:    54 | throughput: 594.557 | time:   0.007
 inference:    55 | throughput: 578.206 | time:   0.007
 inference:    56 | throughput: 581.976 | time:   0.007
 inference:    57 | throughput: 590.227 | time:   0.007
 inference:    58 | throughput: 591.747 | time:   0.007
 inference:    59 | throughput: 581.190 | time:   0.007
 inference:    60 | throughput: 579.284 | time:   0.007
 inference:    61 | throughput: 573.266 | time:   0.007
 inference:    62 | throughput: 580.486 | time:   0.007
 inference:    63 | throughput: 582.037 | time:   0.007
 inference:    64 | throughput: 593.884 | time:   0.007
 inference:    65 | throughput: 582.017 | time:   0.007
 inference:    66 | throughput: 580.788 | time:   0.007
 inference:    67 | throughput: 590.872 | time:   0.007
 inference:    68 | throughput: 579.564 | time:   0.007
 inference:    69 | throughput: 586.883 | time:   0.007
 inference:    70 | throughput: 583.657 | time:   0.007
 inference:    71 | throughput: 582.927 | time:   0.007
 inference:    72 | throughput: 584.368 | time:   0.007
 inference:    73 | throughput: 577.907 | time:   0.007
 inference:    74 | throughput: 593.779 | time:   0.007
 inference:    75 | throughput: 575.133 | time:   0.007
 inference:    76 | throughput: 579.144 | time:   0.007
 inference:    77 | throughput: 593.380 | time:   0.007
 inference:    78 | throughput: 581.492 | time:   0.007
 inference:    79 | throughput: 580.145 | time:   0.007
 inference:    80 | throughput: 585.000 | time:   0.007
 inference:    81 | throughput: 590.664 | time:   0.007
 inference:    82 | throughput: 573.678 | time:   0.007
 inference:    83 | throughput: 583.576 | time:   0.007
 inference:    84 | throughput: 597.586 | time:   0.007
 inference:    85 | throughput: 575.074 | time:   0.007
 inference:    86 | throughput: 580.225 | time:   0.007
 inference:    87 | throughput: 591.184 | time:   0.007
 inference:    88 | throughput: 586.390 | time:   0.007
 inference:    89 | throughput: 575.785 | time:   0.007
 inference:    90 | throughput: 586.390 | time:   0.007
 inference:    91 | throughput: 591.705 | time:   0.007
 inference:    92 | throughput: 576.062 | time:   0.007
 inference:    93 | throughput: 584.206 | time:   0.007
 inference:    94 | throughput: 596.863 | time:   0.007
 inference:    95 | throughput: 574.582 | time:   0.007
 inference:    96 | throughput: 577.549 | time:   0.007
 inference:    97 | throughput: 591.268 | time:   0.007
 inference:    98 | throughput: 587.540 | time:   0.007
 inference:    99 | throughput: 575.035 | time:   0.007
 inference:   100 | throughput: 585.204 | time:   0.007

Total inference throughput: 588.25318, Total inference latency: 0.00680
