Data loading...
vgg19-8 Model building...
Start inference...

 inference:     1 | throughput: 1382.605 | time:   0.006
 inference:     2 | throughput: 252.378 | time:   0.032
 inference:     3 | throughput: 234.865 | time:   0.034
 inference:     4 | throughput: 219.574 | time:   0.036
 inference:     5 | throughput: 233.101 | time:   0.034
 inference:     6 | throughput: 239.471 | time:   0.033
 inference:     7 | throughput: 225.042 | time:   0.036
 inference:     8 | throughput: 229.536 | time:   0.035
 inference:     9 | throughput: 235.381 | time:   0.034
 inference:    10 | throughput: 228.046 | time:   0.035
 inference:    11 | throughput: 224.942 | time:   0.036
 inference:    12 | throughput: 231.770 | time:   0.035
 inference:    13 | throughput: 237.493 | time:   0.034
 inference:    14 | throughput: 229.694 | time:   0.035
 inference:    15 | throughput: 229.468 | time:   0.035
 inference:    16 | throughput: 230.696 | time:   0.035
 inference:    17 | throughput: 241.123 | time:   0.033
 inference:    18 | throughput: 217.750 | time:   0.037
 inference:    19 | throughput: 232.560 | time:   0.034
 inference:    20 | throughput: 234.265 | time:   0.034
 inference:    21 | throughput: 231.563 | time:   0.035
 inference:    22 | throughput: 224.685 | time:   0.036
 inference:    23 | throughput: 231.963 | time:   0.034
 inference:    24 | throughput: 235.572 | time:   0.034
 inference:    25 | throughput: 225.078 | time:   0.036
 inference:    26 | throughput: 228.105 | time:   0.035
 inference:    27 | throughput: 234.957 | time:   0.034
 inference:    28 | throughput: 241.963 | time:   0.033
 inference:    29 | throughput: 217.426 | time:   0.037
 inference:    30 | throughput: 229.148 | time:   0.035
 inference:    31 | throughput: 234.550 | time:   0.034
 inference:    32 | throughput: 232.087 | time:   0.034
 inference:    33 | throughput: 223.253 | time:   0.036
 inference:    34 | throughput: 234.324 | time:   0.034
 inference:    35 | throughput: 236.319 | time:   0.034
 inference:    36 | throughput: 224.861 | time:   0.036
 inference:    37 | throughput: 227.475 | time:   0.035
 inference:    38 | throughput: 235.067 | time:   0.034
 inference:    39 | throughput: 235.680 | time:   0.034
 inference:    40 | throughput: 224.309 | time:   0.036
 inference:    41 | throughput: 229.649 | time:   0.035
 inference:    42 | throughput: 234.543 | time:   0.034
 inference:    43 | throughput: 231.648 | time:   0.035
 inference:    44 | throughput: 222.863 | time:   0.036
 inference:    45 | throughput: 233.227 | time:   0.034
 inference:    46 | throughput: 237.402 | time:   0.034
 inference:    47 | throughput: 225.066 | time:   0.036
 inference:    48 | throughput: 224.769 | time:   0.036
 inference:    49 | throughput: 232.167 | time:   0.034
 inference:    50 | throughput: 227.899 | time:   0.035
 inference:    51 | throughput: 225.110 | time:   0.036
 inference:    52 | throughput: 232.768 | time:   0.034
 inference:    53 | throughput: 235.610 | time:   0.034
 inference:    54 | throughput: 225.883 | time:   0.035
 inference:    55 | throughput: 229.691 | time:   0.035
 inference:    56 | throughput: 229.355 | time:   0.035
 inference:    57 | throughput: 237.793 | time:   0.034
 inference:    58 | throughput: 216.546 | time:   0.037
 inference:    59 | throughput: 229.128 | time:   0.035
 inference:    60 | throughput: 235.005 | time:   0.034
 inference:    61 | throughput: 230.815 | time:   0.035
 inference:    62 | throughput: 225.511 | time:   0.035
 inference:    63 | throughput: 230.610 | time:   0.035
 inference:    64 | throughput: 236.600 | time:   0.034
 inference:    65 | throughput: 224.620 | time:   0.036
 inference:    66 | throughput: 227.778 | time:   0.035
 inference:    67 | throughput: 233.728 | time:   0.034
 inference:    68 | throughput: 236.360 | time:   0.034
 inference:    69 | throughput: 223.781 | time:   0.036
 inference:    70 | throughput: 229.745 | time:   0.035
 inference:    71 | throughput: 234.186 | time:   0.034
 inference:    72 | throughput: 231.723 | time:   0.035
 inference:    73 | throughput: 224.168 | time:   0.036
 inference:    74 | throughput: 231.978 | time:   0.034
 inference:    75 | throughput: 238.260 | time:   0.034
 inference:    76 | throughput: 224.491 | time:   0.036
 inference:    77 | throughput: 224.257 | time:   0.036
 inference:    78 | throughput: 233.331 | time:   0.034
 inference:    79 | throughput: 228.800 | time:   0.035
 inference:    80 | throughput: 224.835 | time:   0.036
 inference:    81 | throughput: 231.051 | time:   0.035
 inference:    82 | throughput: 236.354 | time:   0.034
 inference:    83 | throughput: 225.559 | time:   0.035
 inference:    84 | throughput: 228.699 | time:   0.035
 inference:    85 | throughput: 229.795 | time:   0.035
 inference:    86 | throughput: 237.774 | time:   0.034
 inference:    87 | throughput: 217.462 | time:   0.037
 inference:    88 | throughput: 228.544 | time:   0.035
 inference:    89 | throughput: 234.373 | time:   0.034
 inference:    90 | throughput: 231.517 | time:   0.035
 inference:    91 | throughput: 225.959 | time:   0.035
 inference:    92 | throughput: 231.190 | time:   0.035
 inference:    93 | throughput: 237.804 | time:   0.034
 inference:    94 | throughput: 224.098 | time:   0.036
 inference:    95 | throughput: 225.842 | time:   0.035
 inference:    96 | throughput: 233.878 | time:   0.034
 inference:    97 | throughput: 235.862 | time:   0.034
 inference:    98 | throughput: 223.596 | time:   0.036
 inference:    99 | throughput: 228.481 | time:   0.035
 inference:   100 | throughput: 235.622 | time:   0.034

Total inference throughput: 232.19961, Total inference latency: 0.03445
