Data loading...
vgg19-128 Model building...
Start inference...

 inference:     1 | throughput: 3783.845 | time:   0.034
 inference:     2 | throughput: 219.292 | time:   0.584
 inference:     3 | throughput: 3094.928 | time:   0.041
 inference:     4 | throughput: 553.742 | time:   0.231
 inference:     5 | throughput: 569.194 | time:   0.225
 inference:     6 | throughput: 560.151 | time:   0.229
 inference:     7 | throughput: 562.215 | time:   0.228
 inference:     8 | throughput: 560.283 | time:   0.228
 inference:     9 | throughput: 563.335 | time:   0.227
 inference:    10 | throughput: 559.542 | time:   0.229
 inference:    11 | throughput: 563.253 | time:   0.227
 inference:    12 | throughput: 560.326 | time:   0.228
 inference:    13 | throughput: 562.893 | time:   0.227
 inference:    14 | throughput: 560.220 | time:   0.228
 inference:    15 | throughput: 563.195 | time:   0.227
 inference:    16 | throughput: 560.203 | time:   0.228
 inference:    17 | throughput: 562.298 | time:   0.228
 inference:    18 | throughput: 560.220 | time:   0.228
 inference:    19 | throughput: 562.830 | time:   0.227
 inference:    20 | throughput: 560.111 | time:   0.229
 inference:    21 | throughput: 562.541 | time:   0.228
 inference:    22 | throughput: 560.667 | time:   0.228
 inference:    23 | throughput: 562.140 | time:   0.228
 inference:    24 | throughput: 560.419 | time:   0.228
 inference:    25 | throughput: 563.134 | time:   0.227
 inference:    26 | throughput: 559.446 | time:   0.229
 inference:    27 | throughput: 562.941 | time:   0.227
 inference:    28 | throughput: 560.427 | time:   0.228
 inference:    29 | throughput: 562.758 | time:   0.227
 inference:    30 | throughput: 559.802 | time:   0.229
 inference:    31 | throughput: 563.111 | time:   0.227
 inference:    32 | throughput: 560.537 | time:   0.228
 inference:    33 | throughput: 562.668 | time:   0.227
 inference:    34 | throughput: 560.172 | time:   0.229
 inference:    35 | throughput: 553.795 | time:   0.231
 inference:    36 | throughput: 562.689 | time:   0.227
 inference:    37 | throughput: 563.150 | time:   0.227
 inference:    38 | throughput: 561.083 | time:   0.228
 inference:    39 | throughput: 562.623 | time:   0.228
 inference:    40 | throughput: 560.884 | time:   0.228
 inference:    41 | throughput: 563.836 | time:   0.227
 inference:    42 | throughput: 560.209 | time:   0.228
 inference:    43 | throughput: 563.232 | time:   0.227
 inference:    44 | throughput: 561.042 | time:   0.228
 inference:    45 | throughput: 563.528 | time:   0.227
 inference:    46 | throughput: 560.316 | time:   0.228
 inference:    47 | throughput: 563.326 | time:   0.227
 inference:    48 | throughput: 560.512 | time:   0.228
 inference:    49 | throughput: 563.065 | time:   0.227
 inference:    50 | throughput: 560.233 | time:   0.228
 inference:    51 | throughput: 563.607 | time:   0.227
 inference:    52 | throughput: 559.226 | time:   0.229
 inference:    53 | throughput: 563.670 | time:   0.227
 inference:    54 | throughput: 560.863 | time:   0.228
 inference:    55 | throughput: 562.327 | time:   0.228
 inference:    56 | throughput: 560.529 | time:   0.228
 inference:    57 | throughput: 563.274 | time:   0.227
 inference:    58 | throughput: 560.741 | time:   0.228
 inference:    59 | throughput: 562.816 | time:   0.227
 inference:    60 | throughput: 560.908 | time:   0.228
 inference:    61 | throughput: 563.214 | time:   0.227
 inference:    62 | throughput: 560.797 | time:   0.228
 inference:    63 | throughput: 563.098 | time:   0.227
 inference:    64 | throughput: 560.934 | time:   0.228
 inference:    65 | throughput: 563.003 | time:   0.227
 inference:    66 | throughput: 560.794 | time:   0.228
 inference:    67 | throughput: 563.755 | time:   0.227
 inference:    68 | throughput: 560.020 | time:   0.229
 inference:    69 | throughput: 563.422 | time:   0.227
 inference:    70 | throughput: 560.914 | time:   0.228
 inference:    71 | throughput: 562.798 | time:   0.227
 inference:    72 | throughput: 560.774 | time:   0.228
 inference:    73 | throughput: 563.736 | time:   0.227
 inference:    74 | throughput: 560.523 | time:   0.228
 inference:    75 | throughput: 562.738 | time:   0.227
 inference:    76 | throughput: 560.950 | time:   0.228
 inference:    77 | throughput: 563.526 | time:   0.227
 inference:    78 | throughput: 560.479 | time:   0.228
 inference:    79 | throughput: 563.006 | time:   0.227
 inference:    80 | throughput: 560.406 | time:   0.228
 inference:    81 | throughput: 562.967 | time:   0.227
 inference:    82 | throughput: 560.570 | time:   0.228
 inference:    83 | throughput: 563.436 | time:   0.227
 inference:    84 | throughput: 560.120 | time:   0.229
 inference:    85 | throughput: 563.601 | time:   0.227
 inference:    86 | throughput: 560.824 | time:   0.228
 inference:    87 | throughput: 562.842 | time:   0.227
 inference:    88 | throughput: 560.694 | time:   0.228
 inference:    89 | throughput: 563.804 | time:   0.227
 inference:    90 | throughput: 560.571 | time:   0.228
 inference:    91 | throughput: 563.165 | time:   0.227
 inference:    92 | throughput: 560.715 | time:   0.228
 inference:    93 | throughput: 563.674 | time:   0.227
 inference:    94 | throughput: 560.375 | time:   0.228
 inference:    95 | throughput: 563.326 | time:   0.227
 inference:    96 | throughput: 560.300 | time:   0.228
 inference:    97 | throughput: 563.075 | time:   0.227
 inference:    98 | throughput: 560.745 | time:   0.228
 inference:    99 | throughput: 563.498 | time:   0.227
 inference:   100 | throughput: 559.747 | time:   0.229

Total inference throughput: 562.28722, Total inference latency: 0.22764
