Data loading...
vgg19-2 Model building...
Start inference...

 inference:     1 | throughput:   5.099 | time:   0.392
 inference:     2 | throughput: 455.111 | time:   0.004
 inference:     3 | throughput: 508.863 | time:   0.004
 inference:     4 | throughput: 548.490 | time:   0.004
 inference:     5 | throughput: 539.460 | time:   0.004
 inference:     6 | throughput: 638.160 | time:   0.003
 inference:     7 | throughput: 574.287 | time:   0.003
 inference:     8 | throughput: 539.877 | time:   0.004
 inference:     9 | throughput: 630.817 | time:   0.003
 inference:    10 | throughput: 542.110 | time:   0.004
 inference:    11 | throughput: 542.215 | time:   0.004
 inference:    12 | throughput: 544.503 | time:   0.004
 inference:    13 | throughput: 534.681 | time:   0.004
 inference:    14 | throughput: 542.145 | time:   0.004
 inference:    15 | throughput: 535.500 | time:   0.004
 inference:    16 | throughput: 543.128 | time:   0.004
 inference:    17 | throughput: 540.016 | time:   0.004
 inference:    18 | throughput: 539.599 | time:   0.004
 inference:    19 | throughput: 550.542 | time:   0.004
 inference:    20 | throughput: 546.347 | time:   0.004
 inference:    21 | throughput: 547.595 | time:   0.004
 inference:    22 | throughput: 541.270 | time:   0.004
 inference:    23 | throughput: 542.250 | time:   0.004
 inference:    24 | throughput: 530.790 | time:   0.004
 inference:    25 | throughput: 552.901 | time:   0.004
 inference:    26 | throughput: 537.559 | time:   0.004
 inference:    27 | throughput: 531.362 | time:   0.004
 inference:    28 | throughput: 544.114 | time:   0.004
 inference:    29 | throughput: 544.715 | time:   0.004
 inference:    30 | throughput: 538.180 | time:   0.004
 inference:    31 | throughput: 542.741 | time:   0.004
 inference:    32 | throughput: 543.726 | time:   0.004
 inference:    33 | throughput: 546.027 | time:   0.004
 inference:    34 | throughput: 544.609 | time:   0.004
 inference:    35 | throughput: 548.885 | time:   0.004
 inference:    36 | throughput: 532.712 | time:   0.004
 inference:    37 | throughput: 543.163 | time:   0.004
 inference:    38 | throughput: 542.776 | time:   0.004
 inference:    39 | throughput: 540.086 | time:   0.004
 inference:    40 | throughput: 539.946 | time:   0.004
 inference:    41 | throughput: 542.917 | time:   0.004
 inference:    42 | throughput: 536.528 | time:   0.004
 inference:    43 | throughput: 546.062 | time:   0.004
 inference:    44 | throughput: 537.835 | time:   0.004
 inference:    45 | throughput: 547.345 | time:   0.004
 inference:    46 | throughput: 535.158 | time:   0.004
 inference:    47 | throughput: 549.280 | time:   0.004
 inference:    48 | throughput: 540.782 | time:   0.004
 inference:    49 | throughput: 549.065 | time:   0.004
 inference:    50 | throughput: 538.698 | time:   0.004
 inference:    51 | throughput: 541.201 | time:   0.004
 inference:    52 | throughput: 536.013 | time:   0.004
 inference:    53 | throughput: 547.345 | time:   0.004
 inference:    54 | throughput: 539.912 | time:   0.004
 inference:    55 | throughput: 539.079 | time:   0.004
 inference:    56 | throughput: 539.773 | time:   0.004
 inference:    57 | throughput: 547.345 | time:   0.004
 inference:    58 | throughput: 523.928 | time:   0.004
 inference:    59 | throughput: 546.418 | time:   0.004
 inference:    60 | throughput: 546.489 | time:   0.004
 inference:    61 | throughput: 558.310 | time:   0.004
 inference:    62 | throughput: 547.845 | time:   0.004
 inference:    63 | throughput: 543.128 | time:   0.004
 inference:    64 | throughput: 541.445 | time:   0.004
 inference:    65 | throughput: 538.698 | time:   0.004
 inference:    66 | throughput: 537.043 | time:   0.004
 inference:    67 | throughput: 550.578 | time:   0.004
 inference:    68 | throughput: 538.802 | time:   0.004
 inference:    69 | throughput: 537.800 | time:   0.004
 inference:    70 | throughput: 541.410 | time:   0.004
 inference:    71 | throughput: 539.287 | time:   0.004
 inference:    72 | throughput: 537.938 | time:   0.004
 inference:    73 | throughput: 542.460 | time:   0.004
 inference:    74 | throughput: 544.467 | time:   0.004
 inference:    75 | throughput: 548.993 | time:   0.004
 inference:    76 | throughput: 537.387 | time:   0.004
 inference:    77 | throughput: 554.472 | time:   0.004
 inference:    78 | throughput: 542.882 | time:   0.004
 inference:    79 | throughput: 534.340 | time:   0.004
 inference:    80 | throughput: 548.203 | time:   0.004
 inference:    81 | throughput: 541.760 | time:   0.004
 inference:    82 | throughput: 536.699 | time:   0.004
 inference:    83 | throughput: 530.153 | time:   0.004
 inference:    84 | throughput: 547.524 | time:   0.004
 inference:    85 | throughput: 534.511 | time:   0.004
 inference:    86 | throughput: 542.215 | time:   0.004
 inference:    87 | throughput: 539.634 | time:   0.004
 inference:    88 | throughput: 552.355 | time:   0.004
 inference:    89 | throughput: 546.703 | time:   0.004
 inference:    90 | throughput: 549.748 | time:   0.004
 inference:    91 | throughput: 541.585 | time:   0.004
 inference:    92 | throughput: 538.871 | time:   0.004
 inference:    93 | throughput: 544.786 | time:   0.004
 inference:    94 | throughput: 542.145 | time:   0.004
 inference:    95 | throughput: 540.225 | time:   0.004
 inference:    96 | throughput: 535.193 | time:   0.004
 inference:    97 | throughput: 542.215 | time:   0.004
 inference:    98 | throughput: 539.079 | time:   0.004
 inference:    99 | throughput: 540.712 | time:   0.004
 inference:   100 | throughput: 532.238 | time:   0.004

Total inference throughput: 264.08877, Total inference latency: 0.00757
