Data loading...
vgg19-8 Model building...
Start inference...

 inference:     1 | throughput:  20.553 | time:   0.389
 inference:     2 | throughput: 368.483 | time:   0.022
 inference:     3 | throughput: 259.458 | time:   0.031
 inference:     4 | throughput: 248.478 | time:   0.032
 inference:     5 | throughput: 251.451 | time:   0.032
 inference:     6 | throughput: 249.360 | time:   0.032
 inference:     7 | throughput: 249.877 | time:   0.032
 inference:     8 | throughput: 250.109 | time:   0.032
 inference:     9 | throughput: 250.285 | time:   0.032
 inference:    10 | throughput: 249.561 | time:   0.032
 inference:    11 | throughput: 249.882 | time:   0.032
 inference:    12 | throughput: 250.393 | time:   0.032
 inference:    13 | throughput: 250.044 | time:   0.032
 inference:    14 | throughput: 250.108 | time:   0.032
 inference:    15 | throughput: 250.050 | time:   0.032
 inference:    16 | throughput: 249.769 | time:   0.032
 inference:    17 | throughput: 250.143 | time:   0.032
 inference:    18 | throughput: 250.115 | time:   0.032
 inference:    19 | throughput: 250.257 | time:   0.032
 inference:    20 | throughput: 249.832 | time:   0.032
 inference:    21 | throughput: 249.996 | time:   0.032
 inference:    22 | throughput: 249.602 | time:   0.032
 inference:    23 | throughput: 250.657 | time:   0.032
 inference:    24 | throughput: 249.253 | time:   0.032
 inference:    25 | throughput: 250.219 | time:   0.032
 inference:    26 | throughput: 249.726 | time:   0.032
 inference:    27 | throughput: 250.016 | time:   0.032
 inference:    28 | throughput: 249.985 | time:   0.032
 inference:    29 | throughput: 249.316 | time:   0.032
 inference:    30 | throughput: 250.158 | time:   0.032
 inference:    31 | throughput: 250.543 | time:   0.032
 inference:    32 | throughput: 250.020 | time:   0.032
 inference:    33 | throughput: 249.570 | time:   0.032
 inference:    34 | throughput: 250.240 | time:   0.032
 inference:    35 | throughput: 249.449 | time:   0.032
 inference:    36 | throughput: 250.427 | time:   0.032
 inference:    37 | throughput: 249.706 | time:   0.032
 inference:    38 | throughput: 249.905 | time:   0.032
 inference:    39 | throughput: 250.352 | time:   0.032
 inference:    40 | throughput: 250.191 | time:   0.032
 inference:    41 | throughput: 249.694 | time:   0.032
 inference:    42 | throughput: 250.154 | time:   0.032
 inference:    43 | throughput: 249.815 | time:   0.032
 inference:    44 | throughput: 250.358 | time:   0.032
 inference:    45 | throughput: 250.182 | time:   0.032
 inference:    46 | throughput: 249.207 | time:   0.032
 inference:    47 | throughput: 250.078 | time:   0.032
 inference:    48 | throughput: 250.365 | time:   0.032
 inference:    49 | throughput: 250.524 | time:   0.032
 inference:    50 | throughput: 249.851 | time:   0.032
 inference:    51 | throughput: 249.574 | time:   0.032
 inference:    52 | throughput: 250.011 | time:   0.032
 inference:    53 | throughput: 249.520 | time:   0.032
 inference:    54 | throughput: 249.960 | time:   0.032
 inference:    55 | throughput: 250.072 | time:   0.032
 inference:    56 | throughput: 249.893 | time:   0.032
 inference:    57 | throughput: 250.214 | time:   0.032
 inference:    58 | throughput: 249.865 | time:   0.032
 inference:    59 | throughput: 250.076 | time:   0.032
 inference:    60 | throughput: 250.007 | time:   0.032
 inference:    61 | throughput: 250.186 | time:   0.032
 inference:    62 | throughput: 250.024 | time:   0.032
 inference:    63 | throughput: 249.741 | time:   0.032
 inference:    64 | throughput: 250.399 | time:   0.032
 inference:    65 | throughput: 249.858 | time:   0.032
 inference:    66 | throughput: 250.048 | time:   0.032
 inference:    67 | throughput: 249.787 | time:   0.032
 inference:    68 | throughput: 250.180 | time:   0.032
 inference:    69 | throughput: 248.811 | time:   0.032
 inference:    70 | throughput: 250.040 | time:   0.032
 inference:    71 | throughput: 249.672 | time:   0.032
 inference:    72 | throughput: 250.044 | time:   0.032
 inference:    73 | throughput: 250.447 | time:   0.032
 inference:    74 | throughput: 250.078 | time:   0.032
 inference:    75 | throughput: 249.611 | time:   0.032
 inference:    76 | throughput: 250.035 | time:   0.032
 inference:    77 | throughput: 249.585 | time:   0.032
 inference:    78 | throughput: 249.945 | time:   0.032
 inference:    79 | throughput: 249.637 | time:   0.032
 inference:    80 | throughput: 250.081 | time:   0.032
 inference:    81 | throughput: 250.091 | time:   0.032
 inference:    82 | throughput: 249.851 | time:   0.032
 inference:    83 | throughput: 250.057 | time:   0.032
 inference:    84 | throughput: 250.115 | time:   0.032
 inference:    85 | throughput: 249.878 | time:   0.032
 inference:    86 | throughput: 249.893 | time:   0.032
 inference:    87 | throughput: 249.966 | time:   0.032
 inference:    88 | throughput: 249.983 | time:   0.032
 inference:    89 | throughput: 249.838 | time:   0.032
 inference:    90 | throughput: 249.598 | time:   0.032
 inference:    91 | throughput: 249.877 | time:   0.032
 inference:    92 | throughput: 249.932 | time:   0.032
 inference:    93 | throughput: 250.210 | time:   0.032
 inference:    94 | throughput: 249.787 | time:   0.032
 inference:    95 | throughput: 249.685 | time:   0.032
 inference:    96 | throughput: 249.499 | time:   0.032
 inference:    97 | throughput: 250.201 | time:   0.032
 inference:    98 | throughput: 250.033 | time:   0.032
 inference:    99 | throughput: 250.102 | time:   0.032
 inference:   100 | throughput: 249.520 | time:   0.032

Total inference throughput: 225.57689, Total inference latency: 0.03546
